text,url
French,https://en.wikipedia.org/wiki/French_language
multilateral development finance institution,https://en.wikipedia.org/wiki/Development_finance_institution
Abidjan,https://en.wikipedia.org/wiki/Abidjan
Organisation of African Unity,https://en.wikipedia.org/wiki/Organisation_of_African_Unity
African Union,https://en.wikipedia.org/wiki/African_Union
end of the colonial period,https://en.wikipedia.org/wiki/Decolonization_of_Africa
Africa,https://en.wikipedia.org/wiki/Africa
Organization of African Unity,https://en.wikipedia.org/wiki/Organisation_of_African_Unity
African Union,https://en.wikipedia.org/wiki/African_Union
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Board of Governors,https://en.wikipedia.org/wiki/Board_of_directors
Tunis,https://en.wikipedia.org/wiki/Tunis
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Ivorian civil war,https://en.wikipedia.org/wiki/First_Ivorian_Civil_War
rating agencies,https://en.wikipedia.org/wiki/Credit_rating_agency
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
designated specifically for climate change-related initiatives,https://en.wikipedia.org/wiki/Africa_Climate_Change_Fund_(ACCF)
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
AAA credit rating,https://en.wikipedia.org/wiki/Bond_credit_rating
poverty reduction,https://en.wikipedia.org/wiki/Poverty_reduction
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
Federal Reserve Bank of New York,https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York
Abidjan,https://en.wikipedia.org/wiki/Abidjan
Executive Directors,https://en.wikipedia.org/wiki/Executive_director
grace period,https://en.wikipedia.org/wiki/Grace_period
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Nigerian government,https://en.wikipedia.org/wiki/Government_of_Nigeria
social development,https://en.wikipedia.org/wiki/Social_development_theory
Akinwumi Ayodeji Adesina,https://en.wikipedia.org/wiki/Akinwumi_Adesina
2020,https://en.wikipedia.org/wiki/2020_in_West_Africa
poverty,https://en.wikipedia.org/wiki/Poverty
private capital,https://en.wikipedia.org/wiki/Capital_(economics)
loans,https://en.wikipedia.org/wiki/Loan
equity investments,https://en.wikipedia.org/wiki/Equity_investment
World Bank,https://en.wikipedia.org/wiki/World_Bank
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
New Partnership for Africa's Development,https://en.wikipedia.org/wiki/New_Partnership_for_Africa%27s_Development
Abidjan,https://en.wikipedia.org/wiki/Abidjan
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
power supply,https://en.wikipedia.org/wiki/Power_station
water,https://en.wikipedia.org/wiki/Water_supply
sanitation,https://en.wikipedia.org/wiki/Sanitation#Sanitation_and_wastewater
transport,https://en.wikipedia.org/wiki/Transport
communications,https://en.wikipedia.org/wiki/Telecommunication
Regional integration,https://en.wikipedia.org/wiki/Regional_integration
Regional Economic Communities,https://en.wikipedia.org/wiki/Regional_Economic_Communities
G8,https://en.wikipedia.org/wiki/G8
HIV,https://en.wikipedia.org/wiki/HIV
AIDS,https://en.wikipedia.org/wiki/AIDS
sexually transmitted infections,https://en.wikipedia.org/wiki/Sexually_transmitted_disease
antiretroviral drugs,https://en.wikipedia.org/wiki/Antiretroviral_drug
coronavirus pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Africa
Interpol,https://en.wikipedia.org/wiki/Interpol
Center for Global Development,https://en.wikipedia.org/wiki/Center_for_Global_Development
Washington,"https://en.wikipedia.org/wiki/Washington,_D.C."
think tank,https://en.wikipedia.org/wiki/Think_tank
banking,https://en.wikipedia.org/wiki/Bank
2005 Gleneagles G8 Summit,https://en.wikipedia.org/wiki/31st_G8_summit
aid effectiveness,https://en.wikipedia.org/wiki/Aid_effectiveness
macro-economic,https://en.wikipedia.org/wiki/Macroeconomics
sub-Saharan Africa,https://en.wikipedia.org/wiki/Sub-Saharan_Africa
United Nations,https://en.wikipedia.org/wiki/United_Nations
Millennium Development Goals,https://en.wikipedia.org/wiki/Millennium_Development_Goals
India,https://en.wikipedia.org/wiki/India
Narendra Modi,https://en.wikipedia.org/wiki/Narendra_Modi
Spain,https://en.wikipedia.org/wiki/Spain
China,https://en.wikipedia.org/wiki/China
Portugal,https://en.wikipedia.org/wiki/Portugal
African Union,https://en.wikipedia.org/wiki/African_Union
Mauritania,https://en.wikipedia.org/wiki/Mauritania
SADR,https://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic
Benin,https://en.wikipedia.org/wiki/Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/Burundi
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
Comoros,https://en.wikipedia.org/wiki/Comoros
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Ghana,https://en.wikipedia.org/wiki/Ghana
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Guinea,https://en.wikipedia.org/wiki/Guinea
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Mali,https://en.wikipedia.org/wiki/Mali
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Niger,https://en.wikipedia.org/wiki/Niger
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Somalia,https://en.wikipedia.org/wiki/Somalia
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Sudan,https://en.wikipedia.org/wiki/Sudan
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Togo,https://en.wikipedia.org/wiki/Togo
Uganda,https://en.wikipedia.org/wiki/Uganda
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Kenya,https://en.wikipedia.org/wiki/Kenya
Senegal,https://en.wikipedia.org/wiki/Senegal
Zambia,https://en.wikipedia.org/wiki/Zambia
Algeria,https://en.wikipedia.org/wiki/Algeria
Angola,https://en.wikipedia.org/wiki/Angola
Botswana,https://en.wikipedia.org/wiki/Botswana
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Egypt,https://en.wikipedia.org/wiki/Egypt
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Gabon,https://en.wikipedia.org/wiki/Gabon
Libya,https://en.wikipedia.org/wiki/Libya
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Morocco,https://en.wikipedia.org/wiki/Morocco
Namibia,https://en.wikipedia.org/wiki/Namibia
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Seychelles,https://en.wikipedia.org/wiki/Seychelles
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Argentina,https://en.wikipedia.org/wiki/Argentina
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Brazil,https://en.wikipedia.org/wiki/Brazil
Canada,https://en.wikipedia.org/wiki/Canada
China,https://en.wikipedia.org/wiki/China
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
India,https://en.wikipedia.org/wiki/India
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Portugal,https://en.wikipedia.org/wiki/Portugal
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Central Africa,https://en.wikipedia.org/wiki/Central_Africa
Yaoundé,https://en.wikipedia.org/wiki/Yaound%C3%A9
East Africa,https://en.wikipedia.org/wiki/East_Africa
Nairobi,https://en.wikipedia.org/wiki/Nairobi
North Africa,https://en.wikipedia.org/wiki/North_Africa
Tunis,https://en.wikipedia.org/wiki/Tunis
Southern Africa,https://en.wikipedia.org/wiki/Southern_Africa
Pretoria,https://en.wikipedia.org/wiki/Pretoria
West Africa,https://en.wikipedia.org/wiki/West_Africa
Abidjan,https://en.wikipedia.org/wiki/Abidjan
World,https://en.wikipedia.org/wiki/World
Nigeria,https://en.wikipedia.org/wiki/Nigeria
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
South Africa,https://en.wikipedia.org/wiki/South_Africa
Algeria,https://en.wikipedia.org/wiki/Algeria
Germany,https://en.wikipedia.org/wiki/Germany
Canada,https://en.wikipedia.org/wiki/Canada
Morocco,https://en.wikipedia.org/wiki/Morocco
France,https://en.wikipedia.org/wiki/France
Egypt,https://en.wikipedia.org/wiki/Egypt
Italy,https://en.wikipedia.org/wiki/Italy
Libya,https://en.wikipedia.org/wiki/Libya
Ghana,https://en.wikipedia.org/wiki/Ghana
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Kenya,https://en.wikipedia.org/wiki/Kenya
China,https://en.wikipedia.org/wiki/China
Denmark,https://en.wikipedia.org/wiki/Denmark
United Nations,https://en.wikipedia.org/wiki/United_Nations
Development Business,https://en.wikipedia.org/wiki/Development_Business
World Bank,https://en.wikipedia.org/wiki/World_Bank
Development Business,https://en.wikipedia.org/wiki/Development_Business
Development Business,https://en.wikipedia.org/wiki/Development_Business
African Economic Outlook,https://en.wikipedia.org/wiki/African_Economic_Outlook
OECD Development Centre,https://en.wikipedia.org/wiki/OECD_Development_Centre
"African, Caribbean and Pacific Group of States","https://en.wikipedia.org/wiki/African,_Caribbean_and_Pacific_Group_of_States"
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Asian Infrastructure Investment Bank,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Caribbean Development Bank,https://en.wikipedia.org/wiki/Caribbean_Development_Bank
CAF – Development Bank of Latin America and the Caribbean,https://en.wikipedia.org/wiki/CAF_%E2%80%93_Development_Bank_of_Latin_America_and_the_Caribbean
Islamic Development Bank,https://en.wikipedia.org/wiki/Islamic_Development_Bank
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
New Development Bank,https://en.wikipedia.org/wiki/New_Development_Bank
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Sunday Times,https://en.wikipedia.org/wiki/Sunday_Times_(South_Africa)
Agence France-Presse,https://en.wikipedia.org/wiki/Agence_France-Presse
Daily Monitor,https://en.wikipedia.org/wiki/Daily_Monitor
United Nations Convention to Combat Desertification,https://en.wikipedia.org/wiki/United_Nations_Convention_to_Combat_Desertification
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
