text,url
Intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
countries,https://en.wikipedia.org/wiki/Countries
Africa,https://en.wikipedia.org/wiki/Africa
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Organisation of African Unity,https://en.wikipedia.org/wiki/Organisation_of_African_Unity
Accra,https://en.wikipedia.org/wiki/Accra
Ghana,https://en.wikipedia.org/wiki/Ghana
Countries of Africa,https://en.wikipedia.org/wiki/Countries_of_Africa
Countries of the world,https://en.wikipedia.org/wiki/Countries_of_the_world
cocoa beans,https://en.wikipedia.org/wiki/Cocoa_beans
Algeria,https://en.wikipedia.org/wiki/Algeria
Botswana,https://en.wikipedia.org/wiki/Botswana
Benin,https://en.wikipedia.org/wiki/Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Côte d'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Chad,https://en.wikipedia.org/wiki/Chad
Democratic Republic of Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Gabon,https://en.wikipedia.org/wiki/Gabon
Ghana,https://en.wikipedia.org/wiki/Ghana
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Kenya,https://en.wikipedia.org/wiki/Kenya
Liberia,https://en.wikipedia.org/wiki/Liberia
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Morocco,https://en.wikipedia.org/wiki/Morocco
Namibia,https://en.wikipedia.org/wiki/Namibia
Libya,https://en.wikipedia.org/wiki/Libya
Niger,https://en.wikipedia.org/wiki/Niger
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Somalia,https://en.wikipedia.org/wiki/Somalia
Senegal,https://en.wikipedia.org/wiki/Senegal
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Sudan,https://en.wikipedia.org/wiki/Sudan
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Togo,https://en.wikipedia.org/wiki/Togo
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Uganda,https://en.wikipedia.org/wiki/Uganda
Zambia,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Zanzibar,https://en.wikipedia.org/wiki/Zanzibar
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
