text,url
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Colombia,https://en.wikipedia.org/wiki/Colombia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Peru,https://en.wikipedia.org/wiki/Peru
customs union,https://en.wikipedia.org/wiki/Customs_union
South American,https://en.wikipedia.org/wiki/South_America
Lima,https://en.wikipedia.org/wiki/Lima
Peru,https://en.wikipedia.org/wiki/Peru
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
Latin America,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
European Community law,https://en.wikipedia.org/wiki/Law_of_the_European_Union
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Peru,https://en.wikipedia.org/wiki/Peru
Mercosur,https://en.wikipedia.org/wiki/Mercosur
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Free Trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
Evgeny Morozov,https://en.wikipedia.org/wiki/Evgeny_Morozov
technological sovereignty,https://en.wikipedia.org/wiki/Technological_sovereignty
Secretariat,https://en.wikipedia.org/wiki/Secretary-General_of_the_Andean_Community
Lima,https://en.wikipedia.org/wiki/Lima
Augusto Pinochet,https://en.wikipedia.org/wiki/Augusto_Pinochet
Chile,https://en.wikipedia.org/wiki/Chile
Andean Parliament,https://en.wikipedia.org/wiki/Andean_Parliament
Lima,https://en.wikipedia.org/wiki/Lima
Andean Parliament,https://en.wikipedia.org/wiki/Andean_Parliament
Bogotá,https://en.wikipedia.org/wiki/Bogot%C3%A1
open skies,https://en.wikipedia.org/wiki/Open_skies
Trujillo,"https://en.wikipedia.org/wiki/Trujillo,_Peru"
Mercosur,https://en.wikipedia.org/wiki/Mercosur
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Montevideo,https://en.wikipedia.org/wiki/Montevideo
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Colombia,https://en.wikipedia.org/wiki/Colombia
Peru,https://en.wikipedia.org/wiki/Peru
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Juan Guaidó,https://en.wikipedia.org/wiki/Juan_Guaid%C3%B3
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Colombia,https://en.wikipedia.org/wiki/Colombia
Peru,https://en.wikipedia.org/wiki/Peru
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Chile,https://en.wikipedia.org/wiki/Chile
Spain,https://en.wikipedia.org/wiki/Spain
Morocco,https://en.wikipedia.org/wiki/Morocco
Turkey,https://en.wikipedia.org/wiki/Turkey
Greece,https://en.wikipedia.org/wiki/Greece
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Mercosur,https://en.wikipedia.org/wiki/Mercosur
Chile,https://en.wikipedia.org/wiki/Chile
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
Mercosur,https://en.wikipedia.org/wiki/Mercosur
South American Free Trade Area,https://en.wikipedia.org/wiki/South_American_Free_Trade_Area
Union of South American Nations,https://en.wikipedia.org/wiki/Union_of_South_American_Nations
European Union,https://en.wikipedia.org/wiki/European_Union
Allan Wagner,https://en.wikipedia.org/wiki/Allan_Wagner
Alí Rodríguez,https://en.wikipedia.org/wiki/Al%C3%AD_Rodr%C3%ADguez
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez
María Cristina Iglesias,https://en.wikipedia.org/wiki/Mar%C3%ADa_Cristina_Iglesias
Exclusive Economic Zones,https://en.wikipedia.org/wiki/Exclusive_Economic_Zones
WTO,https://en.wikipedia.org/wiki/WTO
UNASUR,https://en.wikipedia.org/wiki/UNASUR
ALBA,https://en.wikipedia.org/wiki/ALBA
Lima,https://en.wikipedia.org/wiki/Lima
Peru,https://en.wikipedia.org/wiki/Peru
Lima,https://en.wikipedia.org/wiki/Lima
Peru,https://en.wikipedia.org/wiki/Peru
Lima,https://en.wikipedia.org/wiki/Lima
