text,url
international law,https://en.wikipedia.org/wiki/International_law
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference
Indonesia,https://en.wikipedia.org/wiki/Indonesia
United Arab Republic,https://en.wikipedia.org/wiki/United_Arab_Republic
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
United Nations,https://en.wikipedia.org/wiki/United_Nations
Rahmat Mohamad,https://en.wikipedia.org/wiki/Rahmat_Mohamad
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Brunei,https://en.wikipedia.org/wiki/Brunei
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
China,https://en.wikipedia.org/wiki/China
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
United Arab Republic,https://en.wikipedia.org/wiki/United_Arab_Republic
The Gambia,https://en.wikipedia.org/wiki/The_Gambia
Ghana,https://en.wikipedia.org/wiki/Ghana
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Japan,https://en.wikipedia.org/wiki/Japan
Jordan,https://en.wikipedia.org/wiki/Jordan
Kenya,https://en.wikipedia.org/wiki/Kenya
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Libya,https://en.wikipedia.org/wiki/Libya
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Nigeria,https://en.wikipedia.org/wiki/Nigeria
North Korea,https://en.wikipedia.org/wiki/North_Korea
Oman,https://en.wikipedia.org/wiki/Oman
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Philippines,https://en.wikipedia.org/wiki/Philippines
Qatar,https://en.wikipedia.org/wiki/Qatar
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Senegal,https://en.wikipedia.org/wiki/Senegal
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Singapore,https://en.wikipedia.org/wiki/Singapore
Somalia,https://en.wikipedia.org/wiki/Somalia
South Africa,https://en.wikipedia.org/wiki/South_Africa
South Korea,https://en.wikipedia.org/wiki/South_Korea
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
State of Palestine,https://en.wikipedia.org/wiki/Palestine
Sudan,https://en.wikipedia.org/wiki/Sudan
Syria,https://en.wikipedia.org/wiki/Syria
United Arab Republic,https://en.wikipedia.org/wiki/United_Arab_Republic
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Thailand,https://en.wikipedia.org/wiki/Thailand
Turkey,https://en.wikipedia.org/wiki/Turkey
Uganda,https://en.wikipedia.org/wiki/Uganda
Viet Nam,https://en.wikipedia.org/wiki/Vietnam
Yemen,https://en.wikipedia.org/wiki/Yemen
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Botswana,https://en.wikipedia.org/wiki/Botswana
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
