text,url
Spanish,https://en.wikipedia.org/wiki/Spanish_language
French,https://en.wikipedia.org/wiki/French_language
Caribbean Basin,https://en.wikipedia.org/wiki/Caribbean_Basin
Caribbean,https://en.wikipedia.org/wiki/Caribbean
sustainable tourism,https://en.wikipedia.org/wiki/Sustainable_tourism
"Cartagena, Colombia","https://en.wikipedia.org/wiki/Cartagena,_Colombia"
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
regionalism,https://en.wikipedia.org/wiki/Regionalism_(politics)
Caribbean Basin,https://en.wikipedia.org/wiki/Caribbean_Basin
regionalism,https://en.wikipedia.org/wiki/Regionalism_(politics)
North American Free Trade Agreement,https://en.wikipedia.org/wiki/North_American_Free_Trade_Agreement
European Union,https://en.wikipedia.org/wiki/European_Union
Arab League,https://en.wikipedia.org/wiki/Arab_League
South Asian Association for Regional Cooperation,https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation
Caribbean Sea,https://en.wikipedia.org/wiki/Caribbean_Sea
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
nuclear materials,https://en.wikipedia.org/wiki/Nuclear_material
Panama Canal,https://en.wikipedia.org/wiki/Panama_Canal
European Union,https://en.wikipedia.org/wiki/European_Union
CARICOM,https://en.wikipedia.org/wiki/CARICOM
Central American Common Market,https://en.wikipedia.org/wiki/Central_American_Common_Market
western hemisphere,https://en.wikipedia.org/wiki/Western_hemisphere
Port of Spain,https://en.wikipedia.org/wiki/Port_of_Spain
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Santo Domingo,https://en.wikipedia.org/wiki/Santo_Domingo
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Isla Margarita,https://en.wikipedia.org/wiki/Isla_Margarita
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Panama City,https://en.wikipedia.org/wiki/Panama_City
Panama,https://en.wikipedia.org/wiki/Panama
Pétion-Ville,https://en.wikipedia.org/wiki/P%C3%A9tion-Ville
Haiti,https://en.wikipedia.org/wiki/Haiti
Mérida,"https://en.wikipedia.org/wiki/M%C3%A9rida,_Yucat%C3%A1n"
Mexico,https://en.wikipedia.org/wiki/Mexico
Havana,https://en.wikipedia.org/wiki/Havana
Cuba,https://en.wikipedia.org/wiki/Cuba
Managua,https://en.wikipedia.org/wiki/Managua
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Antigua Guatemala,https://en.wikipedia.org/wiki/Antigua_Guatemala
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Barbados,https://en.wikipedia.org/wiki/Barbados
Belize,https://en.wikipedia.org/wiki/Belize
Colombia,https://en.wikipedia.org/wiki/Colombia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Cuba,https://en.wikipedia.org/wiki/Cuba
Dominica,https://en.wikipedia.org/wiki/Dominica
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Grenada,https://en.wikipedia.org/wiki/Grenada
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guyana,https://en.wikipedia.org/wiki/Guyana
Haiti,https://en.wikipedia.org/wiki/Haiti
Honduras,https://en.wikipedia.org/wiki/Honduras
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Mexico,https://en.wikipedia.org/wiki/Mexico
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Panama,https://en.wikipedia.org/wiki/Panama
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Suriname,https://en.wikipedia.org/wiki/Suriname
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Aruba,https://en.wikipedia.org/wiki/Aruba
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands
Curaçao,https://en.wikipedia.org/wiki/Cura%C3%A7ao
France,https://en.wikipedia.org/wiki/France
French Guiana,https://en.wikipedia.org/wiki/French_Guiana
Saint Barthélemy,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Martinique,https://en.wikipedia.org/wiki/Martinique
Saint Martin,https://en.wikipedia.org/wiki/Collectivity_of_Saint_Martin
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Bonaire,https://en.wikipedia.org/wiki/Bonaire
Saba,https://en.wikipedia.org/wiki/Saba_(island)
Sint Eustatius,https://en.wikipedia.org/wiki/Sint_Eustatius
