text,url
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Bhutan,https://en.wikipedia.org/wiki/Bhutan
India,https://en.wikipedia.org/wiki/India
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Thailand,https://en.wikipedia.org/wiki/Thailand
countries dependent on the Bay of Bengal,https://en.wikipedia.org/wiki/Countries_dependent_on_the_Bay_of_Bengal
free trade agreement,https://en.wikipedia.org/wiki/Free_trade_agreement
SAARC,https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation
Dhaka,https://en.wikipedia.org/wiki/Dhaka
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
India,https://en.wikipedia.org/wiki/India
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Thailand,https://en.wikipedia.org/wiki/Thailand
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Bay of Bengal,https://en.wikipedia.org/wiki/Bay_of_Bengal
Dhaka,https://en.wikipedia.org/wiki/Dhaka
Secretary General,https://en.wikipedia.org/wiki/Secretary_General
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
M Shahidul Islam,https://en.wikipedia.org/wiki/M_Shahidul_Islam
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Tenzin Lekphell,https://en.wikipedia.org/wiki/Tenzin_Lekphell
India,https://en.wikipedia.org/wiki/India
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
India,https://en.wikipedia.org/wiki/India
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Thailand,https://en.wikipedia.org/wiki/Thailand
Nepal,https://en.wikipedia.org/wiki/Nepal
Chief executive,https://en.wikipedia.org/wiki/Chief_executive_(gubernatorial)
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
regional organizations,https://en.wikipedia.org/wiki/Regional_organization
Head of state,https://en.wikipedia.org/wiki/Head_of_state
Head of government,https://en.wikipedia.org/wiki/Head_of_government
Nominal GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Mohammed Shahabuddin,https://en.wikipedia.org/wiki/Mohammed_Shahabuddin
President of Bangladesh,https://en.wikipedia.org/wiki/President_of_Bangladesh
Muhammad Yunus,https://en.wikipedia.org/wiki/Muhammad_Yunus
Chief Adviser of Bangladesh,https://en.wikipedia.org/wiki/Chief_Adviser_of_Bangladesh
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Jigme Khesar Namgyel Wangchuck,https://en.wikipedia.org/wiki/Jigme_Khesar_Namgyel_Wangchuck
King of Bhutan,https://en.wikipedia.org/wiki/King_of_Bhutan
Tshering Tobgay,https://en.wikipedia.org/wiki/Tshering_Tobgay
Prime Minister of Bhutan,https://en.wikipedia.org/wiki/Prime_Minister_of_Bhutan
India,https://en.wikipedia.org/wiki/India
Droupadi Murmu,https://en.wikipedia.org/wiki/Droupadi_Murmu
President of India,https://en.wikipedia.org/wiki/President_of_India
Narendra Modi,https://en.wikipedia.org/wiki/Narendra_Modi
Prime Minister of India,https://en.wikipedia.org/wiki/Prime_Minister_of_India
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Myint Swe,https://en.wikipedia.org/wiki/Myint_Swe
President of Myanmar,https://en.wikipedia.org/wiki/President_of_Myanmar
Min Aung Hlaing,https://en.wikipedia.org/wiki/Min_Aung_Hlaing
Prime Minister of Myanmar,https://en.wikipedia.org/wiki/Prime_Minister_of_Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Ram Chandra Poudel,https://en.wikipedia.org/wiki/Ram_Chandra_Poudel
President of Nepal,https://en.wikipedia.org/wiki/President_of_Nepal
