text,url
Dutch,https://en.wikipedia.org/wiki/Dutch_language
French,https://en.wikipedia.org/wiki/French_language
German,https://en.wikipedia.org/wiki/German_language
Luxembourgish,https://en.wikipedia.org/wiki/Luxembourgish_language
economic union,https://en.wikipedia.org/wiki/Economic_union
Belgium,https://en.wikipedia.org/wiki/Belgium
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Benelux Union,https://en.wikipedia.org/wiki/Benelux
referendum,https://en.wikipedia.org/wiki/1919_Luxembourg_referendum
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Luxembourg Chamber of Deputies,https://en.wikipedia.org/wiki/Chamber_of_Deputies_(Luxembourg)
Belgian franc,https://en.wikipedia.org/wiki/Belgian_franc
Luxembourg franc,https://en.wikipedia.org/wiki/Luxembourg_franc
fixed exchange rate system,https://en.wikipedia.org/wiki/Fixed_exchange_rate_system
euro,https://en.wikipedia.org/wiki/Euro
Benelux Union,https://en.wikipedia.org/wiki/Benelux
London Customs Convention,https://en.wikipedia.org/wiki/London_Customs_Convention
European Union,https://en.wikipedia.org/wiki/European_Union
Zollverein,https://en.wikipedia.org/wiki/Zollverein
Belgium–Luxembourg relations,https://en.wikipedia.org/wiki/Belgium%E2%80%93Luxembourg_relations
European Coal and Steel Community,https://en.wikipedia.org/wiki/European_Coal_and_Steel_Community
European Commission,https://en.wikipedia.org/wiki/European_Commission
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
