text,url
forests,https://en.wikipedia.org/wiki/Forests
CGIAR,https://en.wikipedia.org/wiki/CGIAR
sustainable agriculture,https://en.wikipedia.org/wiki/Sustainable_agriculture
desertification,https://en.wikipedia.org/wiki/Desertification
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Rio Convention,https://en.wikipedia.org/wiki/Rio_Convention
Paris agreement,https://en.wikipedia.org/wiki/Paris_Agreement
UN Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
"Bogor, Indonesia","https://en.wikipedia.org/wiki/Bogor,_Indonesia"
forests,https://en.wikipedia.org/wiki/Forests
deforestation,https://en.wikipedia.org/wiki/Deforestation
agriculture,https://en.wikipedia.org/wiki/Agriculture
investment policies,https://en.wikipedia.org/wiki/Investment_policy
"Bogor, Indonesia","https://en.wikipedia.org/wiki/Bogor,_Indonesia"
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Kenya,https://en.wikipedia.org/wiki/Kenya
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Zambia,https://en.wikipedia.org/wiki/Zambia
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Laos,https://en.wikipedia.org/wiki/Laos
Brazil,https://en.wikipedia.org/wiki/Brazil
Peru,https://en.wikipedia.org/wiki/Peru
Consultative Group on International Agricultural Research,https://en.wikipedia.org/wiki/Consultative_Group_on_International_Agricultural_Research
World Agroforestry Centre,https://en.wikipedia.org/wiki/World_Agroforestry_Centre
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
Bioversity International,https://en.wikipedia.org/wiki/Bioversity_International
Earth Summit,https://en.wikipedia.org/wiki/Earth_Summit
Australian Centre for International Agricultural Research,https://en.wikipedia.org/wiki/Australian_Centre_for_International_Agricultural_Research
Australia,https://en.wikipedia.org/wiki/Australia
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United States,https://en.wikipedia.org/wiki/United_States
United Nations,https://en.wikipedia.org/wiki/United_Nations
Government of Indonesia,https://en.wikipedia.org/wiki/Government_of_Indonesia
tree breeding,https://en.wikipedia.org/wiki/Tree_breeding
NORAD,https://en.wikipedia.org/wiki/Norad_(Norway)
Australian Aid,https://en.wikipedia.org/wiki/Australian_Aid
USAID,https://en.wikipedia.org/wiki/USAID
BMUB,https://en.wikipedia.org/wiki/BMUB
GEF,https://en.wikipedia.org/wiki/Global_Environment_Facility
IFAD,https://en.wikipedia.org/wiki/IFAD
Finnish Ministry for Foreign Affairs,https://en.wikipedia.org/wiki/Finnish_Ministry_for_Foreign_Affairs
Austrian Development Agency,https://en.wikipedia.org/wiki/Austrian_Development_Agency
DFID,https://en.wikipedia.org/wiki/DFID
French Global Environment Facility,https://en.wikipedia.org/wiki/French_Global_Environment_Facility
Swiss Agency for Development and Cooperation,https://en.wikipedia.org/wiki/Swiss_Agency_for_Development_and_Cooperation
World Agroforestry Centre,https://en.wikipedia.org/wiki/World_Agroforestry_Centre
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
Bioversity International,https://en.wikipedia.org/wiki/Bioversity_International
smallholder,https://en.wikipedia.org/wiki/Smallholding
climate change adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation
Reducing Emissions from Deforestation and forest Degradation,https://en.wikipedia.org/wiki/Reducing_Emissions_from_Deforestation_and_forest_Degradation
climate change and energy,https://en.wikipedia.org/wiki/Climate_change_and_energy
Collaborative Partnership on Forests,https://en.wikipedia.org/wiki/Collaborative_Partnership_on_Forests
United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
Durban,https://en.wikipedia.org/wiki/Durban
South Africa,https://en.wikipedia.org/wiki/South_Africa
Bali,https://en.wikipedia.org/wiki/Bali
Poznań,https://en.wikipedia.org/wiki/Pozna%C5%84
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Cancun,https://en.wikipedia.org/wiki/Cancun
Susilo Bambang Yudhoyono,https://en.wikipedia.org/wiki/Susilo_Bambang_Yudhoyono
Global Landscapes Forum,https://en.wikipedia.org/wiki/Global_Landscapes_Forum
Australian Centre for International Agricultural Research,https://en.wikipedia.org/wiki/Australian_Centre_for_International_Agricultural_Research
Bioversity International,https://en.wikipedia.org/wiki/Bioversity_International
Collaborative Partnership on Forests,https://en.wikipedia.org/wiki/Collaborative_Partnership_on_Forests
Consultative Group on International Agricultural Research,https://en.wikipedia.org/wiki/CGIAR
International Center for Tropical Agriculture,https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture
United Nations Forum on Forests,https://en.wikipedia.org/wiki/United_Nations_Forum_on_Forests
United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
World Agroforestry Centre,https://en.wikipedia.org/wiki/World_Agroforestry_Centre
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
YouTube,https://en.wikipedia.org/wiki/YouTube
