text,url
international organisation,https://en.wikipedia.org/wiki/International_organisation
Rhine,https://en.wikipedia.org/wiki/Rhine
Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Belgium,https://en.wikipedia.org/wiki/Belgium
France,https://en.wikipedia.org/wiki/France
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
German states,https://en.wikipedia.org/wiki/States_of_the_German_Empire
World War I,https://en.wikipedia.org/wiki/World_War_I
World War II,https://en.wikipedia.org/wiki/World_War_II
Allied occupation,https://en.wikipedia.org/wiki/Allied_occupation_of_Germany
Palais du Rhin,https://en.wikipedia.org/wiki/Palais_du_Rhin
Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
Palais du Rhin,https://en.wikipedia.org/wiki/Palais_du_Rhin
the Regional Directorate of Cultural Affairs,https://en.wikipedia.org/wiki/Direction_r%C3%A9gionale_des_affaires_culturelles
Alsace,https://en.wikipedia.org/wiki/Alsace
Congress of Vienna,https://en.wikipedia.org/wiki/Congress_of_Vienna
Napoleonic Wars,https://en.wikipedia.org/wiki/Napoleonic_Wars
Mainz,https://en.wikipedia.org/wiki/Mainz
Grand Duchy of Baden,https://en.wikipedia.org/wiki/Grand_Duchy_of_Baden
Kingdom of Bavaria,https://en.wikipedia.org/wiki/Kingdom_of_Bavaria
Grand Duchy of Hesse,https://en.wikipedia.org/wiki/Grand_Duchy_of_Hesse
Duchy of Nassau,https://en.wikipedia.org/wiki/Duchy_of_Nassau
Kingdom of Prussia,https://en.wikipedia.org/wiki/Kingdom_of_Prussia
Mannheim,https://en.wikipedia.org/wiki/Mannheim
Mannheimer Akte,https://en.wikipedia.org/wiki/Mannheimer_Akte
Franco-Prussian War,https://en.wikipedia.org/wiki/Franco-Prussian_War
Treaty of Frankfurt (1871),https://en.wikipedia.org/wiki/Treaty_of_Frankfurt_(1871)
First World War,https://en.wikipedia.org/wiki/First_World_War
Treaty of Versailles,https://en.wikipedia.org/wiki/Treaty_of_Versailles
Kingdom of Italy,https://en.wikipedia.org/wiki/Kingdom_of_Italy
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Weimar Republic,https://en.wikipedia.org/wiki/Weimar_Republic
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler
Battle of France,https://en.wikipedia.org/wiki/Battle_of_France
"armistice of June 22, 1940","https://en.wikipedia.org/wiki/Armistice_of_June_22,_1940"
European Commission,https://en.wikipedia.org/wiki/European_Commission
Council of Ministers,https://en.wikipedia.org/wiki/Council_of_the_European_Union
European Union,https://en.wikipedia.org/wiki/European_Union
Danube Commission,https://en.wikipedia.org/wiki/Danube_Commission_(1948)
International Commission for the Protection of the Danube River,https://en.wikipedia.org/wiki/International_Commission_for_the_Protection_of_the_Danube_River
European institutions in Strasbourg,https://en.wikipedia.org/wiki/European_institutions_in_Strasbourg
Google Books,https://en.wikipedia.org/wiki/Google_Books
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
