text,url
Russian,https://en.wikipedia.org/wiki/Russian_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Russian
intergovernmental,https://en.wikipedia.org/wiki/Intergovernmental_organization
military alliance,https://en.wikipedia.org/wiki/Military_alliance
Eurasia,https://en.wikipedia.org/wiki/Eurasia
post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
Armenia,https://en.wikipedia.org/wiki/Armenia
Belarus,https://en.wikipedia.org/wiki/Belarus
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Russia,https://en.wikipedia.org/wiki/Russia
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Soviet Armed Forces,https://en.wikipedia.org/wiki/Soviet_Armed_Forces
United Armed Forces of the Commonwealth of Independent States,https://en.wikipedia.org/wiki/United_Armed_Forces_of_the_Commonwealth_of_Independent_States
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Article 5 of the North Atlantic Treaty,https://en.wikipedia.org/wiki/Article_5_of_the_North_Atlantic_Treaty
Inter-American Treaty of Reciprocal Assistance,https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance
NATO,https://en.wikipedia.org/wiki/NATO
United Nations,https://en.wikipedia.org/wiki/United_Nations
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
the local unrest,https://en.wikipedia.org/wiki/2022_Kazakh_unrest
transnational crime,https://en.wikipedia.org/wiki/Transnational_crime
ad hoc,https://en.wikipedia.org/wiki/Ad_hoc
Ministry of Foreign Affairs,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Uzbekistan)
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Russia,https://en.wikipedia.org/wiki/Russia
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
