text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Colombo,https://en.wikipedia.org/wiki/Colombo
Ceylon,https://en.wikipedia.org/wiki/Ceylon
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Australia,https://en.wikipedia.org/wiki/Australia
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Canada,https://en.wikipedia.org/wiki/Canada
Ceylon,https://en.wikipedia.org/wiki/Ceylon
Pakistan,https://en.wikipedia.org/wiki/Pakistan
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Ceylon,https://en.wikipedia.org/wiki/Ceylon
India,https://en.wikipedia.org/wiki/India
United States,https://en.wikipedia.org/wiki/United_States
memorandum of understanding,https://en.wikipedia.org/wiki/Memorandum_of_understanding
privileges,https://en.wikipedia.org/wiki/Diplomatic_privileges
immunities,https://en.wikipedia.org/wiki/Diplomatic_immunity
Dato',https://en.wikipedia.org/wiki/Dato%27
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
Capacity Building,https://en.wikipedia.org/wiki/Capacity_Building
Manila,https://en.wikipedia.org/wiki/Manila
Dr Sanduk Ruit,https://en.wikipedia.org/wiki/Sanduk_Ruit
Dr. Baburam Bhattarai,https://en.wikipedia.org/wiki/Baburam_Bhattarai
Ong Teng Cheong,https://en.wikipedia.org/wiki/Ong_Teng_Cheong
Karunasena Kodituwakku,https://en.wikipedia.org/wiki/Karunasena_Kodituwakku
Khaw Boon Wan,https://en.wikipedia.org/wiki/Khaw_Boon_Wan
Raymond Lim,https://en.wikipedia.org/wiki/Raymond_Lim
Yeo Cheow Tong,https://en.wikipedia.org/wiki/Yeo_Cheow_Tong
S. Iswaran,https://en.wikipedia.org/wiki/S._Iswaran
Mah Bow Tan,https://en.wikipedia.org/wiki/Mah_Bow_Tan
Abdul Ghani Bin Othman,https://en.wikipedia.org/wiki/Abdul_Ghani_Othman
Mazlan Othman,https://en.wikipedia.org/wiki/Mazlan_Othman
United Nations Office for Outer Space Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_Outer_Space_Affairs
Joseph Pairin Kitingan,https://en.wikipedia.org/wiki/Joseph_Pairin_Kitingan
