text,url
regional intergovernmental organization,https://en.wikipedia.org/wiki/Regional_organization
Eurasia,https://en.wikipedia.org/wiki/Eurasia
dissolution,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Belarus,https://en.wikipedia.org/wiki/Byelorussian_SSR
Russia,https://en.wikipedia.org/wiki/Russian_SFSR
Ukraine,https://en.wikipedia.org/wiki/Ukrainian_SSR
Belovezha Accords,https://en.wikipedia.org/wiki/Belovezha_Accords
Alma-Ata Protocol,https://en.wikipedia.org/wiki/Alma-Ata_Protocol
Estonia,https://en.wikipedia.org/wiki/Estonia
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
a war with Russia,https://en.wikipedia.org/wiki/Russo-Georgian_War
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Russian annexation of Crimea,https://en.wikipedia.org/wiki/Annexation_of_Crimea_by_the_Russian_Federation
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
Moldova,https://en.wikipedia.org/wiki/Moldova
CIS Free Trade Area,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States_Free_Trade_Area
Collective Security Treaty Organization,https://en.wikipedia.org/wiki/Collective_Security_Treaty_Organization
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Eurasian Customs Union,https://en.wikipedia.org/wiki/Customs_Union_of_the_Eurasian_Economic_Union
Eurasian Economic Space,https://en.wikipedia.org/wiki/Eurasian_Economic_Space
Union State,https://en.wikipedia.org/wiki/Union_State
supranational union,https://en.wikipedia.org/wiki/Supranational_union
Russia,https://en.wikipedia.org/wiki/Russia
Belarus,https://en.wikipedia.org/wiki/Belarus
Belovezh Accords,https://en.wikipedia.org/wiki/Belovezh_Accords
Russophone,https://en.wikipedia.org/wiki/Russian_language
Russian Empire,https://en.wikipedia.org/wiki/Russian_Empire
Russian Republic,https://en.wikipedia.org/wiki/Russian_Republic
February Revolution,https://en.wikipedia.org/wiki/February_Revolution
October Revolution,https://en.wikipedia.org/wiki/October_Revolution
Russian Soviet Federative Socialist Republic,https://en.wikipedia.org/wiki/Russian_Soviet_Federative_Socialist_Republic
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Treaty,https://en.wikipedia.org/wiki/Treaty_on_the_Creation_of_the_USSR
Declaration of the Creation of the USSR,https://en.wikipedia.org/wiki/Declaration_of_the_Creation_of_the_USSR
Byelorussian SSR,https://en.wikipedia.org/wiki/Byelorussian_Soviet_Socialist_Republic
Ukrainian SSR,https://en.wikipedia.org/wiki/Ukrainian_Soviet_Socialist_Republic
Transcaucasian SFSR,https://en.wikipedia.org/wiki/Transcaucasian_SFSR
Perestroika,https://en.wikipedia.org/wiki/Perestroika
Mikhail Gorbachev,https://en.wikipedia.org/wiki/Mikhail_Gorbachev
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
referendum,https://en.wikipedia.org/wiki/1991_Soviet_Union_referendum
union of sovereign republics,https://en.wikipedia.org/wiki/New_Union_Treaty
Communist Party,https://en.wikipedia.org/wiki/Communist_Party_of_the_Soviet_Union
attempted coup,https://en.wikipedia.org/wiki/1991_Soviet_coup_d%27%C3%A9tat_attempt
Moscow,https://en.wikipedia.org/wiki/Moscow
failed 1991 coup,https://en.wikipedia.org/wiki/1991_Soviet_coup_d%27%C3%A9tat_attempt
Ukrainian independence referendum was held,https://en.wikipedia.org/wiki/1991_Ukrainian_independence_referendum
Byelorussian SSR,https://en.wikipedia.org/wiki/Byelorussian_SSR
Russian SFSR,https://en.wikipedia.org/wiki/Russian_Soviet_Federative_Socialist_Republic
Ukrainian SSR,https://en.wikipedia.org/wiki/Ukrainian_SSR
Belovezhskaya Pushcha,https://en.wikipedia.org/wiki/Belovezhskaya_Pushcha
Brest,"https://en.wikipedia.org/wiki/Brest,_Belarus"
Belovezh Accords,https://en.wikipedia.org/wiki/Belovezh_Accords
Russian,https://en.wikipedia.org/wiki/Russian_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Russian
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Moldova,https://en.wikipedia.org/wiki/Moldova
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Alma-Ata Protocol,https://en.wikipedia.org/wiki/Alma-Ata_Protocol
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Baltic states,https://en.wikipedia.org/wiki/Baltic_states
occupied,https://en.wikipedia.org/wiki/Occupation_of_the_Baltic_states
Soviet of the Republics,https://en.wikipedia.org/wiki/Soviet_of_the_Republics
GDP,https://en.wikipedia.org/wiki/GDP
Post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
privatisation,https://en.wikipedia.org/wiki/Privatisation
Charter of the CIS,https://en.wikipedia.org/wiki/CIS_Charter
Ivan Korotchenya,https://en.wikipedia.org/wiki/Ivan_Korotchenya
Boris Berezovsky,https://en.wikipedia.org/wiki/Boris_Berezovsky_(businessman)
Ivan Korotchenya,https://en.wikipedia.org/wiki/Ivan_Korotchenya
Yury Yarov,https://en.wikipedia.org/wiki/Yury_Yarov
Vladimir Rushailo,https://en.wikipedia.org/wiki/Vladimir_Rushailo
