text,url
international association,https://en.wikipedia.org/wiki/International_organization
56 member states,https://en.wikipedia.org/wiki/Member_states_of_the_Commonwealth_of_Nations
territories,https://en.wikipedia.org/wiki/Territorial_evolution_of_the_British_Empire
British Empire,https://en.wikipedia.org/wiki/British_Empire
use of the English language,https://en.wikipedia.org/wiki/English_in_the_Commonwealth_of_Nations
Commonwealth Secretariat,https://en.wikipedia.org/wiki/Commonwealth_Secretariat
Commonwealth Foundation,https://en.wikipedia.org/wiki/Commonwealth_Foundation
organisations,https://en.wikipedia.org/wiki/List_of_Commonwealth_organisations
decolonisation,https://en.wikipedia.org/wiki/Decolonisation
Balfour Declaration,https://en.wikipedia.org/wiki/Balfour_Declaration_of_1926
1926 Imperial Conference,https://en.wikipedia.org/wiki/1926_Imperial_Conference
Statute of Westminster,https://en.wikipedia.org/wiki/Statute_of_Westminster_1931
London Declaration,https://en.wikipedia.org/wiki/London_Declaration
Head of the Commonwealth,https://en.wikipedia.org/wiki/Head_of_the_Commonwealth
Charles III,https://en.wikipedia.org/wiki/Charles_III
Commonwealth realms,https://en.wikipedia.org/wiki/Commonwealth_realm
republics,https://en.wikipedia.org/wiki/Republics_in_the_Commonwealth_of_Nations
Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II
Commonwealth citizens,https://en.wikipedia.org/wiki/Commonwealth_citizen
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
high commissions,https://en.wikipedia.org/wiki/High_commissioner_(Commonwealth)
Commonwealth Charter,https://en.wikipedia.org/wiki/Charter_of_the_Commonwealth
democracy,https://en.wikipedia.org/wiki/Democracy
human rights,https://en.wikipedia.org/wiki/Human_rights
rule of law,https://en.wikipedia.org/wiki/Rule_of_law
Commonwealth Games,https://en.wikipedia.org/wiki/Commonwealth_Games
small states,https://en.wikipedia.org/wiki/Small_power
small island developing states,https://en.wikipedia.org/wiki/Small_Island_Developing_States
Anglo-Irish Treaty,https://en.wikipedia.org/wiki/Anglo-Irish_Treaty
Commonwealth Prime Ministers' Conference,https://en.wikipedia.org/wiki/Commonwealth_Prime_Ministers%27_Conference
Mackenzie King,https://en.wikipedia.org/wiki/William_Lyon_Mackenzie_King
Jan Smuts,https://en.wikipedia.org/wiki/Jan_Smuts
South Africa,https://en.wikipedia.org/wiki/Union_of_South_Africa
