text,url
inter-governmental forum,https://en.wikipedia.org/wiki/Inter-governmental_organization
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Nursultan Nazarbayev,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Cambodia,https://en.wikipedia.org/wiki/Cambodia
China,https://en.wikipedia.org/wiki/China
Egypt,https://en.wikipedia.org/wiki/Egypt
India,https://en.wikipedia.org/wiki/India
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Israel,https://en.wikipedia.org/wiki/Israel
Jordan,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palestine,https://en.wikipedia.org/wiki/Palestine
Qatar,https://en.wikipedia.org/wiki/Qatar
Russia,https://en.wikipedia.org/wiki/Russia
Republic of Korea,https://en.wikipedia.org/wiki/South_Korea
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Thailand,https://en.wikipedia.org/wiki/Thailand
Turkey,https://en.wikipedia.org/wiki/Turkey
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Belarus,https://en.wikipedia.org/wiki/Belarus
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Japan,https://en.wikipedia.org/wiki/Japan
Laos,https://en.wikipedia.org/wiki/Laos
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Philippines,https://en.wikipedia.org/wiki/Philippines
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United States,https://en.wikipedia.org/wiki/United_States
International Organization for Migration,https://en.wikipedia.org/wiki/International_Organization_for_Migration
League of Arab States,https://en.wikipedia.org/wiki/Arab_League
