text,url
West African,https://en.wikipedia.org/wiki/West_African
Côte d'Ivoire,https://en.wikipedia.org/wiki/C%C3%B4te_d%27Ivoire
Niger,https://en.wikipedia.org/wiki/Niger
Upper Volta,https://en.wikipedia.org/wiki/Republic_of_Upper_Volta
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Dahomey,https://en.wikipedia.org/wiki/Republic_of_Dahomey
Benin,https://en.wikipedia.org/wiki/Benin
Togo,https://en.wikipedia.org/wiki/Togo
Sahel-Benin Union,https://en.wikipedia.org/wiki/Sahel-Benin_Union
French,https://en.wikipedia.org/wiki/France
French West Africa,https://en.wikipedia.org/wiki/French_West_Africa
Abidjan,https://en.wikipedia.org/wiki/Abidjan
Entente,https://en.wikipedia.org/wiki/Entente_(disambiguation)
Trade bloc,https://en.wikipedia.org/wiki/Trade_bloc
International organizations,https://en.wikipedia.org/wiki/International_organization
Ithaca,"https://en.wikipedia.org/wiki/Ithaca,_New_York"
Cornell University Press,https://en.wikipedia.org/wiki/Cornell_University_Press
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
