text,url
French,https://en.wikipedia.org/wiki/French_language
international organisation,https://en.wikipedia.org/wiki/International_organisation
human rights,https://en.wikipedia.org/wiki/Human_rights
democracy,https://en.wikipedia.org/wiki/Democracy
rule of law,https://en.wikipedia.org/wiki/Law_in_Europe
Europe,https://en.wikipedia.org/wiki/Europe
euros,https://en.wikipedia.org/wiki/Euro
European Union,https://en.wikipedia.org/wiki/European_Union
European flag,https://en.wikipedia.org/wiki/Flag_of_Europe
European anthem,https://en.wikipedia.org/wiki/Anthem_of_Europe
United Nations observer,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
"Convention for the Protection of Human Rights and Fundamental Freedoms (European Convention on Human Rights, ECHR) of 1953.",https://en.wikipedia.org/wiki/European_Convention_on_Human_Rights
European Court of Human Rights,https://en.wikipedia.org/wiki/European_Court_of_Human_Rights
Committee of Ministers,https://en.wikipedia.org/wiki/Committee_of_Ministers
foreign ministers,https://en.wikipedia.org/wiki/Foreign_minister
Parliamentary Assembly of the Council of Europe,https://en.wikipedia.org/wiki/Parliamentary_Assembly_of_the_Council_of_Europe
Commissioner for Human Rights,https://en.wikipedia.org/wiki/Commissioner_for_Human_Rights
secretary general,https://en.wikipedia.org/wiki/Secretary_General_of_the_Council_of_Europe
European Directorate for the Quality of Medicines & HealthCare,https://en.wikipedia.org/wiki/European_Directorate_for_the_Quality_of_Medicines
European Audiovisual Observatory,https://en.wikipedia.org/wiki/European_Audiovisual_Observatory
Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
English,https://en.wikipedia.org/wiki/English_language
French,https://en.wikipedia.org/wiki/French_language
official languages,https://en.wikipedia.org/wiki/Official_language
Congress of the Council of Europe,https://en.wikipedia.org/wiki/Congress_of_the_Council_of_Europe
German,https://en.wikipedia.org/wiki/German_language
Italian,https://en.wikipedia.org/wiki/Italian_language
Member states of the Council of Europe,https://en.wikipedia.org/wiki/Member_states_of_the_Council_of_Europe
Kosovo,https://en.wikipedia.org/wiki/Kosovo
Strasbourg University,"https://en.wikipedia.org/wiki/Palais_Universitaire,_Strasbourg"
Aristide Briand,https://en.wikipedia.org/wiki/Aristide_Briand
Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill
University of Zurich,https://en.wikipedia.org/wiki/University_of_Zurich
European Movement,https://en.wikipedia.org/wiki/European_Movement_International
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
House of Europe,https://en.wikipedia.org/wiki/Palace_of_Europe
Willy Brandt,https://en.wikipedia.org/wiki/Willy_Brandt
German Minister for Foreign Affairs,https://en.wikipedia.org/wiki/Minister_for_Foreign_Affairs_(Germany)
Congress of Europe,https://en.wikipedia.org/wiki/Congress_of_Europe
The Hague,https://en.wikipedia.org/wiki/The_Hague
Treaty of Brussels,https://en.wikipedia.org/wiki/Treaty_of_Brussels
European Communities,https://en.wikipedia.org/wiki/European_Communities
NATO,https://en.wikipedia.org/wiki/NATO
OSCE,https://en.wikipedia.org/wiki/OSCE
Treaty of London,https://en.wikipedia.org/wiki/Treaty_of_London_(1949)
Belgium,https://en.wikipedia.org/wiki/Belgium
Denmark,https://en.wikipedia.org/wiki/Denmark
France,https://en.wikipedia.org/wiki/France
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Sweden,https://en.wikipedia.org/wiki/Sweden
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Turkey,https://en.wikipedia.org/wiki/Turkey
Greece,https://en.wikipedia.org/wiki/Greece
European Union,https://en.wikipedia.org/wiki/European_Union
Paul-Henri Spaak,https://en.wikipedia.org/wiki/Paul-Henri_Spaak
European Union,https://en.wikipedia.org/wiki/European_Union
