text,url
East Asian,https://en.wikipedia.org/wiki/East_Asia
Southeast Asian,https://en.wikipedia.org/wiki/Southeast_Asia
South Asian,https://en.wikipedia.org/wiki/South_Asia
Oceanian,https://en.wikipedia.org/wiki/Oceania
ASEAN Plus Six mechanism,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations#ASEAN_Plus_Three_and_ASEAN_Plus_Six
Russia,https://en.wikipedia.org/wiki/Russia
United States,https://en.wikipedia.org/wiki/United_States
Sixth EAS,https://en.wikipedia.org/wiki/Sixth_East_Asia_Summit
ASEAN,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
Kuala Lumpur,https://en.wikipedia.org/wiki/Kuala_Lumpur
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Mahathir Mohamad,https://en.wikipedia.org/wiki/Mahathir_Mohamad
ASEAN Plus Three,https://en.wikipedia.org/wiki/ASEAN_Free_Trade_Area#ASEAN_Plus_Three
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
India,https://en.wikipedia.org/wiki/India
ASEAN,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
summit,https://en.wikipedia.org/wiki/Summit_(meeting)
ASEAN summit meetings,https://en.wikipedia.org/wiki/ASEAN_Summit
Laos,https://en.wikipedia.org/wiki/Laos
Malaysia,https://en.wikipedia.org/wiki/Malaysia
1st,https://en.wikipedia.org/wiki/First_East_Asia_Summit
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Kuala Lumpur,https://en.wikipedia.org/wiki/Kuala_Lumpur
Abdullah Ahmad Badawi,https://en.wikipedia.org/wiki/Abdullah_Ahmad_Badawi
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
2nd,https://en.wikipedia.org/wiki/Second_East_Asia_Summit
Philippines,https://en.wikipedia.org/wiki/Philippines
Mandaue,https://en.wikipedia.org/wiki/Mandaue
Gloria Macapagal Arroyo,https://en.wikipedia.org/wiki/Gloria_Macapagal_Arroyo
Typhoon Seniang,https://en.wikipedia.org/wiki/Typhoon_Utor_(2006)
Cebu Declaration on East Asian Energy Security,https://en.wikipedia.org/wiki/Cebu_Declaration_on_East_Asian_Energy_Security
3rd,https://en.wikipedia.org/wiki/Third_East_Asia_Summit
Singapore,https://en.wikipedia.org/wiki/Singapore
Lee Hsien Loong,https://en.wikipedia.org/wiki/Lee_Hsien_Loong
Economic Research Institute for ASEAN and East Asia,https://en.wikipedia.org/wiki/Economic_Research_Institute_for_ASEAN_and_East_Asia
4th,https://en.wikipedia.org/wiki/Fourth_East_Asia_Summit
Thailand,https://en.wikipedia.org/wiki/Thailand
Cha-am,https://en.wikipedia.org/wiki/Cha-am
Hua Hin,https://en.wikipedia.org/wiki/Hua_Hin
Abhisit Vejjajiva,https://en.wikipedia.org/wiki/Abhisit_Vejjajiva
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Chiang Mai,https://en.wikipedia.org/wiki/Chiang_Mai
Bangkok,https://en.wikipedia.org/wiki/Bangkok
5th,https://en.wikipedia.org/wiki/Fifth_East_Asia_Summit
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Hanoi,https://en.wikipedia.org/wiki/Hanoi
Nguyễn Minh Triết,https://en.wikipedia.org/wiki/Nguy%E1%BB%85n_Minh_Tri%E1%BA%BFt
United States Secretary of State,https://en.wikipedia.org/wiki/United_States_Secretary_of_State
Foreign Minister of Russia,https://en.wikipedia.org/wiki/Foreign_Minister_of_Russia
United States,https://en.wikipedia.org/wiki/United_States
Russia,https://en.wikipedia.org/wiki/Russia
