text,url
French,https://en.wikipedia.org/wiki/French_language
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
international organization,https://en.wikipedia.org/wiki/International_organization
United Nations,https://en.wikipedia.org/wiki/United_Nations
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World War I,https://en.wikipedia.org/wiki/World_War_I
planned economy,https://en.wikipedia.org/wiki/Planned_economy
Wheat Executive,https://en.wikipedia.org/wiki/Wheat_Executive
Allied Maritime Transport Council,https://en.wikipedia.org/wiki/Allied_Maritime_Transport_Council
Bernardo Attolico,https://en.wikipedia.org/wiki/Bernardo_Attolico
Jean Monnet,https://en.wikipedia.org/wiki/Jean_Monnet
Arthur Salter,"https://en.wikipedia.org/wiki/Arthur_Salter,_1st_Baron_Salter"
Paris Peace Conference,"https://en.wikipedia.org/wiki/Paris_Peace_Conference,_1919"
Supreme Economic Council,https://en.wikipedia.org/wiki/Supreme_Economic_Council
Gerard Vissering,https://en.wikipedia.org/wiki/Gerard_Vissering
Amsterdam,https://en.wikipedia.org/wiki/Amsterdam
Gustav Cassel,https://en.wikipedia.org/wiki/Gustav_Cassel
John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes
the Times,https://en.wikipedia.org/wiki/The_Times
the New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Gustave Ador,https://en.wikipedia.org/wiki/Gustave_Ador
Robert Cecil,"https://en.wikipedia.org/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood"
Arthur Twining Hadley,https://en.wikipedia.org/wiki/Arthur_Twining_Hadley
Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
J. P. Morgan Jr.,https://en.wikipedia.org/wiki/J._P._Morgan_Jr.
Fridtjof Nansen,https://en.wikipedia.org/wiki/Fridtjof_Nansen
Richard Vassar Vassar-Smith,https://en.wikipedia.org/wiki/Vassar-Smith_baronets
Paul Warburg,https://en.wikipedia.org/wiki/Paul_Warburg
League Council,https://en.wikipedia.org/wiki/Council_of_the_League_of_Nations
Brussels Conference,https://en.wikipedia.org/wiki/Brussels_Conference_(1920)
Arthur Salter,"https://en.wikipedia.org/wiki/Arthur_Salter,_1st_Baron_Salter"
Piccadilly,https://en.wikipedia.org/wiki/Piccadilly
Walter Layton,"https://en.wikipedia.org/wiki/Walter_Layton,_1st_Baron_Layton"
Per Jacobsson,https://en.wikipedia.org/wiki/Per_Jacobsson
French,https://en.wikipedia.org/wiki/French_language
Assembly,https://en.wikipedia.org/wiki/Assembly_of_the_League_of_Nations
Albert-Édouard Janssen,https://en.wikipedia.org/wiki/Albert-%C3%89douard_Janssen
National Bank of Belgium,https://en.wikipedia.org/wiki/National_Bank_of_Belgium
Otto Niemeyer,https://en.wikipedia.org/wiki/Otto_Niemeyer
Henry Strakosch,https://en.wikipedia.org/wiki/Henry_Strakosch
Jean Parmentier,https://en.wikipedia.org/wiki/Jean_Parmentier_(diplomat)
Reparation Commission,https://en.wikipedia.org/wiki/Reparation_Commission
Feliks Młynarski,https://en.wikipedia.org/wiki/Feliks_M%C5%82ynarski
Norges Bank,https://en.wikipedia.org/wiki/Norges_Bank
Nicolai Rygg,https://en.wikipedia.org/wiki/Nicolai_Rygg
Bank of Japan,https://en.wikipedia.org/wiki/Bank_of_Japan
Arai Kentarō,https://en.wikipedia.org/wiki/Arai_Kentar%C5%8D
Joseph Avenol,https://en.wikipedia.org/wiki/Joseph_Avenol
Credito Italiano,https://en.wikipedia.org/wiki/Credito_Italiano
Basil Blackett,https://en.wikipedia.org/wiki/Basil_Blackett_(civil_servant)
Swiss Bank Corporation,https://en.wikipedia.org/wiki/Swiss_Bank_Corporation
