text,url
ILL,https://en.wikipedia.org/wiki/Institut_Laue%E2%80%93Langevin
European,https://en.wikipedia.org/wiki/Europe
CERN,https://en.wikipedia.org/wiki/CERN
EUROfusion,https://en.wikipedia.org/wiki/EUROfusion
EMBL,https://en.wikipedia.org/wiki/EMBL
ESA,https://en.wikipedia.org/wiki/ESA
ESO,https://en.wikipedia.org/wiki/ESO
ESRF,https://en.wikipedia.org/wiki/European_Synchrotron_Radiation_Facility
European XFEL,https://en.wikipedia.org/wiki/European_XFEL
ILL,https://en.wikipedia.org/wiki/Institut_Laue%E2%80%93Langevin
European Research Area,https://en.wikipedia.org/wiki/European_Research_Area
European Union,https://en.wikipedia.org/wiki/European_Union
science policy,https://en.wikipedia.org/wiki/Science_policy
basic research,https://en.wikipedia.org/wiki/Basic_research
international organization,https://en.wikipedia.org/wiki/International_organization
