text,url
international organization,https://en.wikipedia.org/wiki/International_organization
European Union,https://en.wikipedia.org/wiki/European_Union
EU internal energy market,https://en.wikipedia.org/wiki/Energy_policy_of_the_European_Union
acquis communautaire,https://en.wikipedia.org/wiki/Acquis_communautaire
acquis,https://en.wikipedia.org/wiki/Acquis
Southeast,https://en.wikipedia.org/wiki/Southeast_Europe
Eastern,https://en.wikipedia.org/wiki/Eastern_Europe
Third Energy Package,https://en.wikipedia.org/wiki/Third_Energy_Package
European Union,https://en.wikipedia.org/wiki/European_Union
Albania,https://en.wikipedia.org/wiki/Albania
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Kosovo,https://en.wikipedia.org/wiki/Kosovo
Moldova,https://en.wikipedia.org/wiki/Moldova
Montenegro,https://en.wikipedia.org/wiki/Montenegro
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Serbia,https://en.wikipedia.org/wiki/Serbia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Norway,https://en.wikipedia.org/wiki/Norway
Turkey,https://en.wikipedia.org/wiki/Turkey
Armenia,https://en.wikipedia.org/wiki/Armenia
ACER,https://en.wikipedia.org/wiki/Agency_for_the_Cooperation_of_Energy_Regulators
Belgrade,https://en.wikipedia.org/wiki/Belgrade
Stability Pact for South Eastern Europe,https://en.wikipedia.org/wiki/Stability_Pact_for_South_Eastern_Europe
Serbia and Montenegro,https://en.wikipedia.org/wiki/Serbia_and_Montenegro
European Parliament,https://en.wikipedia.org/wiki/European_Parliament
renewable energy directive,https://en.wikipedia.org/wiki/Renewables_Directive
Energy policy of the European Union,https://en.wikipedia.org/wiki/Energy_policy_of_the_European_Union
INOGATE,https://en.wikipedia.org/wiki/INOGATE
Energy Charter Treaty,https://en.wikipedia.org/wiki/Energy_Charter_Treaty
Agency for the Cooperation of Energy Regulators,https://en.wikipedia.org/wiki/Agency_for_the_Cooperation_of_Energy_Regulators
European Network of Transmission System Operators for Electricity,https://en.wikipedia.org/wiki/European_Network_of_Transmission_System_Operators_for_Electricity
European Network of Transmission System Operators for Gas,https://en.wikipedia.org/wiki/European_Network_of_Transmission_System_Operators_for_Gas
Palgrave Macmillan,https://en.wikipedia.org/wiki/Palgrave_Macmillan
Reuters,https://en.wikipedia.org/wiki/Reuters
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
