text,url
international organisation,https://en.wikipedia.org/wiki/International_organisation
air traffic management,https://en.wikipedia.org/wiki/Air_traffic_management
Europe,https://en.wikipedia.org/wiki/Europe
Brussels,https://en.wikipedia.org/wiki/Brussels
Belgium,https://en.wikipedia.org/wiki/Belgium
Brétigny-sur-Orge,https://en.wikipedia.org/wiki/Br%C3%A9tigny-sur-Orge
France,https://en.wikipedia.org/wiki/France
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Maastricht,https://en.wikipedia.org/wiki/Maastricht
the Netherlands,https://en.wikipedia.org/wiki/Netherlands
euros,https://en.wikipedia.org/wiki/Euro
agency of the European Union,https://en.wikipedia.org/wiki/Agency_of_the_European_Union
Single European Sky,https://en.wikipedia.org/wiki/Single_European_Sky
air navigation service providers,https://en.wikipedia.org/wiki/Air_navigation_service_provider
military airspace,https://en.wikipedia.org/wiki/Military_airspace
airports,https://en.wikipedia.org/wiki/Airport
Eyjafjallajökull,https://en.wikipedia.org/wiki/Eyjafjallaj%C3%B6kull
disrupted air traffic,https://en.wikipedia.org/wiki/Air_travel_disruption_after_the_2010_Eyjafjallaj%C3%B6kull_eruption
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Brussels,https://en.wikipedia.org/wiki/Brussels
air traffic control,https://en.wikipedia.org/wiki/Air_traffic_control
France,https://en.wikipedia.org/wiki/France
Britain,https://en.wikipedia.org/wiki/United_Kingdom
Federal Republic of Germany,https://en.wikipedia.org/wiki/Federal_Republic_of_Germany
Belgium,https://en.wikipedia.org/wiki/Belgium
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Maastricht,https://en.wikipedia.org/wiki/Maastricht
European Parliament,https://en.wikipedia.org/wiki/European_Parliament
European Commission,https://en.wikipedia.org/wiki/European_Commission
ECAC,https://en.wikipedia.org/wiki/European_Civil_Aviation_Conference
European Space Agency,https://en.wikipedia.org/wiki/European_Space_Agency
Single European Sky,https://en.wikipedia.org/wiki/Single_European_Sky
European Aviation Safety Agency,https://en.wikipedia.org/wiki/European_Aviation_Safety_Agency
