text,url
French,https://en.wikipedia.org/wiki/French_language
international financial institution,https://en.wikipedia.org/wiki/International_financial_institution
investment bank,https://en.wikipedia.org/wiki/Investment_bank
investment,https://en.wikipedia.org/wiki/Investment
market economies,https://en.wikipedia.org/wiki/Market_economy
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
United States,https://en.wikipedia.org/wiki/United_States
London,https://en.wikipedia.org/wiki/London
European Union,https://en.wikipedia.org/wiki/European_Union
Nigeria,https://en.wikipedia.org/wiki/Nigeria
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Council of Europe Development Bank,https://en.wikipedia.org/wiki/Council_of_Europe_Development_Bank
switch from centrally planned economy to market based economy,https://en.wikipedia.org/wiki/Transition_economy
Central and Eastern European countries,https://en.wikipedia.org/wiki/Central_and_Eastern_Europe
Mitterrand,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand
fall of the Berlin Wall,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall
EU,https://en.wikipedia.org/wiki/European_Union
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
ECU,https://en.wikipedia.org/wiki/European_Currency_Unit
London,https://en.wikipedia.org/wiki/London
Board of Directors,https://en.wikipedia.org/wiki/Board_of_Directors
Jacques Attali,https://en.wikipedia.org/wiki/Jacques_Attali
Jacques de Larosière,https://en.wikipedia.org/wiki/Jacques_de_Larosi%C3%A8re
Horst Köhler,https://en.wikipedia.org/wiki/Horst_K%C3%B6hler
Jean Lemierre,https://en.wikipedia.org/wiki/Jean_Lemierre
Thomas Mirow,https://en.wikipedia.org/wiki/Thomas_Mirow
Suma Chakrabarti,https://en.wikipedia.org/wiki/Suma_Chakrabarti
Odile Renaud-Basso,https://en.wikipedia.org/wiki/Odile_Renaud-Basso
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
Albania,https://en.wikipedia.org/wiki/Albania
Algeria,https://en.wikipedia.org/wiki/Algeria
Armenia,https://en.wikipedia.org/wiki/Armenia
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Belarus,https://en.wikipedia.org/wiki/Belarus
Belgium,https://en.wikipedia.org/wiki/Belgium
Benin,https://en.wikipedia.org/wiki/Benin
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Canada,https://en.wikipedia.org/wiki/Canada
China,https://en.wikipedia.org/wiki/China
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Egypt,https://en.wikipedia.org/wiki/Egypt
Estonia,https://en.wikipedia.org/wiki/Estonia
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
European Union,https://en.wikipedia.org/wiki/European_Union
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
India,https://en.wikipedia.org/wiki/India
Iraq,https://en.wikipedia.org/wiki/Iraq
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Japan,https://en.wikipedia.org/wiki/Japan
Jordan,https://en.wikipedia.org/wiki/Jordan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kosovo,https://en.wikipedia.org/wiki/Kosovo
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Latvia,https://en.wikipedia.org/wiki/Latvia
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Libya,https://en.wikipedia.org/wiki/Libya
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Mexico,https://en.wikipedia.org/wiki/Mexico
Moldova,https://en.wikipedia.org/wiki/Moldova
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Morocco,https://en.wikipedia.org/wiki/Morocco
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Nigeria,https://en.wikipedia.org/wiki/Nigeria
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Russia,https://en.wikipedia.org/wiki/Russia
San Marino,https://en.wikipedia.org/wiki/San_Marino
Serbia,https://en.wikipedia.org/wiki/Serbia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Climate Investment Funds,https://en.wikipedia.org/wiki/Climate_Investment_Funds
European Union,https://en.wikipedia.org/wiki/European_Union
Global Environment Facility,https://en.wikipedia.org/wiki/Global_Environment_Facility
Green Climate Fund,https://en.wikipedia.org/wiki/Green_Climate_Fund
2015 Paris Agreement,https://en.wikipedia.org/wiki/Paris_Agreement
mediating role,https://en.wikipedia.org/wiki/Mediation
its operations,https://en.wikipedia.org/wiki/Transition_economy
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Armenia,https://en.wikipedia.org/wiki/Armenia
Armenia's economy,https://en.wikipedia.org/wiki/Economy_of_Armenia
climate adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
decarbonisation,https://en.wikipedia.org/wiki/Decarbonisation
Poland,https://en.wikipedia.org/wiki/Poland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
COVID-19,https://en.wikipedia.org/wiki/COVID-19
Oxfam,https://en.wikipedia.org/wiki/Oxfam
Save the Children,https://en.wikipedia.org/wiki/Save_the_Children
market economies,https://en.wikipedia.org/wiki/Market_economy
NGOs,https://en.wikipedia.org/wiki/NGO
energy efficiency,https://en.wikipedia.org/wiki/Energy_conservation
sustainable energy,https://en.wikipedia.org/wiki/Sustainable_energy
carbon-intensive,https://en.wikipedia.org/wiki/Emission_intensity
Ombla power plant,https://en.wikipedia.org/wiki/Ombla#Proposed_power_plant
Croatia,https://en.wikipedia.org/wiki/Croatia
Kumtor Gold Mine,https://en.wikipedia.org/wiki/Kumtor_Gold_Mine
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Šoštanj,https://en.wikipedia.org/wiki/%C5%A0o%C5%A1tanj#Power_station
lignite,https://en.wikipedia.org/wiki/Lignite
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Burger King,https://en.wikipedia.org/wiki/Burger_King
Popeyes,https://en.wikipedia.org/wiki/Popeyes
environmental,https://en.wikipedia.org/wiki/Environmental_movement
animal welfare,https://en.wikipedia.org/wiki/Animal_welfare
Balkans,https://en.wikipedia.org/wiki/Balkans
hydroelectric dams,https://en.wikipedia.org/wiki/Hydroelectricity
Patagonia,https://en.wikipedia.org/wiki/Patagonia_(clothing)
Macedonian,https://en.wikipedia.org/wiki/Republic_of_North_Macedonia
Boskov Most,https://en.wikipedia.org/wiki/Bo%C5%A1kov_Most_Hydro_Power_Plant
Balkan lynx,https://en.wikipedia.org/wiki/Balkan_lynx
Galičica,https://en.wikipedia.org/wiki/Gali%C4%8Dica
Ohrid-Prespa Transboundary Biosphere Reserve,https://en.wikipedia.org/wiki/Ohrid-Prespa_Transboundary_Biosphere_Reserve
World Heritage Committee,https://en.wikipedia.org/wiki/World_Heritage_Committee
European Council,https://en.wikipedia.org/wiki/European_Council
2014 pro-Russian unrest in Ukraine,https://en.wikipedia.org/wiki/2014_pro-Russian_unrest_in_Ukraine
Russia,https://en.wikipedia.org/wiki/Russia
Moscow Stock Exchange,https://en.wikipedia.org/wiki/Moscow_Stock_Exchange
privatisation of the Soviet economy,https://en.wikipedia.org/wiki/Privatisation_of_the_Soviet_economy
Odile Renaud-Basso,https://en.wikipedia.org/wiki/Odile_Renaud-Basso
Ilham Aliyev,https://en.wikipedia.org/wiki/Ilham_Aliyev
Southern Gas Corridor,https://en.wikipedia.org/wiki/Southern_Gas_Corridor
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Aliyev,https://en.wikipedia.org/wiki/Ilham_Aliyev
NGOs,https://en.wikipedia.org/wiki/Non-governmental_organization
repressive,https://en.wikipedia.org/wiki/Human_rights_in_Azerbaijan
International Federation for Human Rights,https://en.wikipedia.org/wiki/International_Federation_for_Human_Rights
caviar diplomacy,https://en.wikipedia.org/wiki/Caviar_diplomacy
Shah Deniz gas field,https://en.wikipedia.org/wiki/Shah_Deniz_gas_field
Trans-Anatolian gas pipeline,https://en.wikipedia.org/wiki/Trans-Anatolian_gas_pipeline
Trans Adriatic Pipeline,https://en.wikipedia.org/wiki/Trans_Adriatic_Pipeline
Development Finance Institution,https://en.wikipedia.org/wiki/Development_Finance_Institution
Green Climate Fund,https://en.wikipedia.org/wiki/Green_Climate_Fund
Sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
Ukeep,https://en.wikipedia.org/wiki/Ukeep
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
