text,url
trade organization,https://en.wikipedia.org/wiki/Trade_organization
free trade area,https://en.wikipedia.org/wiki/Free_trade_area
European states,https://en.wikipedia.org/wiki/List_of_sovereign_states_and_dependent_territories_in_Europe
Iceland,https://en.wikipedia.org/wiki/Iceland
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Norway,https://en.wikipedia.org/wiki/Norway
Switzerland,https://en.wikipedia.org/wiki/Switzerland
European Union,https://en.wikipedia.org/wiki/European_Union
European single market,https://en.wikipedia.org/wiki/European_single_market
Schengen Area,https://en.wikipedia.org/wiki/Schengen_Area
European Union Customs Union,https://en.wikipedia.org/wiki/European_Union_Customs_Union
trade blocs,https://en.wikipedia.org/wiki/Trade_bloc
European Union,https://en.wikipedia.org/wiki/European_Union
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
Outer Seven,https://en.wikipedia.org/wiki/Inner_Six#Inner_Six_and_Outer_Seven
Austria,https://en.wikipedia.org/wiki/Austria
Denmark,https://en.wikipedia.org/wiki/Denmark
Norway,https://en.wikipedia.org/wiki/Norway
Portugal,https://en.wikipedia.org/wiki/Portugal
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Vaduz,https://en.wikipedia.org/wiki/Vaduz
Vaduz,https://en.wikipedia.org/wiki/Vaduz
liberalization of trade,https://en.wikipedia.org/wiki/Free_trade_area
customs union,https://en.wikipedia.org/wiki/Customs_union
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreements
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
EFTA Surveillance Authority,https://en.wikipedia.org/wiki/EFTA_Surveillance_Authority
EFTA Court,https://en.wikipedia.org/wiki/EFTA_Court
set of multilateral agreements with the EU and its member states,https://en.wikipedia.org/wiki/Switzerland%E2%80%93European_Union_relations
Golden Hall,https://en.wikipedia.org/wiki/Golden_Hall_(Stockholm_City_Hall)
Stockholm City Hall,https://en.wikipedia.org/wiki/Stockholm_City_Hall
tariffs,https://en.wikipedia.org/wiki/Tariff
Outer Seven,https://en.wikipedia.org/wiki/Inner_Six#Inner_Six_and_Outer_Seven
Inner Six,https://en.wikipedia.org/wiki/Inner_Six
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
Finland,https://en.wikipedia.org/wiki/Finland
European Community,https://en.wikipedia.org/wiki/European_Community
"Austria, Sweden, and Finland joined the EU in 1995",https://en.wikipedia.org/wiki/1995_enlargement_of_the_European_Union
1972,https://en.wikipedia.org/wiki/1972_Norwegian_European_Communities_membership_referendum
1994,https://en.wikipedia.org/wiki/1994_Norwegian_European_Union_membership_referendum
Norwegian government,https://en.wikipedia.org/wiki/Norwegian_government
applied for EU membership in 2009,https://en.wikipedia.org/wiki/Accession_of_Iceland_to_the_European_Union
2008–2011 Icelandic financial crisis,https://en.wikipedia.org/wiki/2008%E2%80%932011_Icelandic_financial_crisis
Iceland,https://en.wikipedia.org/wiki/Iceland
Reykjavík,https://en.wikipedia.org/wiki/Reykjav%C3%ADk
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Vaduz,https://en.wikipedia.org/wiki/Vaduz
Norway,https://en.wikipedia.org/wiki/Norway
Oslo,https://en.wikipedia.org/wiki/Oslo
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Bern,https://en.wikipedia.org/wiki/Bern
Austria,https://en.wikipedia.org/wiki/Austria
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Finland
Portugal,https://en.wikipedia.org/wiki/Portugal
Sweden,https://en.wikipedia.org/wiki/Sweden
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Andorra,https://en.wikipedia.org/wiki/Andorra
San Marino,https://en.wikipedia.org/wiki/San_Marino
Monaco,https://en.wikipedia.org/wiki/Monaco
Isle of Man,https://en.wikipedia.org/wiki/Isle_of_Man
Turkey,https://en.wikipedia.org/wiki/Turkey
Israel,https://en.wikipedia.org/wiki/Israel
Morocco,https://en.wikipedia.org/wiki/Morocco
European Neighbourhood Policy,https://en.wikipedia.org/wiki/European_Neighbourhood_Policy
Council of the European Union,https://en.wikipedia.org/wiki/Council_of_the_European_Union
"EU's relations with Andorra, Monaco, and San Marino",https://en.wikipedia.org/wiki/Microstates_and_the_European_Union
European Commission,https://en.wikipedia.org/wiki/European_Commission
Schengen Agreement,https://en.wikipedia.org/wiki/Schengen_Agreement
Jonas Gahr Støre,https://en.wikipedia.org/wiki/Jonas_Gahr_St%C3%B8re
Foreign Minister of Norway,https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Norway)
Espen Barth Eide,https://en.wikipedia.org/wiki/Espen_Barth_Eide
Association Agreements,https://en.wikipedia.org/wiki/European_Union_Association_Agreement
Nordic neighbours,https://en.wikipedia.org/wiki/Nordic_countries
last two governments,https://en.wikipedia.org/wiki/Politics_of_Norway
referendum in 1992,https://en.wikipedia.org/wiki/1992_Swiss_referendums
EU membership,https://en.wikipedia.org/wiki/Switzerland_and_the_European_Union
2001,https://en.wikipedia.org/wiki/2001_Swiss_referendums
Denmark,https://en.wikipedia.org/wiki/Denmark
European Communities,https://en.wikipedia.org/wiki/European_Communities
autonomous territories,https://en.wikipedia.org/wiki/Autonomous_territories
Kingdom of Denmark,https://en.wikipedia.org/wiki/Danish_Realm
Greenland,https://en.wikipedia.org/wiki/Greenland
Faroe Islands,https://en.wikipedia.org/wiki/Faroe_Islands
Faroe Islands,https://en.wikipedia.org/wiki/Faroe_Islands
Hoyvík Agreement,https://en.wikipedia.org/wiki/Hoyv%C3%ADk_Agreement
referendum in 2016,https://en.wikipedia.org/wiki/2016_United_Kingdom_European_Union_membership_referendum
Brexit,https://en.wikipedia.org/wiki/Brexit
Parliament of the United Kingdom,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
internal market,https://en.wikipedia.org/wiki/European_Single_Market
Swiss model,https://en.wikipedia.org/wiki/Switzerland%E2%80%93European_Union_relations
Johann Schneider-Ammann,https://en.wikipedia.org/wiki/Johann_Schneider-Ammann
Elisabeth Vik Aspaker,https://en.wikipedia.org/wiki/Elisabeth_Aspaker
Aftenposten,https://en.wikipedia.org/wiki/Aftenposten
Nicola Sturgeon,https://en.wikipedia.org/wiki/Nicola_Sturgeon
Antoinette Sandbach,https://en.wikipedia.org/wiki/Antoinette_Sandbach
Stephen Kinnock,https://en.wikipedia.org/wiki/Stephen_Kinnock
Stephen Hammond,https://en.wikipedia.org/wiki/Stephen_Hammond
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
Porto,https://en.wikipedia.org/wiki/Porto
European Single Market,https://en.wikipedia.org/wiki/European_Single_Market
Schengen Agreement,https://en.wikipedia.org/wiki/Schengen_Agreement
member states of the European Union,https://en.wikipedia.org/wiki/Member_states_of_the_European_Union
European Economic Community,https://en.wikipedia.org/wiki/European_Communities
members of the EU,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
free trade agreement,https://en.wikipedia.org/wiki/Free_trade_agreement
special status,https://en.wikipedia.org/wiki/Special_Member_State_territories_and_the_European_Union#Summary
European microstates,https://en.wikipedia.org/wiki/Microstates_and_the_European_Union#Summary
EU law,https://en.wikipedia.org/wiki/European_Union_law
EURATOM,https://en.wikipedia.org/wiki/EURATOM
European Defence Agency,https://en.wikipedia.org/wiki/European_Defence_Agency
Schengen area,https://en.wikipedia.org/wiki/Schengen_Agreement
EU VAT area,https://en.wikipedia.org/wiki/European_Union_Value_Added_Tax_Area
EU Customs Union,https://en.wikipedia.org/wiki/European_Union_Customs_Union
EU single market,https://en.wikipedia.org/wiki/European_Single_Market
