text,url
Politics of the European Union,https://en.wikipedia.org/wiki/Politics_of_the_European_Union
Member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Candidate countries,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union
Albania,https://en.wikipedia.org/wiki/Accession_of_Albania_to_the_European_Union
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Accession_of_Bosnia_and_Herzegovina_to_the_European_Union
Georgia,https://en.wikipedia.org/wiki/Accession_of_Georgia_to_the_European_Union
Moldova,https://en.wikipedia.org/wiki/Accession_of_Moldova_to_the_European_Union
Montenegro,https://en.wikipedia.org/wiki/Accession_of_Montenegro_to_the_European_Union
North Macedonia,https://en.wikipedia.org/wiki/Accession_of_North_Macedonia_to_the_European_Union
Serbia,https://en.wikipedia.org/wiki/Accession_of_Serbia_to_the_European_Union
Ukraine,https://en.wikipedia.org/wiki/Accession_of_Ukraine_to_the_European_Union
Countries with suspended accession negotiations,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union
Turkey,https://en.wikipedia.org/wiki/Accession_of_Turkey_to_the_European_Union
Applicant countries,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union
Kosovo,https://en.wikipedia.org/wiki/Accession_of_Kosovo_to_the_European_Union
States not on the agenda,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union#States_not_on_the_agenda
