text,url
intergovernmental,https://en.wikipedia.org/wiki/Intergovernmental_organization
Europe,https://en.wikipedia.org/wiki/Europe
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
Prague,https://en.wikipedia.org/wiki/Prague
European countries,https://en.wikipedia.org/wiki/List_of_sovereign_states_and_dependent_territories_in_Europe
Presidents of the European Council,https://en.wikipedia.org/wiki/President_of_the_European_Council
European Commission,https://en.wikipedia.org/wiki/President_of_the_European_Commission
European Union,https://en.wikipedia.org/wiki/European_Union
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
French president,https://en.wikipedia.org/wiki/French_president
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
president of the Council of the European Union,https://en.wikipedia.org/wiki/President_of_the_Council_of_the_European_Union
President of the European Council,https://en.wikipedia.org/wiki/President_of_the_European_Council
Charles Michel,https://en.wikipedia.org/wiki/Charles_Michel
European Council,https://en.wikipedia.org/wiki/European_Council
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Russia,https://en.wikipedia.org/wiki/Russia
Belarus,https://en.wikipedia.org/wiki/Belarus
San Marino,https://en.wikipedia.org/wiki/San_Marino
Andorra,https://en.wikipedia.org/wiki/Andorra
Monaco,https://en.wikipedia.org/wiki/Monaco
European energy crisis,https://en.wikipedia.org/wiki/2022_Russia%E2%80%93European_Union_gas_dispute
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
intergovernmental,https://en.wikipedia.org/wiki/Intergovernmental_organization
heads of states,https://en.wikipedia.org/wiki/Heads_of_state
G7,https://en.wikipedia.org/wiki/G7
G20,https://en.wikipedia.org/wiki/G20
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
first summit,https://en.wikipedia.org/wiki/1st_European_Political_Community_Summit
Charles Michel,https://en.wikipedia.org/wiki/Charles_Michel
second summit,https://en.wikipedia.org/wiki/2nd_European_Political_Community_Summit
Maia Sandu,https://en.wikipedia.org/wiki/Maia_Sandu
European Council,https://en.wikipedia.org/wiki/European_Council
wordmark,https://en.wikipedia.org/wiki/Wordmark
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Liz Truss,https://en.wikipedia.org/wiki/Liz_Truss
European Union,https://en.wikipedia.org/wiki/European_Union
European Flag,https://en.wikipedia.org/wiki/European_Flag
European Anthem,https://en.wikipedia.org/wiki/European_Anthem
presidency of the Council of the European Union,https://en.wikipedia.org/wiki/Presidency_of_the_Council_of_the_European_Union
first summit,https://en.wikipedia.org/wiki/1st_European_Political_Community_Summit
Prague,https://en.wikipedia.org/wiki/Prague
Eurovision,https://en.wikipedia.org/wiki/Eurovision_(network)
undersea cables,https://en.wikipedia.org/wiki/Undersea_cable
Spain,https://en.wikipedia.org/wiki/Spain
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Serbia,https://en.wikipedia.org/wiki/Serbia
Keir Starmer,https://en.wikipedia.org/wiki/Keir_Starmer
Hungary,https://en.wikipedia.org/wiki/Hungary
Albania,https://en.wikipedia.org/wiki/Albania
Denmark,https://en.wikipedia.org/wiki/Denmark
1,https://en.wikipedia.org/wiki/1st_European_Political_Community_Summit
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Prague Castle,https://en.wikipedia.org/wiki/Prague_Castle
Prague,https://en.wikipedia.org/wiki/Prague
Petr Fiala,https://en.wikipedia.org/wiki/Petr_Fiala
2,https://en.wikipedia.org/wiki/2nd_European_Political_Community_Summit
Moldova,https://en.wikipedia.org/wiki/Moldova
Mimi Castle,https://en.wikipedia.org/wiki/Mimi_Castle
Bulboaca,"https://en.wikipedia.org/wiki/Bulboaca,_Anenii_Noi"
Maia Sandu,https://en.wikipedia.org/wiki/Maia_Sandu
3,https://en.wikipedia.org/wiki/3rd_European_Political_Community_Summit
Spain,https://en.wikipedia.org/wiki/Spain
Alhambra,https://en.wikipedia.org/wiki/Alhambra
Granada,https://en.wikipedia.org/wiki/Granada
Pedro Sánchez,https://en.wikipedia.org/wiki/Pedro_S%C3%A1nchez
4,https://en.wikipedia.org/wiki/4th_European_Political_Community_Summit
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Blenheim Palace,https://en.wikipedia.org/wiki/Blenheim_Palace
Woodstock,"https://en.wikipedia.org/wiki/Woodstock,_Oxfordshire"
Keir Starmer,https://en.wikipedia.org/wiki/Keir_Starmer
5,https://en.wikipedia.org/wiki/5th_European_Political_Community_Summit
Hungary,https://en.wikipedia.org/wiki/Hungary
Puskás Aréna,https://en.wikipedia.org/wiki/Pusk%C3%A1s_Ar%C3%A9na
Budapest,https://en.wikipedia.org/wiki/Budapest
Viktor Orbán,https://en.wikipedia.org/wiki/Viktor_Orb%C3%A1n
6,https://en.wikipedia.org/wiki/6th_European_Political_Community_Summit
Albania,https://en.wikipedia.org/wiki/Albania
Skanderbeg Square,https://en.wikipedia.org/wiki/Skanderbeg_Square
Tirana,https://en.wikipedia.org/wiki/Tirana
Edi Rama,https://en.wikipedia.org/wiki/Edi_Rama
7,https://en.wikipedia.org/wiki/7th_European_Political_Community_Summit
Denmark,https://en.wikipedia.org/wiki/Denmark
Bella Center,https://en.wikipedia.org/wiki/Bella_Center
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Armenia,https://en.wikipedia.org/wiki/Armenia
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Greece,https://en.wikipedia.org/wiki/Greece
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Latvia,https://en.wikipedia.org/wiki/Latvia
Albania,https://en.wikipedia.org/wiki/Albania
Andorra,https://en.wikipedia.org/wiki/Andorra
Armenia,https://en.wikipedia.org/wiki/Armenia
Austria,https://en.wikipedia.org/wiki/Austria
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Belgium,https://en.wikipedia.org/wiki/Belgium
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Kosovo,https://en.wikipedia.org/wiki/Kosovo
Latvia,https://en.wikipedia.org/wiki/Latvia
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Moldova,https://en.wikipedia.org/wiki/Moldova
Monaco,https://en.wikipedia.org/wiki/Monaco
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Netherlands,https://en.wikipedia.org/wiki/Netherlands
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
San Marino,https://en.wikipedia.org/wiki/San_Marino
Serbia,https://en.wikipedia.org/wiki/Serbia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
European Union,https://en.wikipedia.org/wiki/European_Union
European Council,https://en.wikipedia.org/wiki/European_Council
European Commission,https://en.wikipedia.org/wiki/European_Commission
European Parliament,https://en.wikipedia.org/wiki/European_Parliament
NATO,https://en.wikipedia.org/wiki/NATO
OSCE,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe
Vatican City,https://en.wikipedia.org/wiki/Vatican_City
Belarus,https://en.wikipedia.org/wiki/Belarus
Russia,https://en.wikipedia.org/wiki/Russia
European Union,https://en.wikipedia.org/wiki/European_Union
mission,https://en.wikipedia.org/wiki/European_Union_Monitoring_Capacity_to_Armenia
border,https://en.wikipedia.org/wiki/Armenia%E2%80%93Azerbaijan_border
Armenia–Azerbaijan border crisis,https://en.wikipedia.org/wiki/2021%E2%80%932022_Armenia%E2%80%93Azerbaijan_border_crisis
European Union Mission in Armenia,https://en.wikipedia.org/wiki/European_Union_Mission_in_Armenia
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
North Seas Energy Cooperation,https://en.wikipedia.org/wiki/North_Seas_Energy_Cooperation
Permanent Structured Cooperation,https://en.wikipedia.org/wiki/Permanent_Structured_Cooperation
Military Mobility,https://en.wikipedia.org/wiki/Military_Mobility
second summit,https://en.wikipedia.org/wiki/2nd_European_Political_Community_Summit
European Peace Facility,https://en.wikipedia.org/wiki/European_Peace_Facility
civilian mission,https://en.wikipedia.org/wiki/European_Union_Partnership_Mission_in_Moldova
Chișinău,https://en.wikipedia.org/wiki/Chi%C8%99in%C4%83u
German Chancellor,https://en.wikipedia.org/wiki/German_Chancellor
Olaf Scholz,https://en.wikipedia.org/wiki/Olaf_Scholz
Prime Minister of Albania,https://en.wikipedia.org/wiki/Prime_Minister_of_Albania
Edi Rama,https://en.wikipedia.org/wiki/Edi_Rama
Prime Minister of the Netherlands,https://en.wikipedia.org/wiki/Prime_Minister_of_the_Netherlands
Mark Rutte,https://en.wikipedia.org/wiki/Mark_Rutte
UK government,https://en.wikipedia.org/wiki/UK_government
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
Associated Press,https://en.wikipedia.org/wiki/Associated_Press
potential enlargement of the European Union,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
Secretary General of the Council of Europe,https://en.wikipedia.org/wiki/Secretary_General_of_the_Council_of_Europe
Marija Pejčinović Burić,https://en.wikipedia.org/wiki/Marija_Pej%C4%8Dinovi%C4%87_Buri%C4%87
4th European Political Community Summit,https://en.wikipedia.org/wiki/4th_European_Political_Community_Summit
Russia,https://en.wikipedia.org/wiki/Russia
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
European integration,https://en.wikipedia.org/wiki/European_integration
Organization for Security and Co-operation in Europe,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe
Pan-European identity,https://en.wikipedia.org/wiki/Pan-European_identity
Politics of Europe,https://en.wikipedia.org/wiki/Politics_of_Europe
Pro-Europeanism,https://en.wikipedia.org/wiki/Pro-Europeanism
Associated Press News,https://en.wikipedia.org/wiki/Associated_Press_News
Tweet,https://en.wikipedia.org/wiki/Tweet_(social_media)
Twitter,https://en.wikipedia.org/wiki/Twitter
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
TASS,https://en.wikipedia.org/wiki/TASS
Tweet,https://en.wikipedia.org/wiki/Tweet_(social_media)
Twitter,https://en.wikipedia.org/wiki/Twitter
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
