text,url
supranational,https://en.wikipedia.org/wiki/Supranational_union
political,https://en.wikipedia.org/wiki/Political_union
economic union,https://en.wikipedia.org/wiki/Economic_union
member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
located primarily,https://en.wikipedia.org/wiki/Geography_of_the_European_Union
sui generis,https://en.wikipedia.org/wiki/Sui_generis
federation,https://en.wikipedia.org/wiki/Federation
confederation,https://en.wikipedia.org/wiki/Confederation
world population,https://en.wikipedia.org/wiki/World_population
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
global economic output,https://en.wikipedia.org/wiki/Global_economic_output
Customs Union,https://en.wikipedia.org/wiki/European_Union_Customs_Union
an internal single market,https://en.wikipedia.org/wiki/European_Single_Market
legal framework and legislation,https://en.wikipedia.org/wiki/European_Union_law
trade,https://en.wikipedia.org/wiki/Common_Commercial_Policy_(EU)
agriculture,https://en.wikipedia.org/wiki/Common_Agricultural_Policy
fisheries,https://en.wikipedia.org/wiki/Common_Fisheries_Policy
regional development,https://en.wikipedia.org/wiki/Regional_policy_of_the_European_Union
Schengen Area,https://en.wikipedia.org/wiki/Schengen_Area
eurozone,https://en.wikipedia.org/wiki/Eurozone
EU's economic and monetary union,https://en.wikipedia.org/wiki/Economic_and_Monetary_Union_of_the_European_Union
euro,https://en.wikipedia.org/wiki/Euro
Common Foreign and Security Policy,https://en.wikipedia.org/wiki/Common_Foreign_and_Security_Policy
a role in external relations,https://en.wikipedia.org/wiki/Foreign_relations_of_the_European_Union
defence,https://en.wikipedia.org/wiki/Military_of_the_European_Union
diplomatic missions,https://en.wikipedia.org/wiki/Diplomatic_missions_of_the_European_Union
United Nations,https://en.wikipedia.org/wiki/United_Nations
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
G7,https://en.wikipedia.org/wiki/European_Union_and_the_G7
G20,https://en.wikipedia.org/wiki/G20
its citizenship,https://en.wikipedia.org/wiki/European_Union_citizenship
Maastricht Treaty,https://en.wikipedia.org/wiki/Maastricht_Treaty
international legal,https://en.wikipedia.org/wiki/International_law
juridical person,https://en.wikipedia.org/wiki/Juridical_person
Treaty of Lisbon,https://en.wikipedia.org/wiki/Treaty_of_Lisbon
