text,url
non-profit,https://en.wikipedia.org/wiki/Non-profit
international organization,https://en.wikipedia.org/wiki/International_organization
stock exchanges,https://en.wikipedia.org/wiki/Stock_exchange
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
Middle East,https://en.wikipedia.org/wiki/Middle_East
Central Asia,https://en.wikipedia.org/wiki/Central_Asia
capital markets,https://en.wikipedia.org/wiki/Capital_market
Eurasia,https://en.wikipedia.org/wiki/Eurasia
Istanbul,https://en.wikipedia.org/wiki/Istanbul
Yerevan,https://en.wikipedia.org/wiki/Yerevan
Armenia,https://en.wikipedia.org/wiki/Armenia
Armenia Securities Exchange,https://en.wikipedia.org/wiki/Armenia_Securities_Exchange
Central Depository of Armenia,https://en.wikipedia.org/wiki/Central_Depository_of_Armenia
Belarus,https://en.wikipedia.org/wiki/Belarus
Belarusian Currency and Stock Exchange,https://en.wikipedia.org/wiki/Belarus_Currency_and_Stock_Exchange
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Cyprus Stock Exchange,https://en.wikipedia.org/wiki/Cyprus_Stock_Exchange
Egypt,https://en.wikipedia.org/wiki/Egypt
Egyptian Exchange,https://en.wikipedia.org/wiki/Egyptian_Exchange
Greece,https://en.wikipedia.org/wiki/Greece
Athens Stock Exchange,https://en.wikipedia.org/wiki/Athens_Exchange
Iran,https://en.wikipedia.org/wiki/Iran
Iran Fara Bourse,https://en.wikipedia.org/wiki/Iran_Fara_Bourse
Tehran Stock Exchange,https://en.wikipedia.org/wiki/Tehran_Stock_Exchange
Iraq,https://en.wikipedia.org/wiki/Iraq
Iraq Stock Exchange,https://en.wikipedia.org/wiki/Iraq_Stock_Exchange
Jordan,https://en.wikipedia.org/wiki/Jordan
Amman Stock Exchange,https://en.wikipedia.org/wiki/Amman_Stock_Exchange
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kazakhstan Stock Exchange,https://en.wikipedia.org/wiki/Kazakhstan_Stock_Exchange
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Macedonian Stock Exchange,https://en.wikipedia.org/wiki/Macedonian_Stock_Exchange
Oman,https://en.wikipedia.org/wiki/Oman
Muscat Stock Exchange,https://en.wikipedia.org/wiki/Muscat_Securities_Market
Palestine,https://en.wikipedia.org/wiki/Palestine
Palestine Exchange,https://en.wikipedia.org/wiki/Palestine_Exchange
Romania,https://en.wikipedia.org/wiki/Romania
Bucharest Stock Exchange,https://en.wikipedia.org/wiki/Bucharest_Stock_Exchange
Syria,https://en.wikipedia.org/wiki/Syria
Damascus Securities Exchange,https://en.wikipedia.org/wiki/Damascus_Securities_Exchange
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Tashkent Stock Exchange,https://en.wikipedia.org/wiki/Tashkent_Stock_Exchange
Canada,https://en.wikipedia.org/wiki/Canada
European Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Iran,https://en.wikipedia.org/wiki/Iran
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Jordan,https://en.wikipedia.org/wiki/Jordan
Securities Depository Center of Jordan,https://en.wikipedia.org/wiki/Securities_Depository_Center_(Jordan)
Norway,https://en.wikipedia.org/wiki/Norway
Oman,https://en.wikipedia.org/wiki/Oman
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Australia,https://en.wikipedia.org/wiki/Australia
Sydney Stock Exchange,https://en.wikipedia.org/wiki/Sydney_Stock_Exchange
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Banja Luka Stock Exchange,https://en.wikipedia.org/wiki/Banja_Luka_Stock_Exchange
China,https://en.wikipedia.org/wiki/China
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Georgian Stock Exchange,https://en.wikipedia.org/wiki/Georgian_Stock_Exchange
Iran,https://en.wikipedia.org/wiki/Iran
Iran Mercantile Exchange,https://en.wikipedia.org/wiki/Iran_Mercantile_Exchange
Moldova,https://en.wikipedia.org/wiki/Moldova
Moldova Stock Exchange,https://en.wikipedia.org/wiki/Moldova_Stock_Exchange
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Scotland,https://en.wikipedia.org/wiki/Scotland
Serbia,https://en.wikipedia.org/wiki/Serbia
Belgrade Stock Exchange,https://en.wikipedia.org/wiki/Belgrade_Stock_Exchange
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Scotland,https://en.wikipedia.org/wiki/Scotland
Bourse Scot Limited,https://en.wikipedia.org/wiki/Project_Heather
African Securities Exchanges Association,https://en.wikipedia.org/wiki/African_Securities_Exchanges_Association
Sustainable Stock Exchanges Initiative,https://en.wikipedia.org/wiki/Sustainable_Stock_Exchanges_Initiative
Central banks and currencies of Europe,https://en.wikipedia.org/wiki/Central_banks_and_currencies_of_Europe
List of European stock exchanges,https://en.wikipedia.org/wiki/List_of_European_stock_exchanges
List of stock exchanges,https://en.wikipedia.org/wiki/List_of_stock_exchanges
List of stock exchanges in Western Asia,https://en.wikipedia.org/wiki/List_of_stock_exchanges_in_Western_Asia
