text,url
central banks,https://en.wikipedia.org/wiki/Central_bank
finance,https://en.wikipedia.org/wiki/Finance
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
G10,https://en.wikipedia.org/wiki/Group_of_Ten_(economics)
Australia,https://en.wikipedia.org/wiki/Australia
Spain,https://en.wikipedia.org/wiki/Spain
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Australia,https://en.wikipedia.org/wiki/Australia
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Group of Three,https://en.wikipedia.org/wiki/EU_three
Group of Four,https://en.wikipedia.org/wiki/Big_Four_(Western_Europe)
Group of Six,https://en.wikipedia.org/wiki/G6_(EU)
Group of Seven,https://en.wikipedia.org/wiki/G7
Group of Ten,https://en.wikipedia.org/wiki/Group_of_Ten_(economics)
G10 currencies,https://en.wikipedia.org/wiki/G10_currencies
Special drawing rights,https://en.wikipedia.org/wiki/Special_drawing_rights
international organization,https://en.wikipedia.org/wiki/International_organization
