text,url
French,https://en.wikipedia.org/wiki/French_language
Indian Ocean,https://en.wikipedia.org/wiki/Indian_Ocean
Comoros,https://en.wikipedia.org/wiki/Comoros
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Réunion,https://en.wikipedia.org/wiki/R%C3%A9union
France,https://en.wikipedia.org/wiki/France
Seychelles,https://en.wikipedia.org/wiki/Seychelles
China,https://en.wikipedia.org/wiki/China
European Union,https://en.wikipedia.org/wiki/European_Union
La Francophonie,https://en.wikipedia.org/wiki/Organisation_internationale_de_la_Francophonie
Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Order_of_Malta
India,https://en.wikipedia.org/wiki/India
Japan,https://en.wikipedia.org/wiki/Japan
United Nations,https://en.wikipedia.org/wiki/United_Nations
South Korea,https://en.wikipedia.org/wiki/South_Korea
Port-Louis,https://en.wikipedia.org/wiki/Port-Louis
Victoria,"https://en.wikipedia.org/wiki/Victoria,_Seychelles"
European Union,https://en.wikipedia.org/wiki/European_Union
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
China,https://en.wikipedia.org/wiki/China
La Francophonie,https://en.wikipedia.org/wiki/Organisation_internationale_de_la_Francophonie
Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
European Union,https://en.wikipedia.org/wiki/European_Union
Piracy off the Coast of Somalia,https://en.wikipedia.org/wiki/Piracy_off_the_coast_of_Somalia
Kenya,https://en.wikipedia.org/wiki/Kenya
Moroni,"https://en.wikipedia.org/wiki/Moroni,_Comoros"
India,https://en.wikipedia.org/wiki/India
Japan,https://en.wikipedia.org/wiki/Japan
United Nations,https://en.wikipedia.org/wiki/United_Nations
climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation
French Development Agency,https://en.wikipedia.org/wiki/French_Development_Agency
Mayotte,https://en.wikipedia.org/wiki/Mayotte
Comoros,https://en.wikipedia.org/wiki/Comoros
Réunion,https://en.wikipedia.org/wiki/R%C3%A9union
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Seychelles,https://en.wikipedia.org/wiki/Seychelles
China,https://en.wikipedia.org/wiki/China
Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
La Francophonie,https://en.wikipedia.org/wiki/Organisation_internationale_de_la_Francophonie
European Union,https://en.wikipedia.org/wiki/European_Union
India,https://en.wikipedia.org/wiki/India
Japan,https://en.wikipedia.org/wiki/Japan
United Nations,https://en.wikipedia.org/wiki/United_Nations
South Korea,https://en.wikipedia.org/wiki/South_Korea
Ebene,"https://en.wikipedia.org/wiki/Ebene,_Mauritius"
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Caabi El-Yachroutu Mohamed,https://en.wikipedia.org/wiki/Caabi_El-Yachroutu_Mohamed
Comoros,https://en.wikipedia.org/wiki/Comoros
Réunion,https://en.wikipedia.org/wiki/R%C3%A9union
Monique Andréas Esoavelomandroso,https://en.wikipedia.org/wiki/Monique_Andr%C3%A9as_Esoavelomandroso
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Hamadi Madi Boléro,https://en.wikipedia.org/wiki/Hamadi_Madi_Bol%C3%A9ro
Comoros,https://en.wikipedia.org/wiki/Comoros
Réunion,https://en.wikipedia.org/wiki/R%C3%A9union
Madagascar,https://en.wikipedia.org/wiki/Madagascar
climate change adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
Global Agenda for Sustainable Development to 2030,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
Global Climate Agreement,https://en.wikipedia.org/wiki/Paris_Agreement
Information Fusion Centre for the Indian Ocean region,https://en.wikipedia.org/wiki/Information_Fusion_Centre_%E2%80%93_Indian_Ocean_region
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Seychelles,https://en.wikipedia.org/wiki/Seychelles
EUNAVFOR,https://en.wikipedia.org/wiki/EUNAVFOR
Indian Ocean Rim Association,https://en.wikipedia.org/wiki/Indian_Ocean_Rim_Association
overseas region,https://en.wikipedia.org/wiki/Overseas_France
France,https://en.wikipedia.org/wiki/France
European External Action Service,https://en.wikipedia.org/wiki/European_External_Action_Service
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
Sovereign Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Order_of_Malta
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
