text,url
international organisation,https://en.wikipedia.org/wiki/International_organisation
Indian Ocean,https://en.wikipedia.org/wiki/Indian_Ocean
Ebene,"https://en.wikipedia.org/wiki/Ebene_Cybercity,_Mauritius"
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mauritius,https://en.wikipedia.org/wiki/Mauritius
multilateral treaty,https://en.wikipedia.org/wiki/Multilateral_treaty
Pik Botha,https://en.wikipedia.org/wiki/Pik_Botha
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela
South Africa,https://en.wikipedia.org/wiki/South_Africa
India,https://en.wikipedia.org/wiki/India
liberalisation,https://en.wikipedia.org/wiki/Liberalism
maritime security,https://en.wikipedia.org/wiki/Maritime_security
Maritime security,https://en.wikipedia.org/wiki/Maritime_security
IUU fishing,"https://en.wikipedia.org/wiki/Illegal,_unreported_and_unregulated_fishing"
maritime safety,https://en.wikipedia.org/wiki/Maritime_safety
Disaster Risk Management,https://en.wikipedia.org/wiki/Disaster_risk_reduction#Disaster_management_to_DRR
Belt and Road Initiative,https://en.wikipedia.org/wiki/Belt_and_Road_Initiative
Indian Ocean Research Group,https://en.wikipedia.org/wiki/Indian_Ocean_Research_Group
Australia,https://en.wikipedia.org/wiki/Australia
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Comoros,https://en.wikipedia.org/wiki/Comoros
France,https://en.wikipedia.org/wiki/France
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Kenya,https://en.wikipedia.org/wiki/Kenya
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Oman,https://en.wikipedia.org/wiki/Oman
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Singapore,https://en.wikipedia.org/wiki/Singapore
Somalia,https://en.wikipedia.org/wiki/Somalia
South Africa,https://en.wikipedia.org/wiki/South_Africa
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Thailand,https://en.wikipedia.org/wiki/Thailand
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Yemen,https://en.wikipedia.org/wiki/Yemen
China,https://en.wikipedia.org/wiki/China
Egypt,https://en.wikipedia.org/wiki/Egypt
European Union,https://en.wikipedia.org/wiki/European_Union
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Russia,https://en.wikipedia.org/wiki/Russia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
1st,https://en.wikipedia.org/wiki/2017_IORA_Summit
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Jakarta,https://en.wikipedia.org/wiki/Jakarta
International Conference on Indian Ocean Studies,https://en.wikipedia.org/wiki/International_Conference_on_Indian_Ocean_Studies
Indian Ocean Commission,https://en.wikipedia.org/wiki/Indian_Ocean_Commission
Indian Ocean trade,https://en.wikipedia.org/wiki/Indian_Ocean_trade
Asia-Pacific Economic Cooperation,https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation
Global Southeast,https://en.wikipedia.org/wiki/Global_Southeast
Organisation of American States,https://en.wikipedia.org/wiki/Organisation_of_American_States
Organisation of the Black Sea Economic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_the_Black_Sea_Economic_Cooperation
Union for the Mediterranean,https://en.wikipedia.org/wiki/Union_for_the_Mediterranean
Bibcode,https://en.wikipedia.org/wiki/Bibcode_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
Stanford University Press,https://en.wikipedia.org/wiki/Stanford_University_Press
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
Department of Foreign Affairs and Trade (Australia),https://en.wikipedia.org/wiki/Department_of_Foreign_Affairs_and_Trade_(Australia)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
