text,url
Spanish-language,https://en.wikipedia.org/wiki/Spanish-language
intergovernmental,https://en.wikipedia.org/wiki/Intergovernmentalism
collective security,https://en.wikipedia.org/wiki/Collective_security
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
The Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
United States,https://en.wikipedia.org/wiki/United_States
Monroe Doctrine,https://en.wikipedia.org/wiki/Monroe_Doctrine
interventionist,https://en.wikipedia.org/wiki/Foreign_interventions_by_the_United_States
Roosevelt Corollary,https://en.wikipedia.org/wiki/Roosevelt_Corollary
Axis,https://en.wikipedia.org/wiki/Axis_powers
Panama Canal,https://en.wikipedia.org/wiki/Panama_Canal
International Conference of American States,https://en.wikipedia.org/wiki/International_Conference_of_American_States
Inter-American Conference for the Maintenance of Peace,https://en.wikipedia.org/wiki/Inter-American_Conference
World War II,https://en.wikipedia.org/wiki/World_War_II
Allies,https://en.wikipedia.org/wiki/Allies_of_World_War_II
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Argentina,https://en.wikipedia.org/wiki/Argentina
Declaration by United Nations,https://en.wikipedia.org/wiki/Declaration_by_United_Nations
Dumbarton Oaks,https://en.wikipedia.org/wiki/Dumbarton_Oaks_Conference
Chapultepec Castle,https://en.wikipedia.org/wiki/Chapultepec_Castle
Mexico City,https://en.wikipedia.org/wiki/Mexico_City
Juan Perón,https://en.wikipedia.org/wiki/Juan_Per%C3%B3n
Peronism,https://en.wikipedia.org/wiki/Peronism
Cold War,https://en.wikipedia.org/wiki/Cold_War
Truman Doctrine,https://en.wikipedia.org/wiki/Truman_Doctrine
Bogotá,https://en.wikipedia.org/wiki/Bogot%C3%A1
Colombia,https://en.wikipedia.org/wiki/Colombia
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
NATO,https://en.wikipedia.org/wiki/NATO
Rio de Janeiro,https://en.wikipedia.org/wiki/Rio_de_Janeiro
United Nations,https://en.wikipedia.org/wiki/United_Nations
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
the Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Canada,https://en.wikipedia.org/wiki/Canada
separate defense commitments,https://en.wikipedia.org/wiki/NATO
Guatemalan coup d'état,https://en.wikipedia.org/wiki/1954_Guatemalan_coup_d%27%C3%A9tat
Bay of Pigs Invasion,https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Dominican Civil War,https://en.wikipedia.org/wiki/Dominican_Civil_War
Inter-American Peace Force,https://en.wikipedia.org/wiki/Inter-American_Peace_Force
multilateralism,https://en.wikipedia.org/wiki/Multilateralism
Falklands War,https://en.wikipedia.org/wiki/Falklands_War
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Non-Aligned Movement,https://en.wikipedia.org/wiki/Non-Aligned_Movement
invasion of Iraq,https://en.wikipedia.org/wiki/2003_invasion_of_Iraq
Mexico,https://en.wikipedia.org/wiki/Mexico
Union of South American Nations,https://en.wikipedia.org/wiki/Union_of_South_American_Nations
Bolivarian Alliance for the Americas,https://en.wikipedia.org/wiki/ALBA
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Obama administration,https://en.wikipedia.org/wiki/Presidency_of_Barack_Obama
Cuban Missile Crisis,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis
United States,https://en.wikipedia.org/wiki/United_States
September 11 attacks,https://en.wikipedia.org/wiki/September_11_attacks
presidential crisis in Venezuela,https://en.wikipedia.org/wiki/2019_Venezuelan_presidential_crisis
Nicolás Maduro,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro
National Assembly of Venezuela,https://en.wikipedia.org/wiki/National_Assembly_(Venezuela)
Juan Guaidó,https://en.wikipedia.org/wiki/Juan_Guaid%C3%B3
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
Luis Almagro,https://en.wikipedia.org/wiki/Luis_Almagro
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
Argentina,https://en.wikipedia.org/wiki/Argentina
