text,url
international financial institution,https://en.wikipedia.org/wiki/International_financial_institution
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
loans,https://en.wikipedia.org/wiki/Loan
developing countries,https://en.wikipedia.org/wiki/Developing_country
concessional,https://en.wikipedia.org/wiki/Concessional_funding
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
World Bank,https://en.wikipedia.org/wiki/World_Bank
economic development,https://en.wikipedia.org/wiki/Economic_development
eradicating poverty,https://en.wikipedia.org/wiki/Poverty_reduction
sovereign states,https://en.wikipedia.org/wiki/Sovereign_state
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
education,https://en.wikipedia.org/wiki/Education
environmental consciousness,https://en.wikipedia.org/wiki/Environmentalism
potable water,https://en.wikipedia.org/wiki/Drinking_water
improved sanitation,https://en.wikipedia.org/wiki/Improved_sanitation
shareholders,https://en.wikipedia.org/wiki/Shareholder
capital markets,https://en.wikipedia.org/wiki/Capital_market
currencies,https://en.wikipedia.org/wiki/Currencies
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
Multilateral Investment Guarantee Agency,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
International Centre for Settlement of Investment Disputes,https://en.wikipedia.org/wiki/International_Centre_for_Settlement_of_Investment_Disputes
BRIC,https://en.wikipedia.org/wiki/BRIC_(economics_term)
President of the World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group#Presidency
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
David Malpass,https://en.wikipedia.org/wiki/David_Malpass
United States Treasury Department,https://en.wikipedia.org/wiki/United_States_Treasury_Department
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Bretton Woods Conference,https://en.wikipedia.org/wiki/Bretton_Woods_Conference
Washington Post,https://en.wikipedia.org/wiki/The_Washington_Post
Paris,https://en.wikipedia.org/wiki/Paris
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Prague,https://en.wikipedia.org/wiki/Prague
Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
Multilateral Development Bank,https://en.wikipedia.org/wiki/Multilateral_Development_Bank
decolonization,https://en.wikipedia.org/wiki/Decolonization
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Development Bank of Latin America and the Caribbean,https://en.wikipedia.org/wiki/Development_Bank_of_Latin_America_and_the_Caribbean
Islamic Development Bank,https://en.wikipedia.org/wiki/Islamic_Development_Bank
European Bank of Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_of_Reconstruction_and_Development
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Global Policy,https://en.wikipedia.org/wiki/Global_Policy
climate change,https://en.wikipedia.org/wiki/Climate_change
bonds,https://en.wikipedia.org/wiki/Bond_(finance)
currencies,https://en.wikipedia.org/wiki/Currency
credit rating,https://en.wikipedia.org/wiki/Bond_credit_rating
Group of 24,https://en.wikipedia.org/wiki/Group_of_24
Asian Infrastructure Investment Bank,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank
BRICS,https://en.wikipedia.org/wiki/BRICS
New Development Bank,https://en.wikipedia.org/wiki/New_Development_Bank
preferred credit treatment,https://en.wikipedia.org/wiki/Preferential_creditor
Institute of International Finance,https://en.wikipedia.org/wiki/Institute_of_International_Finance
The Economist,https://en.wikipedia.org/wiki/The_Economist
derivatives,https://en.wikipedia.org/wiki/Derivative_(finance)
local currencies,https://en.wikipedia.org/wiki/Local_currency
International Finance Corporation,https://en.wikipedia.org/wiki/International_Finance_Corporation
subnational entities,https://en.wikipedia.org/wiki/Administrative_division
sovereign guarantees,https://en.wikipedia.org/wiki/Surety
line of credit,https://en.wikipedia.org/wiki/Line_of_credit
sovereign default,https://en.wikipedia.org/wiki/Sovereign_default
credit risk,https://en.wikipedia.org/wiki/Credit_risk
financial risk management,https://en.wikipedia.org/wiki/Financial_risk_management
foreign exchange swaps,https://en.wikipedia.org/wiki/Foreign_exchange_swap
interest rate swaps,https://en.wikipedia.org/wiki/Interest_rate_swap
interest rate caps and floors,https://en.wikipedia.org/wiki/Interest_rate_cap_and_floor
commodity swaps,https://en.wikipedia.org/wiki/Commodity_swap
Bretton Woods system,https://en.wikipedia.org/wiki/Bretton_Woods_system
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
The Washington Post,https://en.wikipedia.org/wiki/The_Washington_Post
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
