text,url
French,https://en.wikipedia.org/wiki/French_language
intergovernmental organisation,https://en.wikipedia.org/wiki/List_of_intergovernmental_organizations
chemistry,https://en.wikipedia.org/wiki/Chemistry
ionising radiation,https://en.wikipedia.org/wiki/Ionising_radiation
metrology,https://en.wikipedia.org/wiki/Metrology
International System of Units,https://en.wikipedia.org/wiki/International_System_of_Units
Coordinated Universal Time,https://en.wikipedia.org/wiki/Coordinated_Universal_Time
Pavillon de Breteuil,https://en.wikipedia.org/wiki/Pavillon_de_Breteuil
Saint-Cloud,https://en.wikipedia.org/wiki/Saint-Cloud
Paris,https://en.wikipedia.org/wiki/Paris
France,https://en.wikipedia.org/wiki/France
International System of Units (SI),https://en.wikipedia.org/wiki/International_System_of_Units
International System of Units,https://en.wikipedia.org/wiki/International_System_of_Units
metrology,https://en.wikipedia.org/wiki/Metrology
Coordinated Universal Time,https://en.wikipedia.org/wiki/Coordinated_Universal_Time
International Committee for Weights and Measures,https://en.wikipedia.org/wiki/General_Conference_on_Weights_and_Measures#CIPM
French,https://en.wikipedia.org/wiki/French_language
General Conference on Weights and Measures,https://en.wikipedia.org/wiki/General_Conference_on_Weights_and_Measures
French,https://en.wikipedia.org/wiki/French_language
Metre Convention,https://en.wikipedia.org/wiki/Metre_Convention
Franco-Prussian War,https://en.wikipedia.org/wiki/Franco-Prussian_War
International Geodetic Association,https://en.wikipedia.org/wiki/International_Association_of_Geodesy
1855 Paris Exposition,https://en.wikipedia.org/wiki/Exposition_Universelle_(1855)
Great Exhibition,https://en.wikipedia.org/wiki/Great_Exhibition
unification of Germany,https://en.wikipedia.org/wiki/Unification_of_Germany
geodesists,https://en.wikipedia.org/wiki/Geodesy
Europe,https://en.wikipedia.org/wiki/Europe
General Conference on Weights and Measures,https://en.wikipedia.org/wiki/General_Conference_on_Weights_and_Measures
metre,https://en.wikipedia.org/wiki/Metre
kilogram,https://en.wikipedia.org/wiki/Kilogram
standards,https://en.wikipedia.org/wiki/Standard_(metrology)
Metre Convention,https://en.wikipedia.org/wiki/Metre_Convention
historical definition,https://en.wikipedia.org/wiki/History_of_the_metre
Carlos Ibáñez e Ibáñez de Ibero,https://en.wikipedia.org/wiki/Carlos_Ib%C3%A1%C3%B1ez_e_Ib%C3%A1%C3%B1ez_de_Ibero
International Geodetic Association,https://en.wikipedia.org/wiki/International_Association_of_Geodesy
International Committee for Weigths and Measures,https://en.wikipedia.org/wiki/General_Conference_on_Weights_and_Measures
arc measurement of Delambre and Méchain,https://en.wikipedia.org/wiki/Arc_measurement_of_Delambre_and_M%C3%A9chain
Legendre,https://en.wikipedia.org/wiki/Adrien-Marie_Legendre
Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
least squares method,https://en.wikipedia.org/wiki/Least_squares
observational errors,https://en.wikipedia.org/wiki/Observational_error
Charles Édouard Guillaume,https://en.wikipedia.org/wiki/Charles_%C3%89douard_Guillaume
invar,https://en.wikipedia.org/wiki/Invar
systematic errors,https://en.wikipedia.org/wiki/Observational_error
units of measurement,https://en.wikipedia.org/wiki/Unit_of_measurement
standards,https://en.wikipedia.org/wiki/Standard_(metrology)
alloys,https://en.wikipedia.org/wiki/Alloy
expansion,https://en.wikipedia.org/wiki/Thermal_expansion
Étienne Lenoir,https://en.wikipedia.org/wiki/%C3%89tienne_Lenoir_(instrument_maker)
United States Coast Survey,https://en.wikipedia.org/wiki/United_States_Coast_and_Geodetic_Survey
Aarberg,https://en.wikipedia.org/wiki/Aarberg
canton of Bern,https://en.wikipedia.org/wiki/Canton_of_Bern
Switzerland,https://en.wikipedia.org/wiki/Switzerland
topographic map of Switzerland,https://en.wikipedia.org/wiki/Topographic_Map_of_Switzerland
Jean Nicolas Fortin,https://en.wikipedia.org/wiki/Jean_Nicolas_Fortin
Friedrich Georg Wilhelm von Struve,https://en.wikipedia.org/wiki/Friedrich_Georg_Wilhelm_von_Struve
Carlos Ibáñez e Ibáñez de Ibero,https://en.wikipedia.org/wiki/Carlos_Ib%C3%A1%C3%B1ez_e_Ib%C3%A1%C3%B1ez_de_Ibero
Frutos Saavedra Meneses,https://en.wikipedia.org/wiki/Frutos_Saavedra_Meneses
Jean Brunner,https://en.wikipedia.org/wiki/Jean_Brunner
Borda,https://en.wikipedia.org/wiki/Jean-Charles_de_Borda
measurement traceability,https://en.wikipedia.org/wiki/Traceability
systematic errors,https://en.wikipedia.org/wiki/Observational_error
statistics,https://en.wikipedia.org/wiki/Statistics
International Statistical Institute,https://en.wikipedia.org/wiki/International_Statistical_Institute
Exposition Universelle (1855),https://en.wikipedia.org/wiki/Exposition_Universelle_(1855)
Congress of Statistics,https://en.wikipedia.org/wiki/International_Statistical_Institute
Exposition Universelle (1867),https://en.wikipedia.org/wiki/Exposition_Universelle_(1867)
cadastral surveying,https://en.wikipedia.org/wiki/Cadastral_surveying
Muhammad Ali,https://en.wikipedia.org/wiki/Muhammad_Ali_of_Egypt
Mohammed Sa'id Pasha,https://en.wikipedia.org/wiki/Sa%27id_of_Egypt
Ismail Mustafa al-Falaki,https://en.wikipedia.org/wiki/Ismail_Mustafa_al-Falaki
Jean Brunner,https://en.wikipedia.org/wiki/Jean_Brunner
Metre Convention,https://en.wikipedia.org/wiki/Metre_Convention
Struve Geodetic Arc,https://en.wikipedia.org/wiki/Struve_Geodetic_Arc
triangulations,https://en.wikipedia.org/wiki/Triangulation_(surveying)
Hammerfest,https://en.wikipedia.org/wiki/Hammerfest
Norway,https://en.wikipedia.org/wiki/Norway
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
South Africa,https://en.wikipedia.org/wiki/South_Africa
Egypt,https://en.wikipedia.org/wiki/Egypt
meridian arc,https://en.wikipedia.org/wiki/Meridian_arc
Eratosthenes,https://en.wikipedia.org/wiki/Eratosthenes
geodesy,https://en.wikipedia.org/wiki/Geodesy
Russian Empire,https://en.wikipedia.org/wiki/Russian_Empire
United Kingdoms of Sweden and Norway,https://en.wikipedia.org/wiki/Union_between_Sweden_and_Norway
Friedrich Georg Wilhelm von Struve,https://en.wikipedia.org/wiki/Friedrich_Georg_Wilhelm_von_Struve
Friedrich Wilhelm Bessel,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Bessel
Carl Friedrich Gauss,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
George Biddell Airy,https://en.wikipedia.org/wiki/George_Biddell_Airy
Jean Nicolas Fortin,https://en.wikipedia.org/wiki/Jean_Nicolas_Fortin
