text,url
French,https://en.wikipedia.org/wiki/French_language
international arbitration,https://en.wikipedia.org/wiki/International_arbitration
dispute resolution,https://en.wikipedia.org/wiki/Dispute_resolution
conciliation,https://en.wikipedia.org/wiki/Conciliation
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
arbitral awards,https://en.wikipedia.org/wiki/Arbitral_award
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
expropriation,https://en.wikipedia.org/wiki/Expropriation
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
Aron Broches,https://en.wikipedia.org/wiki/Aron_Broches
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
multilateral agreement,https://en.wikipedia.org/wiki/Multilateral_treaty
Indonesian,https://en.wikipedia.org/wiki/Indonesia
London,https://en.wikipedia.org/wiki/London
Churchill Mining,https://en.wikipedia.org/wiki/Churchill_Mining
Occidental Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum
Ecuador,https://en.wikipedia.org/wiki/Ecuador
compound interest,https://en.wikipedia.org/wiki/Compound_interest
Tullow Oil,https://en.wikipedia.org/wiki/Tullow_Oil
Ugandan,https://en.wikipedia.org/wiki/Uganda
value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
Philip Morris sued Uruguay,https://en.wikipedia.org/wiki/Philip_Morris_v._Uruguay
Nuclear power phase-out,https://en.wikipedia.org/wiki/Nuclear_power_phase-out
Vattenfall,https://en.wikipedia.org/wiki/Vattenfall
Bilateral investment treaties,https://en.wikipedia.org/wiki/Bilateral_investment_treaty
"oil, gas",https://en.wikipedia.org/wiki/Fossil_fuel
mining,https://en.wikipedia.org/wiki/Mining
electricity,https://en.wikipedia.org/wiki/Electric_energy
transportation industry,https://en.wikipedia.org/wiki/Transportation_industry
construction industry,https://en.wikipedia.org/wiki/Construction_industry
financial industry,https://en.wikipedia.org/wiki/Financial_industry
information industry,https://en.wikipedia.org/wiki/Information_industry
water industry,https://en.wikipedia.org/wiki/Water_industry
"agriculture, fishing, and forestry",https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
services and trade,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
tourism industry,https://en.wikipedia.org/wiki/Tourism_industry
President of the World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group#Presidency
United Nations member states,https://en.wikipedia.org/wiki/United_Nations_member_states
Kosovo,https://en.wikipedia.org/wiki/Republic_of_Kosovo
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Brazil,https://en.wikipedia.org/wiki/Brazil
India,https://en.wikipedia.org/wiki/India
South Africa,https://en.wikipedia.org/wiki/South_Africa
United Nations Commission on International Trade Law,https://en.wikipedia.org/wiki/United_Nations_Commission_on_International_Trade_Law
Permanent Court of Arbitration,https://en.wikipedia.org/wiki/Permanent_Court_of_Arbitration
The Hague,https://en.wikipedia.org/wiki/The_Hague
London Court of International Arbitration,https://en.wikipedia.org/wiki/London_Court_of_International_Arbitration
International Chamber of Commerce,https://en.wikipedia.org/wiki/International_Chamber_of_Commerce
Paris,https://en.wikipedia.org/wiki/Paris
ICSID Review: Foreign Investment Law Journal,https://en.wikipedia.org/wiki/ICSID_Review
Cairo,https://en.wikipedia.org/wiki/Cairo
Kuala Lumpur,https://en.wikipedia.org/wiki/Kuala_Lumpur
Lagos,https://en.wikipedia.org/wiki/Lagos
Melbourne,https://en.wikipedia.org/wiki/Melbourne
Maxwell Chambers,https://en.wikipedia.org/wiki/Maxwell_Chambers
Hong Kong International Arbitration Centre,https://en.wikipedia.org/wiki/Hong_Kong_International_Arbitration_Centre
Jeffrey Sachs,https://en.wikipedia.org/wiki/Jeffrey_Sachs
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Pakistan Supreme Court,https://en.wikipedia.org/wiki/Pakistan_Supreme_Court
Antofagasta PLC,https://en.wikipedia.org/wiki/Antofagasta_PLC
Chile,https://en.wikipedia.org/wiki/Chile
Barrick Gold Corporation,https://en.wikipedia.org/wiki/Barrick_Gold_Corporation
Reko Diq Mine,https://en.wikipedia.org/wiki/Reko_Diq_Mine
Arbitration,https://en.wikipedia.org/wiki/Arbitration
Bilateral investment treaty,https://en.wikipedia.org/wiki/Bilateral_investment_treaty
Bolivian gas conflict,https://en.wikipedia.org/wiki/Bolivian_gas_conflict
Calvo Doctrine,https://en.wikipedia.org/wiki/Calvo_Doctrine
Cochabamba protests of 2000,https://en.wikipedia.org/wiki/Cochabamba_protests_of_2000
Conciliation,https://en.wikipedia.org/wiki/Conciliation
Investor-state dispute settlement,https://en.wikipedia.org/wiki/Investor-state_dispute_settlement
Multilateral Agreement on Investment,https://en.wikipedia.org/wiki/Multilateral_Agreement_on_Investment
Reko Diq case,https://en.wikipedia.org/wiki/Reko_Diq_case
Library of Congress,https://en.wikipedia.org/wiki/Library_of_Congress
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
