text,url
Balqa,https://en.wikipedia.org/wiki/Balqa_Governorate
governorate,https://en.wikipedia.org/wiki/Governorates_of_Jordan
Jordan,https://en.wikipedia.org/wiki/Jordan
UNESCO,https://en.wikipedia.org/wiki/UNESCO
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Egypt,https://en.wikipedia.org/wiki/Egypt
Iran,https://en.wikipedia.org/wiki/Iran
Israel,https://en.wikipedia.org/wiki/Israel
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palestinian Authority,https://en.wikipedia.org/wiki/Palestinian_Authority
Turkey,https://en.wikipedia.org/wiki/Turkey
CERN,https://en.wikipedia.org/wiki/CERN
King Abdullah II,https://en.wikipedia.org/wiki/Abdullah_II_of_Jordan
Rolf Heuer,https://en.wikipedia.org/wiki/Rolf_Heuer
Christopher Llewellyn Smith,https://en.wikipedia.org/wiki/Christopher_Llewellyn_Smith
Herwig Schopper,https://en.wikipedia.org/wiki/Herwig_Schopper
CERN,https://en.wikipedia.org/wiki/CERN
Khaled Toukan,https://en.wikipedia.org/wiki/Khaled_Toukan
Jordan Atomic Energy Commission,https://en.wikipedia.org/wiki/Jordan_Atomic_Energy_Commission
Synchrotron light,https://en.wikipedia.org/wiki/Synchrotron_radiation
Mohammad Abdus Salam,https://en.wikipedia.org/wiki/Abdus_Salam
Herwig Schopper,https://en.wikipedia.org/wiki/Herwig_Schopper
Mohammad Abdus Salam,https://en.wikipedia.org/wiki/Abdus_Salam
Herman Winick,https://en.wikipedia.org/wiki/Herman_Winick
BESSY I,https://en.wikipedia.org/wiki/BESSY
Tord Ekelöf,https://en.wikipedia.org/wiki/Tord_Ekel%C3%B6f
CERN,https://en.wikipedia.org/wiki/CERN
Sergio Fubini,https://en.wikipedia.org/wiki/Sergio_Fubini
Herwig Schopper,https://en.wikipedia.org/wiki/Herwig_Schopper
UNESCO,https://en.wikipedia.org/wiki/UNESCO
Kōichirō Matsuura,https://en.wikipedia.org/wiki/K%C5%8Dichir%C5%8D_Matsuura
ESRF,https://en.wikipedia.org/wiki/ESRF
in kind,https://en.wikipedia.org/wiki/In_kind
CERN,https://en.wikipedia.org/wiki/CERN
BESSY,https://en.wikipedia.org/wiki/BESSY
INFN,https://en.wikipedia.org/wiki/INFN
microtron,https://en.wikipedia.org/wiki/Microtron
MeV,https://en.wikipedia.org/wiki/MeV
synchrotron,https://en.wikipedia.org/wiki/Synchrotron
storage ring,https://en.wikipedia.org/wiki/Storage_ring
BESSY,https://en.wikipedia.org/wiki/BESSY#BESSY_I
beamlines,https://en.wikipedia.org/wiki/Beamline
X-ray absorption fine structure,https://en.wikipedia.org/wiki/X-ray_absorption_fine_structure
X-ray fluorescence,https://en.wikipedia.org/wiki/X-ray_fluorescence
Materials Science,https://en.wikipedia.org/wiki/Materials_Science
Macromolecular Crystallography,https://en.wikipedia.org/wiki/X-ray_crystallography#Biological_macromolecular_crystallography
Soft X-ray,https://en.wikipedia.org/wiki/X-ray#Soft_and_hard_X-rays
Tomography,https://en.wikipedia.org/wiki/Tomography
X-ray,https://en.wikipedia.org/wiki/X-ray
Jordan Valley,https://en.wikipedia.org/wiki/Jordan_Valley_(Middle_East)
infrared,https://en.wikipedia.org/wiki/Infrared
crystallography,https://en.wikipedia.org/wiki/Crystallography
Dr. Masoud Alimohammadi,https://en.wikipedia.org/wiki/Masoud_Alimohammadi
Dr. Magid Shahriari,https://en.wikipedia.org/wiki/Magid_Shahriari
Mossad,https://en.wikipedia.org/wiki/Mossad
2013 Middle East cold snap,https://en.wikipedia.org/wiki/2013_Middle_East_cold_snap
Jordan Research and Training Reactor,https://en.wikipedia.org/wiki/Jordan_Research_and_Training_Reactor
Science and technology in Jordan,https://en.wikipedia.org/wiki/Science_and_technology_in_Jordan
The African Light Source,https://en.wikipedia.org/wiki/The_African_Light_Source
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Bibcode,https://en.wikipedia.org/wiki/Bibcode_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
PMC,https://en.wikipedia.org/wiki/PMC_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
Channel 4,https://en.wikipedia.org/wiki/Channel_4
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
