text,url
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Henri Bergson,https://en.wikipedia.org/wiki/Henri_Bergson
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
Sarvepalli Radhakrishnan,https://en.wikipedia.org/wiki/Sarvepalli_Radhakrishnan
Jagadish Chandra Bose,https://en.wikipedia.org/wiki/Jagadish_Chandra_Bose
Nitobe Inazo,https://en.wikipedia.org/wiki/Nitobe_Inazo
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
Gonzague de Reynold,https://en.wikipedia.org/wiki/Gonzague_de_Reynold
Leonardo Torres Quevedo,https://en.wikipedia.org/wiki/Leonardo_Torres_Quevedo
Robert A. Millikan,https://en.wikipedia.org/wiki/Robert_Andrews_Millikan
Henri Bergson,https://en.wikipedia.org/wiki/Henri_Bergson
Albert Einstein,https://en.wikipedia.org/wiki/Albert_Einstein
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie
Kristine Bonnevie,https://en.wikipedia.org/wiki/Kristine_Bonnevie
Jules Destrée,https://en.wikipedia.org/wiki/Jules_Destr%C3%A9e
Robert Andrews Millikan,https://en.wikipedia.org/wiki/Robert_Andrews_Millikan
Alfredo Rocco,https://en.wikipedia.org/wiki/Alfredo_Rocco
Paul Painlevé,https://en.wikipedia.org/wiki/Paul_Painlev%C3%A9
Leonardo Torres Quevedo,https://en.wikipedia.org/wiki/Leonardo_Torres_Quevedo
Gonzague de Reynold,https://en.wikipedia.org/wiki/Gonzague_de_Reynold
Jagadish Chandra Bose,https://en.wikipedia.org/wiki/Jagadish_Chandra_Bose
Sarvepalli Radhakrishnan,https://en.wikipedia.org/wiki/Sarvepalli_Radhakrishnan
Henri Bergson,https://en.wikipedia.org/wiki/Henri_Bergson
Hendrik Lorentz,https://en.wikipedia.org/wiki/Hendrik_Lorentz
Gilbert Murray,https://en.wikipedia.org/wiki/Gilbert_Murray
Béla Bartók,https://en.wikipedia.org/wiki/B%C3%A9la_Bart%C3%B3k
Thomas Mann,https://en.wikipedia.org/wiki/Thomas_Mann
Salvador de Madariaga,https://en.wikipedia.org/wiki/Salvador_de_Madariaga
Paul Valéry,https://en.wikipedia.org/wiki/Paul_Val%C3%A9ry
Italian government,https://en.wikipedia.org/wiki/Italian_government
Mussolini,https://en.wikipedia.org/wiki/Benito_Mussolini
Inazo Nitobe,https://en.wikipedia.org/wiki/Inazo_Nitobe
Palais Wilson,https://en.wikipedia.org/wiki/Palais_Wilson
Geneva,https://en.wikipedia.org/wiki/Geneva
LoN,https://en.wikipedia.org/wiki/League_of_Nations
Palais-Royal,https://en.wikipedia.org/wiki/Palais-Royal
Paris,https://en.wikipedia.org/wiki/Paris
Geneva,https://en.wikipedia.org/wiki/Geneva
international organisation,https://en.wikipedia.org/wiki/International_organisation
Henri Bonnet,https://en.wikipedia.org/wiki/Henri_Bonnet
Alfred Zimmern,https://en.wikipedia.org/wiki/Alfred_Zimmern
UNESCO,https://en.wikipedia.org/wiki/UNESCO
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
