text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
African Great Lakes region,https://en.wikipedia.org/wiki/African_Great_Lakes_region
Angola,https://en.wikipedia.org/wiki/Angola
Burundi,https://en.wikipedia.org/wiki/Burundi
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Kenya,https://en.wikipedia.org/wiki/Kenya
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Sudan,https://en.wikipedia.org/wiki/Sudan
South Sudan,https://en.wikipedia.org/wiki/South_Sudan
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Uganda,https://en.wikipedia.org/wiki/Uganda
Zambia,https://en.wikipedia.org/wiki/Zambia
Botswana,https://en.wikipedia.org/wiki/Botswana
Egypt,https://en.wikipedia.org/wiki/Egypt
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Malawi,https://en.wikipedia.org/wiki/Malawi
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Namibia,https://en.wikipedia.org/wiki/Namibia
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Liberata Mulamula,https://en.wikipedia.org/wiki/Liberata_Mulamula
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Ntumba Luaba,https://en.wikipedia.org/wiki/Ntumba_Luaba
Kenya,https://en.wikipedia.org/wiki/Kenya
Zachary Muburi-Muita,https://en.wikipedia.org/wiki/Zachary_Muburi-Muita
Angola,https://en.wikipedia.org/wiki/Angola
East African Community,https://en.wikipedia.org/wiki/East_African_Community
