text,url
Chairmans,https://en.wikipedia.org/wiki/Chairman_of_the_International_Cricket_Council
Outline,https://en.wikipedia.org/wiki/International_cricket
Member countries,https://en.wikipedia.org/wiki/List_of_International_Cricket_Council_members
Former Women's Council,https://en.wikipedia.org/wiki/International_Women%27s_Cricket_Council
Americas,https://en.wikipedia.org/wiki/ICC_Americas
East Asia-Pacific,https://en.wikipedia.org/wiki/ICC_East_Asia-Pacific
Europe,https://en.wikipedia.org/wiki/ICC_Europe
Africa,https://en.wikipedia.org/wiki/Africa_Cricket_Association
Asia,https://en.wikipedia.org/wiki/Asian_Cricket_Council
Academy,https://en.wikipedia.org/wiki/ICC_Academy
Academy Ground,https://en.wikipedia.org/wiki/ICC_Academy_Ground
FTP,https://en.wikipedia.org/wiki/ICC_Future_Tours_Programme
Code of Conduct,https://en.wikipedia.org/wiki/ICC_Cricket_Code_of_Conduct
Cricket 360°,https://en.wikipedia.org/wiki/ICC_Cricket_360%C2%B0
Development Panel,https://en.wikipedia.org/wiki/Development_Panel_of_ICC_Umpires
Elite Panel,https://en.wikipedia.org/wiki/Elite_Panel_of_ICC_Umpires
International Panel,https://en.wikipedia.org/wiki/International_Panel_of_ICC_Umpires
Elite Panel,https://en.wikipedia.org/wiki/Elite_Panel_of_ICC_Referees
Test Championship,https://en.wikipedia.org/wiki/World_Test_Championship
ODI World Cup,https://en.wikipedia.org/wiki/Cricket_World_Cup
T20 World Cup,https://en.wikipedia.org/wiki/Men%27s_T20_World_Cup
Champions Trophy,https://en.wikipedia.org/wiki/ICC_Champions_Trophy
Intercontinental Cup,https://en.wikipedia.org/wiki/ICC_Intercontinental_Cup
U19 World Cup,https://en.wikipedia.org/wiki/Under-19_Men%27s_Cricket_World_Cup
ODI World Cup,https://en.wikipedia.org/wiki/Women%27s_Cricket_World_Cup
T20 World Cup,https://en.wikipedia.org/wiki/Women%27s_T20_World_Cup
Champions Trophy,https://en.wikipedia.org/wiki/ICC_Women%27s_Champions_Trophy
U19 World Cup,https://en.wikipedia.org/wiki/Under-19_Women%27s_T20_World_Cup
Olympics,https://en.wikipedia.org/wiki/Cricket_at_the_Summer_Olympics
Commonwealth Games,https://en.wikipedia.org/wiki/Cricket_at_the_Commonwealth_Games
African Games,https://en.wikipedia.org/wiki/Cricket_at_the_African_Games
Asian Games,https://en.wikipedia.org/wiki/Cricket_at_the_Asian_Games
Pacific Games,https://en.wikipedia.org/wiki/Cricket_at_the_Pacific_Games
South Asian Games,https://en.wikipedia.org/wiki/Cricket_at_the_South_Asian_Games
SEA games,https://en.wikipedia.org/wiki/Cricket_at_the_SEA_Games
Test,https://en.wikipedia.org/wiki/ICC_Men%27s_Test_Team_Rankings
ODI,https://en.wikipedia.org/wiki/ICC_Men%27s_ODI_Team_Rankings
T20I,https://en.wikipedia.org/wiki/ICC_Men%27s_T20I_Team_Rankings
ODI,https://en.wikipedia.org/wiki/ICC_Women%27s_ODI_and_T20I_Team_Rankings#ODI_rankings
