text,url
IEA,https://en.wikipedia.org/wiki/International_Energy_Agency
OPEC,https://en.wikipedia.org/wiki/OPEC
Brazil,https://en.wikipedia.org/wiki/Brazil
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Mexico,https://en.wikipedia.org/wiki/Mexico
Russia,https://en.wikipedia.org/wiki/Russia
South Africa,https://en.wikipedia.org/wiki/South_Africa
supply and demand,https://en.wikipedia.org/wiki/Supply_and_demand
Riyadh,https://en.wikipedia.org/wiki/Riyadh
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Joint Organisations Data Initiative (JODI),https://en.wikipedia.org/wiki/Joint_Organisations_Data_Initiative
Carlos Andrés Pérez,https://en.wikipedia.org/wiki/Carlos_Andr%C3%A9s_P%C3%A9rez
François Mitterrand,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand
Gro Brundtland,https://en.wikipedia.org/wiki/Gro_Harlem_Brundtland
1970s energy crisis,https://en.wikipedia.org/wiki/1970s_energy_crisis
1980s oil glut,https://en.wikipedia.org/wiki/1980s_oil_glut
APEC,https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation
EUROSTAT,https://en.wikipedia.org/wiki/Eurostat
GECF,https://en.wikipedia.org/wiki/Gas_Exporting_Countries_Forum
IEA,https://en.wikipedia.org/wiki/International_Energy_Agency
OPEC,https://en.wikipedia.org/wiki/OPEC
UNSD,https://en.wikipedia.org/wiki/UNSD
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
international organization,https://en.wikipedia.org/wiki/International_organization
