text,url
international financial institution,https://en.wikipedia.org/wiki/International_financial_institutions
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
investment,https://en.wikipedia.org/wiki/Investment
asset-management,https://en.wikipedia.org/wiki/Asset_management
private-sector development,https://en.wikipedia.org/wiki/Private_sector_development
less developed countries,https://en.wikipedia.org/wiki/Less_developed_country
economic development,https://en.wikipedia.org/wiki/Economic_development
poverty reduction,https://en.wikipedia.org/wiki/Poverty_reduction
debt,https://en.wikipedia.org/wiki/Debt
equity,https://en.wikipedia.org/wiki/Equity_(finance)
management,https://en.wikipedia.org/wiki/Management
credit rating agencies,https://en.wikipedia.org/wiki/Credit_rating_agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Bretton Woods conference,https://en.wikipedia.org/wiki/United_Nations_Monetary_and_Financial_Conference
International Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development
Siemens & Halske,https://en.wikipedia.org/wiki/Siemens_%26_Halske
Siemens AG,https://en.wikipedia.org/wiki/Siemens
Angel Broking,https://en.wikipedia.org/wiki/Angel_Broking
Greek,https://en.wikipedia.org/wiki/Economy_of_Greece
Alpha Bank,https://en.wikipedia.org/wiki/Alpha_Bank
Eurobank,https://en.wikipedia.org/wiki/Eurobank_Ergasias
Piraeus Bank,https://en.wikipedia.org/wiki/Piraeus_Bank
National Bank of Greece,https://en.wikipedia.org/wiki/National_Bank_of_Greece
Ghana,https://en.wikipedia.org/wiki/Ghana
Nigeria,https://en.wikipedia.org/wiki/Nigeria
corporation,https://en.wikipedia.org/wiki/Corporation
shareholders,https://en.wikipedia.org/wiki/Shareholder
paid-in capital,https://en.wikipedia.org/wiki/Paid-in_capital
President of the World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group#Presidency
Makhtar Diop,https://en.wikipedia.org/wiki/Makhtar_Diop
loans,https://en.wikipedia.org/wiki/Loan
trade finance,https://en.wikipedia.org/wiki/Trade_finance
syndicated loans,https://en.wikipedia.org/wiki/Syndicated_loan
structured,https://en.wikipedia.org/wiki/Structured_finance
securitized,https://en.wikipedia.org/wiki/Securitization
risk management,https://en.wikipedia.org/wiki/Risk_management
treasury services,https://en.wikipedia.org/wiki/Treasury_services
liquidity,https://en.wikipedia.org/wiki/Market_liquidity
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
Leasing,https://en.wikipedia.org/wiki/Leasing
financial intermediaries,https://en.wikipedia.org/wiki/Financial_intermediary
hard currencies,https://en.wikipedia.org/wiki/Hard_currency
Bosch Spain,https://en.wikipedia.org/wiki/Robert_Bosch_GmbH
private-equity funds,https://en.wikipedia.org/wiki/Private-equity_fund
Small Enterprise Assistance Funds,https://en.wikipedia.org/wiki/Small_Enterprise_Assistance_Funds
Caucasus,https://en.wikipedia.org/wiki/Caucasus
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Fiji,https://en.wikipedia.org/wiki/Fiji
Pacific Islands,https://en.wikipedia.org/wiki/Pacific_Islands
Leopard Capital,https://en.wikipedia.org/wiki/Leopard_Capital
Haiti,https://en.wikipedia.org/wiki/Haiti
preferred equity,https://en.wikipedia.org/wiki/Preferred_stock
convertible loans,https://en.wikipedia.org/wiki/Convertible_bond
participation loans,https://en.wikipedia.org/wiki/Participation_loan
stock exchange,https://en.wikipedia.org/wiki/Stock_exchange
initial public offering,https://en.wikipedia.org/wiki/Initial_public_offering
emerging markets,https://en.wikipedia.org/wiki/Emerging_markets
Islamic finance,https://en.wikipedia.org/wiki/Islamic_economic_jurisprudence
credit risk,https://en.wikipedia.org/wiki/Credit_risk
mortgages,https://en.wikipedia.org/wiki/Mortgage
credit cards,https://en.wikipedia.org/wiki/Credit_card
corporate debt,https://en.wikipedia.org/wiki/Corporate_bond
derivative,https://en.wikipedia.org/wiki/Derivative_(finance)
hedging,https://en.wikipedia.org/wiki/Hedge_(finance)
interest rate risk,https://en.wikipedia.org/wiki/Interest_rate_risk
exchange rate risk,https://en.wikipedia.org/wiki/Foreign_exchange_risk
commodity risk exposure,https://en.wikipedia.org/wiki/Commodity_risk
market makers,https://en.wikipedia.org/wiki/Market_maker
combating climate change,https://en.wikipedia.org/wiki/Climate_change_mitigation
subsidiary,https://en.wikipedia.org/wiki/Subsidiary
fiduciary responsibility,https://en.wikipedia.org/wiki/Fiduciary
consolidated financial statements,https://en.wikipedia.org/wiki/Consolidated_financial_statement
GAAP,https://en.wikipedia.org/wiki/Generally_accepted_accounting_principles
KPMG,https://en.wikipedia.org/wiki/KPMG
net income,https://en.wikipedia.org/wiki/Net_income
accumulated other comprehensive income,https://en.wikipedia.org/wiki/Accumulated_other_comprehensive_income
return on average assets,https://en.wikipedia.org/wiki/Return_on_assets
return on average capital,https://en.wikipedia.org/wiki/Return_on_average_capital_employed
cash,https://en.wikipedia.org/wiki/Cash_flow
debt-to-equity ratio,https://en.wikipedia.org/wiki/Debt-to-equity_ratio
credit ratings,https://en.wikipedia.org/wiki/Credit_rating
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
Moody's Investors Service,https://en.wikipedia.org/wiki/Moody%27s_Investors_Service
preferred creditor,https://en.wikipedia.org/wiki/Preferred_creditor
sustainable agriculture,https://en.wikipedia.org/wiki/Sustainable_agriculture
healthcare,https://en.wikipedia.org/wiki/Healthcare
education,https://en.wikipedia.org/wiki/Education
microfinance,https://en.wikipedia.org/wiki/Microfinance
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
climate,https://en.wikipedia.org/wiki/Climate_change
World Green Building Council,https://en.wikipedia.org/wiki/World_Green_Building_Council
Oxfam International,https://en.wikipedia.org/wiki/Oxfam_International
due diligence,https://en.wikipedia.org/wiki/Due_diligence
"Environment, Health and Safety","https://en.wikipedia.org/wiki/Environment,_Health_and_Safety"
Global Environment Facility,https://en.wikipedia.org/wiki/Global_Environment_Facility
Grassroots Business Fund,https://en.wikipedia.org/wiki/Grassroots_Business_Fund
Multilateral Investment Guarantee Agency,https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency
Jam v. International Finance Corp.,https://en.wikipedia.org/wiki/Jam_v._International_Finance_Corp.
Gujarat,https://en.wikipedia.org/wiki/Gujarat
"Architecture of Washington, D.C.","https://en.wikipedia.org/wiki/Architecture_of_Washington,_D.C."
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
