text,url
wheat,https://en.wikipedia.org/wiki/Wheat
maize,https://en.wikipedia.org/wiki/Maize
food security,https://en.wikipedia.org/wiki/Food_security
smallholder,https://en.wikipedia.org/wiki/Smallholding
CGIAR centers,https://en.wikipedia.org/wiki/CGIAR
Rockefeller Foundation,https://en.wikipedia.org/wiki/Rockefeller_Foundation
Secretariat of Agriculture,https://en.wikipedia.org/wiki/Secretariat_of_Agriculture_and_Rural_Development_(Mexico)
Norman Borlaug,https://en.wikipedia.org/wiki/Norman_Borlaug
sustainable food,https://en.wikipedia.org/wiki/Sustainable_food_systems
no-till farming,https://en.wikipedia.org/wiki/No-till_farming
Svalbard,https://en.wikipedia.org/wiki/Svalbard
Green Revolution,https://en.wikipedia.org/wiki/Green_Revolution
Bill & Melinda Gates Foundation,https://en.wikipedia.org/wiki/Bill_%26_Melinda_Gates_Foundation
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Australia,https://en.wikipedia.org/wiki/Australia
Britain,https://en.wikipedia.org/wiki/United_Kingdom
Canada,https://en.wikipedia.org/wiki/Canada
Germany,https://en.wikipedia.org/wiki/Germany
Mexico,https://en.wikipedia.org/wiki/Mexico
United States,https://en.wikipedia.org/wiki/United_States
European Commission,https://en.wikipedia.org/wiki/European_Commission
Rockefeller Foundation,https://en.wikipedia.org/wiki/Rockefeller_Foundation
Norman Borlaug,https://en.wikipedia.org/wiki/Norman_Borlaug
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
World Food Prize,https://en.wikipedia.org/wiki/World_Food_Prize
Sanjaya Rajaram,https://en.wikipedia.org/wiki/Sanjaya_Rajaram
Surinder Vasal,https://en.wikipedia.org/wiki/Surinder_Vasal
Evangelina Villegas,https://en.wikipedia.org/wiki/Evangelina_Villegas
quality protein maize,https://en.wikipedia.org/wiki/Quality_Protein_Maize
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Green Revolution,https://en.wikipedia.org/wiki/Green_Revolution
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Bibcode,https://en.wikipedia.org/wiki/Bibcode_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
CDMX,https://en.wikipedia.org/wiki/CDMX
CIMMYT,https://en.wikipedia.org/wiki/CIMMYT
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
