text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
environmental sustainability,https://en.wikipedia.org/wiki/Environmental_sustainability
bamboo,https://en.wikipedia.org/wiki/Bamboo
rattan,https://en.wikipedia.org/wiki/Rattan
International Development Research Centre,https://en.wikipedia.org/wiki/International_Development_Research_Centre
Canada,https://en.wikipedia.org/wiki/Canada
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Canada,https://en.wikipedia.org/wiki/Canada
China,https://en.wikipedia.org/wiki/China
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Peru,https://en.wikipedia.org/wiki/Peru
Philippines,https://en.wikipedia.org/wiki/Philippines
Tanzania,https://en.wikipedia.org/wiki/Tanzania
United Nations,https://en.wikipedia.org/wiki/United_Nations
intergovernmental organizations,https://en.wikipedia.org/wiki/Intergovernmental_organizations
Beijing,https://en.wikipedia.org/wiki/Beijing
China,https://en.wikipedia.org/wiki/China
New Delhi,https://en.wikipedia.org/wiki/New_Delhi
India,https://en.wikipedia.org/wiki/India
Yaoundé,https://en.wikipedia.org/wiki/Yaound%C3%A9
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Kumasi,https://en.wikipedia.org/wiki/Kumasi
Ghana,https://en.wikipedia.org/wiki/Ghana
Quito,https://en.wikipedia.org/wiki/Quito
Ecuador,https://en.wikipedia.org/wiki/Ecuador
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UN Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
Food and Agricultural Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
UN Industrial Development Organization,https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization
United Nations Framework Convention on Climate Change,https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change
Convention on Biological Diversity,https://en.wikipedia.org/wiki/Convention_on_Biological_Diversity
United Nations Convention to Combat Desertification,https://en.wikipedia.org/wiki/United_Nations_Convention_to_Combat_Desertification
International Fund for Agricultural Development,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development
International Union for Conservation of Nature,https://en.wikipedia.org/wiki/International_Union_for_Conservation_of_Nature
Global Landscapes Forum,https://en.wikipedia.org/wiki/Global_Landscapes_Forum
International Union of Forest Research Organizations,https://en.wikipedia.org/wiki/International_Union_of_Forest_Research_Organizations
Ministry of Foreign Affairs of the Netherlands,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_of_the_Netherlands
Spanish Agency for International Development Cooperation,https://en.wikipedia.org/wiki/Spanish_Agency_for_International_Development_Cooperation
Global Environment Facility,https://en.wikipedia.org/wiki/Global_Environment_Facility
European Union,https://en.wikipedia.org/wiki/European_Union
Argentina,https://en.wikipedia.org/wiki/Argentina
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Benin,https://en.wikipedia.org/wiki/Benin
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Brazil,https://en.wikipedia.org/wiki/Brazil
Burundi,https://en.wikipedia.org/wiki/Burundi
Cambodia,https://en.wikipedia.org/wiki/Cambodia
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Canada,https://en.wikipedia.org/wiki/Canada
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
China,https://en.wikipedia.org/wiki/China
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Cuba,https://en.wikipedia.org/wiki/Cuba
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Fiji,https://en.wikipedia.org/wiki/Fiji
Ghana,https://en.wikipedia.org/wiki/Ghana
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Kenya,https://en.wikipedia.org/wiki/Kenya
Liberia,https://en.wikipedia.org/wiki/Liberia
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nepal,https://en.wikipedia.org/wiki/Nepal
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Panama,https://en.wikipedia.org/wiki/Panama
Peru,https://en.wikipedia.org/wiki/Peru
Philippines,https://en.wikipedia.org/wiki/Philippines
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Senegal,https://en.wikipedia.org/wiki/Senegal
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Suriname,https://en.wikipedia.org/wiki/Suriname
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Thailand,https://en.wikipedia.org/wiki/Thailand
Togo,https://en.wikipedia.org/wiki/Togo
Tonga,https://en.wikipedia.org/wiki/Tonga
Uganda,https://en.wikipedia.org/wiki/Uganda
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Viet Nam,https://en.wikipedia.org/wiki/Viet_Nam
plastic pollution,https://en.wikipedia.org/wiki/Plastic_pollution
climate change,https://en.wikipedia.org/wiki/Climate_change
plastic waste,https://en.wikipedia.org/wiki/Plastic_waste
biodiversity loss,https://en.wikipedia.org/wiki/Biodiversity_loss
pollution,https://en.wikipedia.org/wiki/Pollution
Bamboo,https://en.wikipedia.org/wiki/Bamboo
Rattan,https://en.wikipedia.org/wiki/Rattan
Poverty alleviation,https://en.wikipedia.org/wiki/Poverty_alleviation
Sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
Bamboo construction,https://en.wikipedia.org/wiki/Bamboo_construction
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
UNEP-WCMC,https://en.wikipedia.org/wiki/UNEP-WCMC
