text,url
Spanish-language,https://en.wikipedia.org/wiki/Spanish_language
Lima,https://en.wikipedia.org/wiki/Lima
Peru,https://en.wikipedia.org/wiki/Peru
poverty,https://en.wikipedia.org/wiki/Poverty
food security,https://en.wikipedia.org/wiki/Food_security
developing countries,https://en.wikipedia.org/wiki/Developing_country
potato,https://en.wikipedia.org/wiki/Potato
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
tuber,https://en.wikipedia.org/wiki/Tuber
Andes,https://en.wikipedia.org/wiki/Andes
World Vegetable Center,https://en.wikipedia.org/wiki/World_Vegetable_Center
Taiwan Agricultural Research institute,https://en.wikipedia.org/wiki/Taiwan_Agricultural_Research_institute
Consultative Group on International Agricultural Research,https://en.wikipedia.org/wiki/Consultative_Group_on_International_Agricultural_Research
NASA,https://en.wikipedia.org/wiki/NASA
Martian,https://en.wikipedia.org/wiki/Mars
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Republic of Austria,https://en.wikipedia.org/wiki/Republic_of_Austria
Austrian Development Agency,https://en.wikipedia.org/wiki/Austrian_Development_Agency
Jan Low,https://en.wikipedia.org/wiki/Jan_Low
International Centre of Insect Physiology and Ecology,https://en.wikipedia.org/wiki/International_Centre_of_Insect_Physiology_and_Ecology
Pamela K. Anderson,https://en.wikipedia.org/wiki/Pamela_K._Anderson
American Society for Horticultural Science,https://en.wikipedia.org/wiki/American_Society_for_Horticultural_Science
