text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
World War II,https://en.wikipedia.org/wiki/World_War_II
United Nations,https://en.wikipedia.org/wiki/United_Nations
specialized agency,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
United Nations Relief and Rehabilitation Administration,https://en.wikipedia.org/wiki/United_Nations_Relief_and_Rehabilitation_Administration
United Nations High Commissioner for Refugees,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Office of the High Commissioner for Refugees,https://en.wikipedia.org/wiki/Office_of_the_High_Commissioner_for_Refugees
Intergovernmental Committee for European Migration,https://en.wikipedia.org/wiki/Intergovernmental_Committee_for_European_Migration
The Search,https://en.wikipedia.org/wiki/The_Search
Fred Zinnemann,https://en.wikipedia.org/wiki/Fred_Zinnemann
First session of the United Nations General Assembly,https://en.wikipedia.org/wiki/First_session_of_the_United_Nations_General_Assembly
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Government of the United Kingdom,https://en.wikipedia.org/wiki/Government_of_the_United_Kingdom
