text,url
French,https://en.wikipedia.org/wiki/French_language
"Kingston, Jamaica","https://en.wikipedia.org/wiki/Kingston,_Jamaica"
intergovernmental body,https://en.wikipedia.org/wiki/Intergovernmental_organization
UN Convention on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
common heritage of all mankind,https://en.wikipedia.org/wiki/Common_heritage_of_humanity
subsoil,https://en.wikipedia.org/wiki/Subsoil
deep sea,https://en.wikipedia.org/wiki/Deep_sea
biological diversity,https://en.wikipedia.org/wiki/Biodiversity
Clarion–Clipperton zone,https://en.wikipedia.org/wiki/Clarion%E2%80%93Clipperton_zone
polymetallic nodules,https://en.wikipedia.org/wiki/Polymetallic_nodules
deep sea mining,https://en.wikipedia.org/wiki/Deep_sea_mining
Leticia Carvalho,https://en.wikipedia.org/wiki/Leticia_Carvalho
Jamaica,https://en.wikipedia.org/wiki/Jamaica
observer status to the United Nations,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
United Nations Convention on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
Fiji,https://en.wikipedia.org/wiki/Fiji
Satya Nandan,https://en.wikipedia.org/wiki/Satya_Nandan
Ghana,https://en.wikipedia.org/wiki/Ghana
Nii Allotey Odunton,https://en.wikipedia.org/wiki/Nii_Allotey_Odunton
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Michael Lodge,https://en.wikipedia.org/wiki/Michael_Lodge
Brazil,https://en.wikipedia.org/wiki/Brazil
Leticia Carvalho,https://en.wikipedia.org/wiki/Leticia_Carvalho
Greenpeace,https://en.wikipedia.org/wiki/Greenpeace
continental shelf,https://en.wikipedia.org/wiki/Continental_shelf
Commission on the Limits of the Continental Shelf,https://en.wikipedia.org/wiki/Commission_on_the_Limits_of_the_Continental_Shelf
European Union,https://en.wikipedia.org/wiki/European_Union
Clarion–Clipperton zone,https://en.wikipedia.org/wiki/Clarion%E2%80%93Clipperton_zone
polymetallic nodules,https://en.wikipedia.org/wiki/Manganese_nodule
Western Pacific Ocean,https://en.wikipedia.org/wiki/Western_Pacific_Ocean
South West Indian Ridge,https://en.wikipedia.org/wiki/Southwest_Indian_Ridge
Central Indian Ridge,https://en.wikipedia.org/wiki/Central_Indian_Ridge
Mid-Atlantic Ridge,https://en.wikipedia.org/wiki/Mid-Atlantic_Ridge
carbon sink,https://en.wikipedia.org/wiki/Carbon_sink
International Institute for Sustainable Development,https://en.wikipedia.org/wiki/International_Institute_for_Sustainable_Development
wealth redistribution,https://en.wikipedia.org/wiki/Wealth_redistribution
Palau,https://en.wikipedia.org/wiki/Palau
Surangel S. Whipps Jr.,https://en.wikipedia.org/wiki/Surangel_Whipps_Jr.
Upholding the Common Heritage of Humankind,https://en.wikipedia.org/wiki/Upholding_the_Common_Heritage_of_Humankind
manganese nodules,https://en.wikipedia.org/wiki/Manganese_nodule
manganese,https://en.wikipedia.org/wiki/Manganese
cobalt,https://en.wikipedia.org/wiki/Cobalt
copper,https://en.wikipedia.org/wiki/Copper
nickel,https://en.wikipedia.org/wiki/Nickel
Pacific Ocean,https://en.wikipedia.org/wiki/Pacific_Ocean
Indian Ocean,https://en.wikipedia.org/wiki/Indian_Ocean
sulfides,https://en.wikipedia.org/wiki/Sulfide
ferromanganese,https://en.wikipedia.org/wiki/Ferromanganese
zinc,https://en.wikipedia.org/wiki/Zinc
cobalt,https://en.wikipedia.org/wiki/Cobalt
"Manoa, Hawaii","https://en.wikipedia.org/wiki/Manoa,_Hawaii"
deep sea mining,https://en.wikipedia.org/wiki/Deep_sea_mining
methane hydrate,https://en.wikipedia.org/wiki/Methane_clathrate
Territorial claims in the Arctic,https://en.wikipedia.org/wiki/Territorial_claims_in_the_Arctic
Sustainable Development Goal 14,https://en.wikipedia.org/wiki/Sustainable_Development_Goal_14
UNCLOS,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
Commission on the Limits of the Continental Shelf,https://en.wikipedia.org/wiki/Commission_on_the_Limits_of_the_Continental_Shelf
Deep Sea Mining,https://en.wikipedia.org/wiki/Deep_sea_mining
Clarion–Clipperton zone,https://en.wikipedia.org/wiki/Clarion%E2%80%93Clipperton_zone
Polymetallic nodules,https://en.wikipedia.org/wiki/Manganese_nodule
International waters,https://en.wikipedia.org/wiki/International_waters
Seabed Arms Control Treaty,https://en.wikipedia.org/wiki/Seabed_Arms_Control_Treaty
United Nations Trusteeship Council,https://en.wikipedia.org/wiki/United_Nations_Trusteeship_Council
Antarctic Treaty Secretariat,https://en.wikipedia.org/wiki/Antarctic_Treaty_Secretariat
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Jamaica,https://en.wikipedia.org/wiki/Jamaica
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
