text,url
specialized agency of the United Nations,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
information and communication technologies,https://en.wikipedia.org/wiki/Information_and_communications_technology
Doreen Bogdan-Martin,https://en.wikipedia.org/wiki/Doreen_Bogdan-Martin
telegraphic networks,https://en.wikipedia.org/wiki/Telegraphy
United Nations,https://en.wikipedia.org/wiki/United_Nations
UN system,https://en.wikipedia.org/wiki/United_Nations_System
radio spectrum,https://en.wikipedia.org/wiki/Radio_spectrum
orbits,https://en.wikipedia.org/wiki/Orbit
technical standards,https://en.wikipedia.org/wiki/Technical_standard
optical fiber,https://en.wikipedia.org/wiki/Optical_fiber
radio astronomy,https://en.wikipedia.org/wiki/Radio_astronomy
amateur radio,https://en.wikipedia.org/wiki/Amateur_radio
next-generation networks,https://en.wikipedia.org/wiki/Next-generation_network
Geneva,https://en.wikipedia.org/wiki/Geneva
Central Commission for Navigation on the Rhine,https://en.wikipedia.org/wiki/Central_Commission_for_Navigation_on_the_Rhine
International Radiotelegraph Convention,https://en.wikipedia.org/wiki/International_Radiotelegraph_Convention_(1906)
ITU Radio Regulations,https://en.wikipedia.org/wiki/ITU_Radio_Regulations
United Nations,https://en.wikipedia.org/wiki/United_Nations
Dubai,https://en.wikipedia.org/wiki/Dubai
treaty,https://en.wikipedia.org/wiki/Treaty
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
tariffs,https://en.wikipedia.org/wiki/Tariffs
Melbourne,https://en.wikipedia.org/wiki/Melbourne
ICANN,https://en.wikipedia.org/wiki/ICANN
Internet addresses,https://en.wikipedia.org/wiki/Internet_address
domain names,https://en.wikipedia.org/wiki/Domain_name
IP addresses,https://en.wikipedia.org/wiki/IP_addresses
regional Internet registries,https://en.wikipedia.org/wiki/Regional_Internet_registry
Google,https://en.wikipedia.org/wiki/Google
European Parliament,https://en.wikipedia.org/wiki/European_Parliament
United States House of Representatives,https://en.wikipedia.org/wiki/United_States_House_of_Representatives
Multistakeholder Model,https://en.wikipedia.org/wiki/Multistakeholder_Model
United States Senate,https://en.wikipedia.org/wiki/United_States_Senate
states,https://en.wikipedia.org/wiki/Nation-state
Electronic Frontier Foundation,https://en.wikipedia.org/wiki/Electronic_Frontier_Foundation
Google,https://en.wikipedia.org/wiki/Google
SpaceX,https://en.wikipedia.org/wiki/SpaceX
Starlink,https://en.wikipedia.org/wiki/Starlink
Mahsa Amini protests,https://en.wikipedia.org/wiki/Mahsa_Amini_protests
censorship,https://en.wikipedia.org/wiki/Censorship_in_Iran
ITU Plenipotentiary Conference,https://en.wikipedia.org/wiki/ITU_Plenipotentiary_Conference
ITU-R,https://en.wikipedia.org/wiki/ITU-R
ITU-T,https://en.wikipedia.org/wiki/ITU-T
Study Group 13,https://en.wikipedia.org/wiki/ITU-T_Study_Group_13
Study Group 16,https://en.wikipedia.org/wiki/ITU-T_Study_Group_16
Study Group 17,https://en.wikipedia.org/wiki/ITU-T_Study_Group_17
World Telecommunication Standardization Assembly,https://en.wikipedia.org/wiki/World_Telecommunication_Standardization_Assembly
ITU-WHO Focus Group on Artificial Intelligence for Health,https://en.wikipedia.org/wiki/ITU-WHO_Focus_Group_on_Artificial_Intelligence_for_Health
Seizo Onoe,https://en.wikipedia.org/wiki/Seizo_Onoe
ITU-D,https://en.wikipedia.org/wiki/ITU-D
Broadband Commission for Sustainable Development,https://en.wikipedia.org/wiki/Broadband_Commission_for_Sustainable_Development
Partner2Connect,https://en.wikipedia.org/wiki/Partner2Connect
Argentina,https://en.wikipedia.org/wiki/Argentina
Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Brazil,https://en.wikipedia.org/wiki/Brazil
Canada,https://en.wikipedia.org/wiki/Canada
Cuba,https://en.wikipedia.org/wiki/Cuba
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Mexico,https://en.wikipedia.org/wiki/Mexico
Paraguay,https://en.wikipedia.org/wiki/Paraguay
United States,https://en.wikipedia.org/wiki/United_States
France,https://en.wikipedia.org/wiki/France
Italy,https://en.wikipedia.org/wiki/Italy
Germany,https://en.wikipedia.org/wiki/Germany
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Poland,https://en.wikipedia.org/wiki/Poland
Romania,https://en.wikipedia.org/wiki/Romania
Algeria,https://en.wikipedia.org/wiki/Algeria
Egypt,https://en.wikipedia.org/wiki/Egypt
Ghana,https://en.wikipedia.org/wiki/Ghana
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Kenya,https://en.wikipedia.org/wiki/Kenya
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Morocco,https://en.wikipedia.org/wiki/Morocco
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Senegal,https://en.wikipedia.org/wiki/Senegal
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Uganda,https://en.wikipedia.org/wiki/Uganda
Australia,https://en.wikipedia.org/wiki/Australia
Bahrain,https://en.wikipedia.org/wiki/Bahrain
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Japan,https://en.wikipedia.org/wiki/Japan
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Philippines,https://en.wikipedia.org/wiki/Philippines
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Thailand,https://en.wikipedia.org/wiki/Thailand
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Houlin Zhao,https://en.wikipedia.org/wiki/Houlin_Zhao
Busan,https://en.wikipedia.org/wiki/Busan
Dubai,https://en.wikipedia.org/wiki/Dubai
Doreen Bogdan-Martin,https://en.wikipedia.org/wiki/Doreen_Bogdan-Martin
Louis Curchod,https://en.wikipedia.org/wiki/Louis_Curchod
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Louis Curchod,https://en.wikipedia.org/wiki/Louis_Curchod
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Emil Frey,https://en.wikipedia.org/wiki/Emil_Frey
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Switzerland,https://en.wikipedia.org/wiki/Switzerland
France,https://en.wikipedia.org/wiki/France
Argentina,https://en.wikipedia.org/wiki/Argentina
United States,https://en.wikipedia.org/wiki/United_States
Manohar Balaji Sarwate,https://en.wikipedia.org/wiki/Manohar_Balaji_Sarwate
India,https://en.wikipedia.org/wiki/India
Mohamed Ezzedine Mili,https://en.wikipedia.org/wiki/Mohamed_Ezzedine_Mili
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Richard E. Butler,https://en.wikipedia.org/wiki/Richard_E._Butler
Australia,https://en.wikipedia.org/wiki/Australia
Pekka Tarjanne,https://en.wikipedia.org/wiki/Pekka_Tarjanne
Finland,https://en.wikipedia.org/wiki/Finland
Yoshio Utsumi,https://en.wikipedia.org/wiki/Yoshio_Utsumi
Japan,https://en.wikipedia.org/wiki/Japan
Hamadoun Touré,https://en.wikipedia.org/wiki/Hamadoun_Tour%C3%A9
Mali,https://en.wikipedia.org/wiki/Mali
