text,url
water management,https://en.wikipedia.org/wiki/Water_management
Colombo,https://en.wikipedia.org/wiki/Colombo
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
water,https://en.wikipedia.org/wiki/Water_resources
land resources,https://en.wikipedia.org/wiki/Land_resources
food security,https://en.wikipedia.org/wiki/Food_security
water availability,https://en.wikipedia.org/wiki/Water_resources
adaptation to climate change,https://en.wikipedia.org/wiki/Climate_change_adaptation
water quality,https://en.wikipedia.org/wiki/Water_quality
health,https://en.wikipedia.org/wiki/Public_health
environment,https://en.wikipedia.org/wiki/Natural_environment
Stockholm Water Prize,https://en.wikipedia.org/wiki/Stockholm_Water_Prize
Stockholm International Water Institute,https://en.wikipedia.org/wiki/Stockholm_International_Water_Institute
agricultural water,https://en.wikipedia.org/wiki/Farm_water
food security,https://en.wikipedia.org/wiki/Food_security
environmental health,https://en.wikipedia.org/wiki/Environmental_health
developing countries,https://en.wikipedia.org/wiki/Developing_countries
CGIAR,https://en.wikipedia.org/wiki/CGIAR
"Water, Land and Ecosystems","https://en.wikipedia.org/wiki/Water,_Land_and_Ecosystems"
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Irrigation,https://en.wikipedia.org/wiki/Irrigation
Ford Foundation,https://en.wikipedia.org/wiki/Ford_Foundation
Consultative Group on International Agricultural Research,https://en.wikipedia.org/wiki/Consultative_Group_on_International_Agricultural_Research
World Bank,https://en.wikipedia.org/wiki/World_Bank
Green Revolution,https://en.wikipedia.org/wiki/Green_Revolution
irrigation systems,https://en.wikipedia.org/wiki/Irrigation_system
fertilizers,https://en.wikipedia.org/wiki/Fertilizer
food crops,https://en.wikipedia.org/wiki/Food_crops
Rio de Janeiro Earth Summit,https://en.wikipedia.org/wiki/Rio_de_Janeiro_Earth_Summit
decentralized,https://en.wikipedia.org/wiki/Decentralized
basins,https://en.wikipedia.org/wiki/Drainage_basin
accounting,https://en.wikipedia.org/wiki/Accounting
remote sensing,https://en.wikipedia.org/wiki/Remote_sensing
environmental flows,https://en.wikipedia.org/wiki/Environmental_flows
A comprehensive assessment of water management in agriculture,https://en.wikipedia.org/wiki/A_comprehensive_assessment_of_water_management_in_agriculture
water scarcity,https://en.wikipedia.org/wiki/Water_scarcity
physical water scarcity,https://en.wikipedia.org/wiki/Physical_water_scarcity
economic water scarcity,https://en.wikipedia.org/wiki/Economic_water_scarcity
World Water Day,https://en.wikipedia.org/wiki/World_Water_Day
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Intergovernmental Panel on Climate Change,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change
World Water Week,https://en.wikipedia.org/wiki/World_Water_Week
Gujarat,https://en.wikipedia.org/wiki/Gujarat
depleted groundwater,https://en.wikipedia.org/wiki/Groundwater_depletion
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
power supply,https://en.wikipedia.org/wiki/Power_supply
power cables,https://en.wikipedia.org/wiki/Power_cable
Environmental impact of irrigation,https://en.wikipedia.org/wiki/Environmental_impact_of_irrigation
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
IWMI,https://en.wikipedia.org/wiki/IWMI
FAO,https://en.wikipedia.org/wiki/FAO
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
