text,url
Arabic,https://en.wikipedia.org/wiki/Arabic_language
development finance institution,https://en.wikipedia.org/wiki/Development_finance_institution
Islamic finance,https://en.wikipedia.org/wiki/Islamic_finance
Jeddah,https://en.wikipedia.org/wiki/Jeddah
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
shareholding,https://en.wikipedia.org/wiki/Shareholder
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
King of Saudi Arabia,https://en.wikipedia.org/wiki/King_of_Saudi_Arabia
Faisal,https://en.wikipedia.org/wiki/Faisal_of_Saudi_Arabia
observer,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
paid-up capital,https://en.wikipedia.org/wiki/Share_capital
Export Credit,https://en.wikipedia.org/wiki/Export_credit_agency
Gao,https://en.wikipedia.org/wiki/Gao
Economy of the Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Economy_of_the_Organisation_of_Islamic_Cooperation
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Asian Infrastructure Investment Bank,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank
European Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
Caribbean Development Bank,https://en.wikipedia.org/wiki/Caribbean_Development_Bank
CAF – Development Bank of Latin America and the Caribbean,https://en.wikipedia.org/wiki/CAF_%E2%80%93_Development_Bank_of_Latin_America_and_the_Caribbean
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
International Islamic Trade Finance Corporation,https://en.wikipedia.org/wiki/International_Islamic_Trade_Finance_Corporation
Islamic banking,https://en.wikipedia.org/wiki/Islamic_banking
Islamic Organisation for Food Security,https://en.wikipedia.org/wiki/Islamic_Organisation_for_Food_Security
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
