text,url
Paris Peace Conference,https://en.wikipedia.org/wiki/Paris_Peace_Conference_(1919%E2%80%931920)
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Covenant of the League of Nations,https://en.wikipedia.org/wiki/Covenant_of_the_League_of_Nations
Members,https://en.wikipedia.org/wiki/Member_states_of_the_League_of_Nations
Organisation,https://en.wikipedia.org/wiki/Organisation_of_the_League_of_Nations
Minority Treaties,https://en.wikipedia.org/wiki/Minority_Treaties
Little Treaty of Versailles,https://en.wikipedia.org/wiki/Little_Treaty_of_Versailles
Treaty of Versailles,https://en.wikipedia.org/wiki/Treaty_of_Versailles
"""War Guilt"" clause",https://en.wikipedia.org/wiki/Article_231_of_the_Treaty_of_Versailles
Reparations,https://en.wikipedia.org/wiki/World_War_I_reparations
Reparation Commission,https://en.wikipedia.org/wiki/Reparation_Commission
Dawes Plan,https://en.wikipedia.org/wiki/Dawes_Plan
The Hague conference on reparations,https://en.wikipedia.org/wiki/The_Hague_conference_on_reparations
Young Plan,https://en.wikipedia.org/wiki/Young_Plan
Lausanne Conference,https://en.wikipedia.org/wiki/Lausanne_Conference_of_1932
Locarno Treaties,https://en.wikipedia.org/wiki/Locarno_Treaties
Possible cause of World War II,https://en.wikipedia.org/wiki/Causes_of_World_War_II#Legacies_of_World_War_I
International Opium Convention,https://en.wikipedia.org/wiki/First_International_Opium_Convention_(The_Hague)
Treaty of Saint-Germain-en-Laye,https://en.wikipedia.org/wiki/Treaty_of_Saint-Germain-en-Laye_(1919)
Treaty of Neuilly-sur-Seine,https://en.wikipedia.org/wiki/Treaty_of_Neuilly-sur-Seine
Treaty of Trianon,https://en.wikipedia.org/wiki/Treaty_of_Trianon
Millerand letter,https://en.wikipedia.org/wiki/Millerand_letter
Treaty of Sèvres,https://en.wikipedia.org/wiki/Treaty_of_S%C3%A8vres
Partition of the Ottoman Empire,https://en.wikipedia.org/wiki/Partition_of_the_Ottoman_Empire
