text,url
French,https://en.wikipedia.org/wiki/French_language
Madrid,https://en.wikipedia.org/wiki/Madrid
marine sciences,https://en.wikipedia.org/wiki/Marine_sciences
Decio Vinciguerra,https://en.wikipedia.org/wiki/Decio_Vinciguerra
Otto Krümmel,https://en.wikipedia.org/wiki/Otto_Kr%C3%BCmmel
International Geographical Union,https://en.wikipedia.org/wiki/International_Geographical_Union
"Albert I, Prince of Monaco","https://en.wikipedia.org/wiki/Albert_I,_Prince_of_Monaco"
Oceanographic Museum,https://en.wikipedia.org/wiki/Oceanographic_Museum
World War I,https://en.wikipedia.org/wiki/World_War_I
Alfonso XIII of Spain,https://en.wikipedia.org/wiki/Alfonso_XIII_of_Spain
Egypt,https://en.wikipedia.org/wiki/Egypt
Monaco,https://en.wikipedia.org/wiki/Monaco
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Gibraltar,https://en.wikipedia.org/wiki/Gibraltar
Bosphorus,https://en.wikipedia.org/wiki/Bosphorus
Strait of Messina,https://en.wikipedia.org/wiki/Strait_of_Messina
Gulf of Gabès,https://en.wikipedia.org/wiki/Gulf_of_Gab%C3%A8s
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Palestine,https://en.wikipedia.org/wiki/Palestine_(region)
Syria,https://en.wikipedia.org/wiki/Syria
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Morocco,https://en.wikipedia.org/wiki/Morocco
World War II,https://en.wikipedia.org/wiki/World_War_II
"Rainier III, Prince of Monaco","https://en.wikipedia.org/wiki/Rainier_III,_Prince_of_Monaco"
Jacques Yves Cousteau,https://en.wikipedia.org/wiki/Jacques_Yves_Cousteau
European Parliament,https://en.wikipedia.org/wiki/European_Parliament
Messinian Salinity Crisis,https://en.wikipedia.org/wiki/Messinian_Salinity_Crisis
climatic change,https://en.wikipedia.org/wiki/Climate_change
biotechnologies,https://en.wikipedia.org/wiki/Biotechnologies
seabed,https://en.wikipedia.org/wiki/Seabed
jellyfish,https://en.wikipedia.org/wiki/Jellyfish
Oceanographic Museum,https://en.wikipedia.org/wiki/Oceanographic_Museum
"Albert II, Prince of Monaco","https://en.wikipedia.org/wiki/Albert_II,_Prince_of_Monaco"
Croatia,https://en.wikipedia.org/wiki/Croatia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Russian Federation,https://en.wikipedia.org/wiki/Russian_Federation
Albania,https://en.wikipedia.org/wiki/Albania
Albania,https://en.wikipedia.org/wiki/Albania
Algeria,https://en.wikipedia.org/wiki/Algeria
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Malta,https://en.wikipedia.org/wiki/Malta
Monaco,https://en.wikipedia.org/wiki/Monaco
Morocco,https://en.wikipedia.org/wiki/Morocco
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Syria,https://en.wikipedia.org/wiki/Syria
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Turkey,https://en.wikipedia.org/wiki/Turkey
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
