text,url
multilateral export control regime,https://en.wikipedia.org/wiki/Multilateral_export_control_regime
G-7 industrialized countries,https://en.wikipedia.org/wiki/Group_of_Seven
weapons of mass destruction,https://en.wikipedia.org/wiki/Weapons_of_mass_destruction
unmanned aerial vehicles,https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle
treaty,https://en.wikipedia.org/wiki/Treaty
satellite-launched vehicle,https://en.wikipedia.org/wiki/Satellite_Launch_Vehicle
G7,https://en.wikipedia.org/wiki/Group_of_Seven_(G7)
Canada,https://en.wikipedia.org/wiki/Canada
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapon
aide-mémoire,https://en.wikipedia.org/wiki/Aide-m%C3%A9moire
NATO,https://en.wikipedia.org/wiki/NATO
Category 1,https://en.wikipedia.org/wiki/Special_nuclear_material#Category_I
Trident missiles to the United Kingdom,https://en.wikipedia.org/wiki/Trident_(UK_nuclear_programme)
Oslo,https://en.wikipedia.org/wiki/Oslo
Sten Lundbo,https://en.wikipedia.org/wiki/Sten_Lundbo
unmanned aerial vehicles,https://en.wikipedia.org/wiki/Unmanned_aerial_vehicles
weapons of mass destruction,https://en.wikipedia.org/wiki/Weapons_of_mass_destruction
Arms Control Association,https://en.wikipedia.org/wiki/Arms_Control_Association
ballistic missile,https://en.wikipedia.org/wiki/Ballistic_missile
Condor II,https://en.wikipedia.org/wiki/Condor_II
medium-range ballistic missiles,https://en.wikipedia.org/wiki/Medium-range_ballistic_missile
SLCMs,https://en.wikipedia.org/wiki/Submarine-launched_cruise_missile
DF-3A,https://en.wikipedia.org/wiki/DF-3A
IRBMs,https://en.wikipedia.org/wiki/Intermediate-range_ballistic_missile
Shavit,https://en.wikipedia.org/wiki/Shavit_2
Clinton administration,https://en.wikipedia.org/wiki/Presidency_of_Bill_Clinton
International Code of Conduct against Ballistic Missile Proliferation,https://en.wikipedia.org/wiki/International_Code_of_Conduct_against_Ballistic_Missile_Proliferation
Pakistan,https://en.wikipedia.org/wiki/Pakistan
unmanned aerial vehicles,https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle
Predator,https://en.wikipedia.org/wiki/General_Atomics_MQ-1_Predator
Reaper,https://en.wikipedia.org/wiki/General_Atomics_MQ-9_Reaper
General Atomics,https://en.wikipedia.org/wiki/General_Atomics
Global Hawk,https://en.wikipedia.org/wiki/Northrop_Grumman_RQ-4_Global_Hawk
Northrop Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman
Argentina,https://en.wikipedia.org/wiki/Argentina
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Brazil,https://en.wikipedia.org/wiki/Brazil
Canada,https://en.wikipedia.org/wiki/Canada
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
India,https://en.wikipedia.org/wiki/India
Ireland,https://en.wikipedia.org/wiki/Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Republic of Korea,https://en.wikipedia.org/wiki/Republic_of_Korea
Russian Federation,https://en.wikipedia.org/wiki/Russian_Federation
South Africa,https://en.wikipedia.org/wiki/South_Africa
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
China,https://en.wikipedia.org/wiki/China
Israel,https://en.wikipedia.org/wiki/Israel
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Dawn,https://en.wikipedia.org/wiki/Dawn_(newspaper)
Springer Publishing,https://en.wikipedia.org/wiki/Springer_Publishing
Bureau of Industry and Security,https://en.wikipedia.org/wiki/Bureau_of_Industry_and_Security
