text,url
are not formally aligned,https://en.wikipedia.org/wiki/Non-belligerent
power bloc,https://en.wikipedia.org/wiki/Power_bloc
Cold War,https://en.wikipedia.org/wiki/Cold_War
United Nations,https://en.wikipedia.org/wiki/United_Nations
Korean War,https://en.wikipedia.org/wiki/Korean_War
polarization,https://en.wikipedia.org/wiki/Polarity_(international_relations)
socialist,https://en.wikipedia.org/wiki/Socialist
Warsaw Pact,https://en.wikipedia.org/wiki/Warsaw_Pact
capitalist,https://en.wikipedia.org/wiki/Capitalist
NATO,https://en.wikipedia.org/wiki/NATO
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference
Belgrade,https://en.wikipedia.org/wiki/Belgrade
Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Josip Broz Tito,https://en.wikipedia.org/wiki/Josip_Broz_Tito
Jawaharlal Nehru,https://en.wikipedia.org/wiki/Jawaharlal_Nehru
Kwame Nkrumah,https://en.wikipedia.org/wiki/Kwame_Nkrumah
Sukarno,https://en.wikipedia.org/wiki/Sukarno
United Arab Republic,https://en.wikipedia.org/wiki/United_Arab_Republic
Gamal Abdel Nasser,https://en.wikipedia.org/wiki/Gamal_Abdel_Nasser
first Conference of Heads of State or Governments of Non-Aligned Countries,https://en.wikipedia.org/wiki/1st_Summit_of_the_Non-Aligned_Movement
Fidel Castro,https://en.wikipedia.org/wiki/Fidel_Castro
imperialism,https://en.wikipedia.org/wiki/Imperialism
colonialism,https://en.wikipedia.org/wiki/Colonialism
neo-colonialism,https://en.wikipedia.org/wiki/Neo-colonialism
racism,https://en.wikipedia.org/wiki/Racism
occupation,https://en.wikipedia.org/wiki/Military_occupation
hegemony,https://en.wikipedia.org/wiki/Hegemony
great power,https://en.wikipedia.org/wiki/Great_power
developing countries,https://en.wikipedia.org/wiki/Developing_countries
developed nations,https://en.wikipedia.org/wiki/Developed_country
decolonization,https://en.wikipedia.org/wiki/Decolonization
disarmament,https://en.wikipedia.org/wiki/Disarmament
opposition to racism,https://en.wikipedia.org/wiki/Anti-racism
apartheid in South Africa,https://en.wikipedia.org/wiki/Anti-Apartheid_Movement
Cold War's end in 1991,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
Global South,https://en.wikipedia.org/wiki/Global_South
NATO,https://en.wikipedia.org/wiki/NATO
Warsaw Pact,https://en.wikipedia.org/wiki/Warsaw_Pact
Josip Broz Tito,https://en.wikipedia.org/wiki/Josip_Broz_Tito
Jawaharlal Nehru,https://en.wikipedia.org/wiki/Jawaharlal_Nehru
Gamal Abdel Nasser,https://en.wikipedia.org/wiki/Gamal_Abdel_Nasser
Brioni Meeting,https://en.wikipedia.org/wiki/Brioni_Meeting
United Nations,https://en.wikipedia.org/wiki/United_Nations
India,https://en.wikipedia.org/wiki/India
Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Korean War,https://en.wikipedia.org/wiki/Korean_War
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference
Brijuni,https://en.wikipedia.org/wiki/Brijuni
Rejaul Karim Laskar,https://en.wikipedia.org/wiki/Rejaul_Karim_Laskar
Congress party,https://en.wikipedia.org/wiki/Indian_National_Congress
Cold War,https://en.wikipedia.org/wiki/Cold_War
developing world,https://en.wikipedia.org/wiki/Developing_country
Western,https://en.wikipedia.org/wiki/Western_Bloc
Eastern Blocs,https://en.wikipedia.org/wiki/Eastern_Bloc
Cold War,https://en.wikipedia.org/wiki/Cold_War
V. K. Krishna Menon,https://en.wikipedia.org/wiki/V._K._Krishna_Menon
