text,url
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Iceland,https://en.wikipedia.org/wiki/Iceland
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Norway,https://en.wikipedia.org/wiki/Norway
Sweden,https://en.wikipedia.org/wiki/Sweden
Baltic,https://en.wikipedia.org/wiki/Baltic_states
Nordic countries',https://en.wikipedia.org/wiki/Nordic_countries
Nordic Council,https://en.wikipedia.org/wiki/Nordic_Council
Baltic Assembly,https://en.wikipedia.org/wiki/Baltic_Assembly
Nordic countries,https://en.wikipedia.org/wiki/Nordic_countries
Baltic countries',https://en.wikipedia.org/wiki/Baltic_states
European Union,https://en.wikipedia.org/wiki/European_Union
NATO,https://en.wikipedia.org/wiki/NATO
Middelfart,https://en.wikipedia.org/wiki/Middelfart
Northern Europe,https://en.wikipedia.org/wiki/Northern_Europe
North Germanic,https://en.wikipedia.org/wiki/North_Germanic_languages
Finnic,https://en.wikipedia.org/wiki/Finnic_languages
Baltic,https://en.wikipedia.org/wiki/Baltic_languages
GDP,https://en.wikipedia.org/wiki/Nominal_gross_domestic_product
World Heritage,https://en.wikipedia.org/wiki/World_Heritage
Denmark,https://en.wikipedia.org/wiki/Denmark
Sweden,https://en.wikipedia.org/wiki/Sweden
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Finland,https://en.wikipedia.org/wiki/Finland
Estonia,https://en.wikipedia.org/wiki/Estonia
Iceland,https://en.wikipedia.org/wiki/Iceland
Sweden,https://en.wikipedia.org/wiki/Sweden
Norway,https://en.wikipedia.org/wiki/Norway
Latvia,https://en.wikipedia.org/wiki/Latvia
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Sweden,https://en.wikipedia.org/wiki/Sweden
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Finland,https://en.wikipedia.org/wiki/Finland
Latvia,https://en.wikipedia.org/wiki/Latvia
Iceland,https://en.wikipedia.org/wiki/Iceland
Estonia,https://en.wikipedia.org/wiki/Estonia
Sweden,https://en.wikipedia.org/wiki/Sweden
Eastern Partnership,https://en.wikipedia.org/wiki/Eastern_Partnership
Council of the Baltic Sea States,https://en.wikipedia.org/wiki/Council_of_the_Baltic_Sea_States
Russo-Ukrainian war,https://en.wikipedia.org/wiki/Russo-Ukrainian_war
Norway,https://en.wikipedia.org/wiki/Norway
Council of the EU,https://en.wikipedia.org/wiki/Council_of_the_European_Union
United States,https://en.wikipedia.org/wiki/United_States
UN,https://en.wikipedia.org/wiki/United_Nations
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Baltic Council of Ministers,https://en.wikipedia.org/wiki/Baltic_Council_of_Ministers
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Nordic Investment Bank,https://en.wikipedia.org/wiki/Nordic_Investment_Bank
Nordic Council of Ministers,https://en.wikipedia.org/wiki/Nordic_Council_of_Ministers
Tallinn,https://en.wikipedia.org/wiki/Tallinn
Riga,https://en.wikipedia.org/wiki/Riga
Vilnius,https://en.wikipedia.org/wiki/Vilnius
Estonia,https://en.wikipedia.org/wiki/Estonia
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
climate and energy,https://en.wikipedia.org/wiki/Climate_and_energy
Valdis Birkavs,https://en.wikipedia.org/wiki/Valdis_Birkavs
Valdis Birkavs,https://en.wikipedia.org/wiki/Valdis_Birkavs
Søren Gade,https://en.wikipedia.org/wiki/S%C3%B8ren_Gade
Nordic,https://en.wikipedia.org/wiki/List_of_diplomatic_missions_of_the_Nordic_countries
General Affairs Council,https://en.wikipedia.org/wiki/General_Affairs_Council
Foreign Affairs Council,https://en.wikipedia.org/wiki/Foreign_Affairs_Council
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
London,https://en.wikipedia.org/wiki/London
Stockholm,https://en.wikipedia.org/wiki/Stockholm
Riga,https://en.wikipedia.org/wiki/Riga
Helsinki,https://en.wikipedia.org/wiki/Helsinki
Reykjavik,https://en.wikipedia.org/wiki/Reykjav%C3%ADk
Visegrad Group,https://en.wikipedia.org/wiki/Visegr%C3%A1d_Group
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Hungary,https://en.wikipedia.org/wiki/Hungary
Poland,https://en.wikipedia.org/wiki/Poland
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Gdansk,https://en.wikipedia.org/wiki/Gda%C5%84sk
Narva,https://en.wikipedia.org/wiki/Narva
Štrbské Pleso,https://en.wikipedia.org/wiki/%C5%A0trbsk%C3%A9_Pleso
Baltic Sea,https://en.wikipedia.org/wiki/Baltic_Sea
Jūrmala,https://en.wikipedia.org/wiki/J%C5%ABrmala
Ararat Mirzoyan,https://en.wikipedia.org/wiki/Ararat_Mirzoyan
Valletta,https://en.wikipedia.org/wiki/Valletta
Armenia,https://en.wikipedia.org/wiki/Armenia
ties with the EU,https://en.wikipedia.org/wiki/Armenia%E2%80%93European_Union_relations
Alen Simonyan,https://en.wikipedia.org/wiki/Alen_Simonyan
Yerevan,https://en.wikipedia.org/wiki/Yerevan
the region,https://en.wikipedia.org/wiki/South_Caucasus
EU accession,https://en.wikipedia.org/wiki/Accession_of_Armenia_to_the_European_Union
human rights,https://en.wikipedia.org/wiki/Human_rights_in_Armenia
Nikol Pashinyan,https://en.wikipedia.org/wiki/Nikol_Pashinyan
Vahagn Khachaturyan,https://en.wikipedia.org/wiki/Vahagn_Khachaturyan
Nordic Council of Ministers,https://en.wikipedia.org/wiki/Nordic_Council_of_Ministers
Baltic Assembly,https://en.wikipedia.org/wiki/Baltic_Assembly
Nordic Council,https://en.wikipedia.org/wiki/Nordic_Council
Council of the Baltic Sea States,https://en.wikipedia.org/wiki/Council_of_the_Baltic_Sea_States
Baltoscandia,https://en.wikipedia.org/wiki/Baltoscandia
Danish Estonia,https://en.wikipedia.org/wiki/Danish_Estonia
Intermarium,https://en.wikipedia.org/wiki/Intermarium
Nordic Estonia,https://en.wikipedia.org/wiki/Nordic_Estonia
Swedish Estonia,https://en.wikipedia.org/wiki/Swedish_Estonia
Nordic identity in Estonia,https://en.wikipedia.org/wiki/Nordic_identity_in_Estonia
