text,url
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
United States,https://en.wikipedia.org/wiki/United_States
Japan,https://en.wikipedia.org/wiki/Japan
Argentina,https://en.wikipedia.org/wiki/Argentina
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Canada,https://en.wikipedia.org/wiki/Canada
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Mexico,https://en.wikipedia.org/wiki/Mexico
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
European Nuclear Energy Tribunal,https://en.wikipedia.org/wiki/European_Nuclear_Energy_Tribunal
Luis E. Echávarri,https://en.wikipedia.org/wiki/Luis_E._Ech%C3%A1varri
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
European Organization for Nuclear Research,https://en.wikipedia.org/wiki/European_Organization_for_Nuclear_Research
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
