text,url
multilateral export control regime,https://en.wikipedia.org/wiki/Multilateral_export_control_regime
non-proliferation,https://en.wikipedia.org/wiki/Non-proliferation
India,https://en.wikipedia.org/wiki/India
first nuclear weapon test,https://en.wikipedia.org/wiki/Smiling_Buddha
Nuclear Non-Proliferation Treaty,https://en.wikipedia.org/wiki/Nuclear_Non-Proliferation_Treaty
Zangger Committee,https://en.wikipedia.org/wiki/Zangger_Committee
Trigger List,https://en.wikipedia.org/wiki/Trigger_List
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
Iraqi,https://en.wikipedia.org/wiki/Iraq
Gulf War,https://en.wikipedia.org/wiki/Gulf_War
West Germany,https://en.wikipedia.org/wiki/West_Germany
Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia
East Germany,https://en.wikipedia.org/wiki/East_Germany
Germany,https://en.wikipedia.org/wiki/Germany
reunited in 1990,https://en.wikipedia.org/wiki/German_reunification
European Commission,https://en.wikipedia.org/wiki/European_Commission
Zangger Committee,https://en.wikipedia.org/wiki/Zangger_Committee
Argentina,https://en.wikipedia.org/wiki/Argentina
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belarus,https://en.wikipedia.org/wiki/Belarus
Belgium,https://en.wikipedia.org/wiki/Belgium
Brazil,https://en.wikipedia.org/wiki/Brazil
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Canada,https://en.wikipedia.org/wiki/Canada
People's Republic of China,https://en.wikipedia.org/wiki/China
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Mexico,https://en.wikipedia.org/wiki/Mexico
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Russia,https://en.wikipedia.org/wiki/Russia
Serbia,https://en.wikipedia.org/wiki/Serbia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
South Africa,https://en.wikipedia.org/wiki/South_Africa
South Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Chile,https://en.wikipedia.org/wiki/Chile
UNSC,https://en.wikipedia.org/wiki/UNSC
Wassenaar Arrangement,https://en.wikipedia.org/wiki/Wassenaar_Arrangement
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama
Wassenaar Arrangement,https://en.wikipedia.org/wiki/Wassenaar_Arrangement
Australia Group,https://en.wikipedia.org/wiki/Australia_Group
Missile Technology Control Regime,https://en.wikipedia.org/wiki/Missile_Technology_Control_Regime
Sarkozy,https://en.wikipedia.org/wiki/Sarkozy
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
Narendra Modi,https://en.wikipedia.org/wiki/Narendra_Modi
NPT,https://en.wikipedia.org/wiki/Treaty_on_the_Non-Proliferation_of_Nuclear_Weapons
G20 summit,https://en.wikipedia.org/wiki/2016_G20_Hangzhou_summit
BRICS summit,https://en.wikipedia.org/wiki/8th_BRICS_summit
Kenneth Juster,https://en.wikipedia.org/wiki/Kenneth_Juster
Namibia,https://en.wikipedia.org/wiki/Namibia
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Mark Toner,https://en.wikipedia.org/wiki/Mark_Toner
AQ Khan,https://en.wikipedia.org/wiki/Abdul_Qadeer_Khan
United States Congress,https://en.wikipedia.org/wiki/United_States_Congress
U.S. law,https://en.wikipedia.org/wiki/U.S._law
civilian nuclear trade,https://en.wikipedia.org/wiki/Indo-US_civilian_nuclear_agreement
Nuclear Non-Proliferation Treaty,https://en.wikipedia.org/wiki/Nuclear_Non-Proliferation_Treaty
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Al Jazeera English,https://en.wikipedia.org/wiki/Al_Jazeera_English
Voice of America,https://en.wikipedia.org/wiki/Voice_of_America
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
Economic Times,https://en.wikipedia.org/wiki/The_Economic_Times
The Times of India,https://en.wikipedia.org/wiki/The_Times_of_India
Reuters,https://en.wikipedia.org/wiki/Reuters
