text,url
development finance institution,https://en.wikipedia.org/wiki/Development_finance_institution
Organization of the Petroleum Exporting Countries,https://en.wikipedia.org/wiki/OPEC
Algiers,https://en.wikipedia.org/wiki/Algiers
Algeria,https://en.wikipedia.org/wiki/Algeria
Vienna,https://en.wikipedia.org/wiki/Vienna
Austria,https://en.wikipedia.org/wiki/Austria
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Algiers,https://en.wikipedia.org/wiki/Algiers
Algeria,https://en.wikipedia.org/wiki/Algeria
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Fund for Agricultural Development,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development
Algeria,https://en.wikipedia.org/wiki/Algeria
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Gabon,https://en.wikipedia.org/wiki/Gabon
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Libya,https://en.wikipedia.org/wiki/Libya
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Angola,https://en.wikipedia.org/wiki/Angola
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
least developed countries,https://en.wikipedia.org/wiki/Least_developed_countries
balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
trade financing,https://en.wikipedia.org/wiki/Trade_financing
Sustainable Energy for All,https://en.wikipedia.org/wiki/Sustainable_Energy_for_All
Vienna,https://en.wikipedia.org/wiki/Vienna
Vienna,https://en.wikipedia.org/wiki/Vienna
Ringstraße,https://en.wikipedia.org/wiki/Ringstra%C3%9Fe
Archduke Wilhelm Franz Karl,https://en.wikipedia.org/wiki/Archduke_Wilhelm_Franz_of_Austria
Theophil von Hansen,https://en.wikipedia.org/wiki/Theophil_von_Hansen
Teutonic Order,https://en.wikipedia.org/wiki/Teutonic_Order
Deutschmeister-Palais,https://en.wikipedia.org/wiki/Deutschmeister-Palais
interregnum,https://en.wikipedia.org/wiki/Interregnum
energy poverty,https://en.wikipedia.org/wiki/Energy_poverty
King Abdullah bin Abdul Aziz,https://en.wikipedia.org/wiki/King_Abdullah_bin_Abdul_Aziz
Sustainable Energy for All,https://en.wikipedia.org/wiki/Sustainable_Energy_for_All
Suleiman Jasir Al-Herbish,https://en.wikipedia.org/wiki/Suleiman_Jasir_Al-Herbish
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
Common Fund for Commodities,https://en.wikipedia.org/wiki/Common_Fund_for_Commodities
IFAD,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development
IMF,https://en.wikipedia.org/wiki/IMF
Arab Bank for Economic Development in Africa,https://en.wikipedia.org/wiki/Arab_Bank_for_Economic_Development_in_Africa
Arab Monetary Fund,https://en.wikipedia.org/wiki/Arab_Monetary_Fund
Islamic Development Bank,https://en.wikipedia.org/wiki/Islamic_Development_Bank
Kuwait Fund for Arab Economic Development,https://en.wikipedia.org/wiki/Kuwait_Fund_for_Arab_Economic_Development
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
