text,url
intergovernmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organization
Chemical Weapons Convention,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention
The Hague,https://en.wikipedia.org/wiki/The_Hague
elimination of chemical weapons,https://en.wikipedia.org/wiki/Destruction_of_chemical_weapons
chemical weapons,https://en.wikipedia.org/wiki/Chemical_weapons
2013 Nobel Peace Prize,https://en.wikipedia.org/wiki/2013_Nobel_Peace_Prize
Thorbjørn Jagland,https://en.wikipedia.org/wiki/Thorbj%C3%B8rn_Jagland
taboo,https://en.wikipedia.org/wiki/Taboo
international law,https://en.wikipedia.org/wiki/International_law
Vienna,https://en.wikipedia.org/wiki/Vienna
Geneva,https://en.wikipedia.org/wiki/Geneva
World Forum Convention Centre,https://en.wikipedia.org/wiki/World_Forum_Convention_Centre
Rijswijk,https://en.wikipedia.org/wiki/Rijswijk
Queen Beatrix of the Netherlands,https://en.wikipedia.org/wiki/Queen_Beatrix_of_the_Netherlands
Gerhard Kallmann,https://en.wikipedia.org/wiki/Gerhard_Kallmann
Kallmann McKinnell & Wood,https://en.wikipedia.org/wiki/Kallmann_McKinnell_%26_Wood
The Guardian,https://en.wikipedia.org/wiki/The_Guardian
George Monbiot,https://en.wikipedia.org/wiki/George_Monbiot
José Bustani,https://en.wikipedia.org/wiki/Jos%C3%A9_Bustani
war against Iraq,https://en.wikipedia.org/wiki/Iraq_War
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
Nobel Peace Prize,https://en.wikipedia.org/wiki/2013_Nobel_Peace_Prize
Recent events,https://en.wikipedia.org/wiki/Ghouta_chemical_attack
The OPCW–The Hague Award,https://en.wikipedia.org/wiki/OPCW%E2%80%93The_Hague_Award
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
City of The Hague,https://en.wikipedia.org/wiki/The_Hague
cyberattack,https://en.wikipedia.org/wiki/Cyberattack
GRU,https://en.wikipedia.org/wiki/GRU_(Russian_Federation)
Dutch Intelligence,https://en.wikipedia.org/wiki/General_Intelligence_and_Security_Service
Jeremy Wright,https://en.wikipedia.org/wiki/Jeremy_Wright
2018 Salisbury poisonings,https://en.wikipedia.org/wiki/Poisoning_of_Sergei_and_Yulia_Skripal
Novichok agents,https://en.wikipedia.org/wiki/Novichok_agents
Chemical Weapons Convention,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention
permanent representative,https://en.wikipedia.org/wiki/Permanent_representative
Skripal poisoning,https://en.wikipedia.org/wiki/Skripal_poisoning
operational chemical weapons destruction facilities,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention#Progress_of_destruction
CCTV,https://en.wikipedia.org/wiki/Closed-circuit_television
scheduled chemicals,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention#Controlled_substances
Schedule 1,https://en.wikipedia.org/wiki/List_of_Schedule_1_substances_(CWC)
Schedule 2,https://en.wikipedia.org/wiki/List_of_Schedule_2_substances_(CWC)
Schedule 3,https://en.wikipedia.org/wiki/List_of_Schedule_3_substances_(CWC)
see Scheduled Chemicals,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention#Controlled_substances
United Nations Laissez-Passer,https://en.wikipedia.org/wiki/United_Nations_Laissez-Passer
United Nations Regional Groups,https://en.wikipedia.org/wiki/United_Nations_Regional_Groups
UN member states,https://en.wikipedia.org/wiki/UN_member_states
Syria,https://en.wikipedia.org/wiki/Syria
Syrian civil war,https://en.wikipedia.org/wiki/Syrian_civil_war
Fernando Arias,https://en.wikipedia.org/wiki/Fernando_Arias
Brazil,https://en.wikipedia.org/wiki/Brazil
José Bustani,https://en.wikipedia.org/wiki/Jos%C3%A9_Bustani
Argentina,https://en.wikipedia.org/wiki/Argentina
Rogelio Pfirter,https://en.wikipedia.org/wiki/Rogelio_Pfirter
Turkey,https://en.wikipedia.org/wiki/Turkey
Ahmet Üzümcü,https://en.wikipedia.org/wiki/Ahmet_%C3%9Cz%C3%BCmc%C3%BC
Spain,https://en.wikipedia.org/wiki/Spain
José Bustani,https://en.wikipedia.org/wiki/Jos%C3%A9_Bustani
Saddam Hussein,https://en.wikipedia.org/wiki/Saddam_Hussein
Chemical Weapons Convention,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention
Administrative Tribunal of the International Labour Organization,https://en.wikipedia.org/wiki/Administrative_Tribunal_of_the_International_Labour_Organization
1990 Chemical Weapons Accord,https://en.wikipedia.org/wiki/1990_Chemical_Weapons_Accord
Australia Group,https://en.wikipedia.org/wiki/Australia_Group
Day of Remembrance for All Victims of Chemical Warfare,https://en.wikipedia.org/wiki/Day_of_Remembrance_for_All_Victims_of_Chemical_Warfare
International Dialogue on Underwater Munitions (IDUM),https://en.wikipedia.org/wiki/International_Dialogue_on_Underwater_Munitions_(IDUM)
Chemical bombing of Sardasht,https://en.wikipedia.org/wiki/Chemical_bombing_of_Sardasht
Halabja poison gas attack,https://en.wikipedia.org/wiki/Halabja_poison_gas_attack
United Nations Office for Disarmament Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_Disarmament_Affairs
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
The Hague,https://en.wikipedia.org/wiki/The_Hague
New York Times,https://en.wikipedia.org/wiki/New_York_Times
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Bureau of Arms Control,https://en.wikipedia.org/wiki/Bureau_of_Arms_Control
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
New York Times,https://en.wikipedia.org/wiki/New_York_Times
BBC News,https://en.wikipedia.org/wiki/BBC_News
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
The American Journal of International Law,https://en.wikipedia.org/wiki/The_American_Journal_of_International_Law
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
European Union,https://en.wikipedia.org/wiki/European_Union
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
Kailash Satyarthi,https://en.wikipedia.org/wiki/Kailash_Satyarthi
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai
