text,url
inter-governmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organization
good governance,https://en.wikipedia.org/wiki/Good_governance
Caribbean,https://en.wikipedia.org/wiki/Caribbean
natural disaster,https://en.wikipedia.org/wiki/Natural_disaster
Castries,https://en.wikipedia.org/wiki/Castries
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
economic union,https://en.wikipedia.org/wiki/Economic_union
CARICOM,https://en.wikipedia.org/wiki/CARICOM
currency union,https://en.wikipedia.org/wiki/Currency_union
Eastern Caribbean Currency Union,https://en.wikipedia.org/wiki/Eastern_Caribbean_Currency_Union
Eastern Caribbean dollar,https://en.wikipedia.org/wiki/Eastern_Caribbean_dollar
Treaty of Basseterre,https://en.wikipedia.org/wiki/Treaty_of_Basseterre
the capital city,https://en.wikipedia.org/wiki/Basseterre
St. Kitts and Nevis,https://en.wikipedia.org/wiki/St._Kitts_and_Nevis
West Indies Associated States,https://en.wikipedia.org/wiki/West_Indies_Associated_States
Caribbean Community,https://en.wikipedia.org/wiki/Caribbean_Community
CARICOM Single Market and Economy,https://en.wikipedia.org/wiki/CARICOM_Single_Market_and_Economy
De La Rue Identity Systems,https://en.wikipedia.org/wiki/De_La_Rue
Canadian Banknote Company,https://en.wikipedia.org/wiki/Canadian_Banknote_Company
CARICOM passport,https://en.wikipedia.org/wiki/CARICOM_passport
Economic Citizens,https://en.wikipedia.org/wiki/Economic_Citizenship
economic union,https://en.wikipedia.org/wiki/Economic_and_monetary_union
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Dominica,https://en.wikipedia.org/wiki/Dominica
Grenada,https://en.wikipedia.org/wiki/Grenada
Montserrat,https://en.wikipedia.org/wiki/Montserrat
St. Kitts and Nevis,https://en.wikipedia.org/wiki/St._Kitts_and_Nevis
St. Lucia,https://en.wikipedia.org/wiki/St._Lucia
St. Vincent and the Grenadines,https://en.wikipedia.org/wiki/St._Vincent_and_the_Grenadines
Anguilla,https://en.wikipedia.org/wiki/Anguilla
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands
CSME,https://en.wikipedia.org/wiki/CSME
CARICOM,https://en.wikipedia.org/wiki/CARICOM
Revised Treaty of Chaguaramas,https://en.wikipedia.org/wiki/Revised_Treaty_of_Chaguaramas
Treaty of Chaguaramas,https://en.wikipedia.org/wiki/Treaty_of_Chaguaramas
archipelago,https://en.wikipedia.org/wiki/Archipelago
Leeward Islands,https://en.wikipedia.org/wiki/Leeward_Islands
Windward Islands,https://en.wikipedia.org/wiki/Windward_Islands
Anguilla,https://en.wikipedia.org/wiki/Anguilla
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Martinique,https://en.wikipedia.org/wiki/Martinique
colonies,https://en.wikipedia.org/wiki/Colony
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Montserrat,https://en.wikipedia.org/wiki/Montserrat
overseas territories of the UK,https://en.wikipedia.org/wiki/British_Overseas_Territories
departments,https://en.wikipedia.org/wiki/Overseas_department
regions of France,https://en.wikipedia.org/wiki/Overseas_region
King Charles III,https://en.wikipedia.org/wiki/Charles_III
Dominica,https://en.wikipedia.org/wiki/Dominica
republic,https://en.wikipedia.org/wiki/Republic
President,https://en.wikipedia.org/wiki/President_of_Dominica
Saint-Martin,https://en.wikipedia.org/wiki/Saint_Martin_(France)
HDI,https://en.wikipedia.org/wiki/Human_Development_Index
Curr.,https://en.wikipedia.org/wiki/Currency
OfficialLanguage(s),https://en.wikipedia.org/wiki/Official_Language
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
St. John's,"https://en.wikipedia.org/wiki/St._John%27s,_Antigua_and_Barbuda"
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
Commonwealth of Dominica,https://en.wikipedia.org/wiki/Dominica
Roseau,https://en.wikipedia.org/wiki/Roseau
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Grenada,https://en.wikipedia.org/wiki/Grenada
St. George's,"https://en.wikipedia.org/wiki/St._George%27s,_Grenada"
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Montserrat,https://en.wikipedia.org/wiki/Montserrat
Brades,https://en.wikipedia.org/wiki/Brades
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Basseterre,https://en.wikipedia.org/wiki/Basseterre
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Castries,https://en.wikipedia.org/wiki/Castries
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Kingstown,https://en.wikipedia.org/wiki/Kingstown
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
Anguilla,https://en.wikipedia.org/wiki/Anguilla
The Valley,"https://en.wikipedia.org/wiki/The_Valley,_Anguilla"
EC$,https://en.wikipedia.org/wiki/East_Caribbean_dollar
English,https://en.wikipedia.org/wiki/English_language
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands
Road Town,https://en.wikipedia.org/wiki/Road_Town
US$,https://en.wikipedia.org/wiki/United_States_dollar
English,https://en.wikipedia.org/wiki/English_language
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Basse-Terre,https://en.wikipedia.org/wiki/Basse-Terre
Euro,https://en.wikipedia.org/wiki/Euro
French,https://en.wikipedia.org/wiki/French_language
Martinique,https://en.wikipedia.org/wiki/Martinique
Fort-de-France,https://en.wikipedia.org/wiki/Fort-de-France
Euro,https://en.wikipedia.org/wiki/Euro
French,https://en.wikipedia.org/wiki/French_language
British Overseas Territories,https://en.wikipedia.org/wiki/British_Overseas_Territories
UK government,"https://en.wikipedia.org/wiki/Foreign,_Commonwealth_and_Development_Office"
Republic of France,https://en.wikipedia.org/wiki/Republic_of_France
French government,https://en.wikipedia.org/wiki/Ministry_for_Europe_and_Foreign_Affairs_(France)
United States Virgin Islands,https://en.wikipedia.org/wiki/United_States_Virgin_Islands
Saba,https://en.wikipedia.org/wiki/Saba_(island)
Netherlands Antilles,https://en.wikipedia.org/wiki/Netherlands_Antilles
Netherlands Antilles parliament,https://en.wikipedia.org/wiki/Estates_of_the_Netherlands_Antilles
Kingdom of the Netherlands,https://en.wikipedia.org/wiki/Kingdom_of_the_Netherlands
Sint Maarten,https://en.wikipedia.org/wiki/Sint_Maarten
Saint-Martin,https://en.wikipedia.org/wiki/Saint_Martin_(France)
Saint Barthélemy,https://en.wikipedia.org/wiki/Saint_Barth%C3%A9lemy
Martinique,https://en.wikipedia.org/wiki/Martinique
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Len Ishmael,https://en.wikipedia.org/wiki/Len_Ishmael
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
globalisation,https://en.wikipedia.org/wiki/Globalisation
Len Ishmael,https://en.wikipedia.org/wiki/Len_Ishmael
Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
East Caribbean dollar (XCD),https://en.wikipedia.org/wiki/East_Caribbean_dollar
British Virgin Islands,https://en.wikipedia.org/wiki/British_Virgin_Islands
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Martinique,https://en.wikipedia.org/wiki/Martinique
Eastern Caribbean Supreme Court (ECSC),https://en.wikipedia.org/wiki/Eastern_Caribbean_Supreme_Court
Judicial Committee of the Privy Council,https://en.wikipedia.org/wiki/Judicial_Committee_of_the_Privy_Council
Caribbean Court of Justice (CCJ),https://en.wikipedia.org/wiki/Caribbean_Court_of_Justice
Eastern Caribbean Civil Aviation Authority,https://en.wikipedia.org/wiki/Eastern_Caribbean_Civil_Aviation_Authority
Regional Security System,https://en.wikipedia.org/wiki/Regional_Security_System
Barbados,https://en.wikipedia.org/wiki/Barbados
Guyana,https://en.wikipedia.org/wiki/Guyana
United States,https://en.wikipedia.org/wiki/United_States
Canada,https://en.wikipedia.org/wiki/Canada
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Belgium,https://en.wikipedia.org/wiki/Belgium
Brussels,https://en.wikipedia.org/wiki/Brussels
Missions to the European Union,https://en.wikipedia.org/wiki/Ambassador_of_the_Organisation_of_Eastern_Caribbean_States_to_the_European_Union
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Geneva,https://en.wikipedia.org/wiki/Geneva
formulary,https://en.wikipedia.org/wiki/Formulary_(pharmacy)
flag,https://en.wikipedia.org/wiki/Flag
logo,https://en.wikipedia.org/wiki/Logo
Basseterre,https://en.wikipedia.org/wiki/Basseterre
St. Kitts and Nevis,https://en.wikipedia.org/wiki/St._Kitts_and_Nevis
Association of Caribbean States,https://en.wikipedia.org/wiki/Association_of_Caribbean_States
Caribbean Community,https://en.wikipedia.org/wiki/Caribbean_Community
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
Eastern Caribbean Davis Cup team,https://en.wikipedia.org/wiki/Eastern_Caribbean_Davis_Cup_team
Eastern Caribbean Fed Cup team,https://en.wikipedia.org/wiki/Eastern_Caribbean_Fed_Cup_team
Eastern Caribbean Securities Exchange,https://en.wikipedia.org/wiki/Eastern_Caribbean_Securities_Exchange
Eastern Caribbean Supreme Court,https://en.wikipedia.org/wiki/Eastern_Caribbean_Supreme_Court
List of Indigenous Names of Eastern Caribbean Islands,https://en.wikipedia.org/wiki/List_of_Indigenous_Names_of_Eastern_Caribbean_Islands
List of regional organizations by population,https://en.wikipedia.org/wiki/List_of_regional_organizations_by_population
Regional Security System,https://en.wikipedia.org/wiki/Regional_Security_System
Residence Card,https://en.wikipedia.org/wiki/Residence_Card
West Indies Associated States,https://en.wikipedia.org/wiki/West_Indies_Associated_States
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Caribbean News Agency,https://en.wikipedia.org/wiki/Caribbean_News_Agency
Caribbean News Agency,https://en.wikipedia.org/wiki/Caribbean_News_Agency
Nation Newspaper,https://en.wikipedia.org/wiki/The_Daily_Nation_(Barbados)
