text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
arms control,https://en.wikipedia.org/wiki/Arms_control
human rights,https://en.wikipedia.org/wiki/Human_rights
freedom of the press,https://en.wikipedia.org/wiki/Freedom_of_the_press
free and fair elections,https://en.wikipedia.org/wiki/Free_and_fair_election
Vienna,https://en.wikipedia.org/wiki/Vienna
United Nations,https://en.wikipedia.org/wiki/United_Nations
Cold War,https://en.wikipedia.org/wiki/Cold_War
Western Bloc,https://en.wikipedia.org/wiki/Western_Bloc
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
Europe,https://en.wikipedia.org/wiki/Europe
Asia,https://en.wikipedia.org/wiki/Asia
North America,https://en.wikipedia.org/wiki/North_America
Northern Hemisphere,https://en.wikipedia.org/wiki/Northern_Hemisphere
early warning,https://en.wikipedia.org/wiki/Early_warning_system
crisis management,https://en.wikipedia.org/wiki/Crisis_management
Helmut Schmidt,https://en.wikipedia.org/wiki/Helmut_Schmidt
Erich Honecker,https://en.wikipedia.org/wiki/Erich_Honecker
Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford
Bruno Kreisky,https://en.wikipedia.org/wiki/Bruno_Kreisky
Helsinki,https://en.wikipedia.org/wiki/Helsinki
Conference on Security and Co-operation in Europe,https://en.wikipedia.org/wiki/Conference_on_Security_and_Co-operation_in_Europe
Cold War,https://en.wikipedia.org/wiki/Cold_War
Dipoli,https://en.wikipedia.org/wiki/Dipoli
Espoo,https://en.wikipedia.org/wiki/Espoo
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
communist states,https://en.wikipedia.org/wiki/Communist_state
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
President of Finland,https://en.wikipedia.org/wiki/President_of_Finland
Urho Kekkonen,https://en.wikipedia.org/wiki/Urho_Kekkonen
policy of neutrality,https://en.wikipedia.org/wiki/Paasikivi-Kekkonen_line
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
communist bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
Geneva,https://en.wikipedia.org/wiki/Geneva
Helsinki Final Act,https://en.wikipedia.org/wiki/Helsinki_Accords
Finlandia Hall,https://en.wikipedia.org/wiki/Finlandia_Hall
Holy See,https://en.wikipedia.org/wiki/Holy_See
Agostino Casaroli,https://en.wikipedia.org/wiki/Agostino_Casaroli
Belgrade,https://en.wikipedia.org/wiki/Belgrade
Madrid,https://en.wikipedia.org/wiki/Madrid
Vienna,https://en.wikipedia.org/wiki/Vienna
Copenhagen commitment,https://en.wikipedia.org/wiki/Copenhagen_commitment
Moscow Mechanism,https://en.wikipedia.org/wiki/Moscow_Mechanism
