text,url
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
regional organisation,https://en.wikipedia.org/wiki/Regional_organisation
economic integration,https://en.wikipedia.org/wiki/Economic_integration
Commonwealth of Independent States,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States
Astana,https://en.wikipedia.org/wiki/Astana
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
Nursultan Nazarbayev,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev
Askar Akayev,https://en.wikipedia.org/wiki/Askar_Akayev
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
Emomali Rahmon,https://en.wikipedia.org/wiki/Emomali_Rahmon
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Eurasian Customs Union,https://en.wikipedia.org/wiki/Customs_Union_of_the_Eurasian_Economic_Union
four freedoms of movement modelled after the European Union,https://en.wikipedia.org/wiki/Four_freedoms_(European_Union)
Eurasian Economic Space,https://en.wikipedia.org/wiki/Eurasian_Economic_Space
Minsk,https://en.wikipedia.org/wiki/Minsk
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Belarus,https://en.wikipedia.org/wiki/Belarus
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Russia,https://en.wikipedia.org/wiki/Russia
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Customs Union,https://en.wikipedia.org/wiki/Customs_Union
Single Economic Space,https://en.wikipedia.org/wiki/Single_market
international trade,https://en.wikipedia.org/wiki/International_trade_law
free trade,https://en.wikipedia.org/wiki/Free_trade
customs tariff,https://en.wikipedia.org/wiki/Customs_tariff
internal markets,https://en.wikipedia.org/wiki/Internal_markets
foreign exchange controls,https://en.wikipedia.org/wiki/Foreign_exchange_controls
customs,https://en.wikipedia.org/wiki/Customs
regulation,https://en.wikipedia.org/wiki/Regulation
economic,https://en.wikipedia.org/wiki/Economic_development
social development,https://en.wikipedia.org/wiki/Social_change
production,https://en.wikipedia.org/wiki/Production_(economics)
entrepreneurial activities,https://en.wikipedia.org/wiki/Entrepreneurship
common market,https://en.wikipedia.org/wiki/Common_market
transport system,https://en.wikipedia.org/wiki/Transport_system
energy market,https://en.wikipedia.org/wiki/Energy_market
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
equal rights,https://en.wikipedia.org/wiki/Civil_rights
education,https://en.wikipedia.org/wiki/Education
medical assistance,https://en.wikipedia.org/wiki/Medical_assistance
legislation,https://en.wikipedia.org/wiki/Legislation
legal,https://en.wikipedia.org/wiki/Legal
CSTO,https://en.wikipedia.org/wiki/Collective_Security_Treaty_Organization
Russia,https://en.wikipedia.org/wiki/Russia
Belarus,https://en.wikipedia.org/wiki/Belarus
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Almaty,https://en.wikipedia.org/wiki/Almaty
Moscow,https://en.wikipedia.org/wiki/Moscow
Russia,https://en.wikipedia.org/wiki/Russia
Belarus,https://en.wikipedia.org/wiki/Belarus
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
common market,https://en.wikipedia.org/wiki/Common_market
Novo-Ogarevo,https://en.wikipedia.org/wiki/Novo-Ogarevo
supranational,https://en.wikipedia.org/wiki/Supranational_union
tariffs,https://en.wikipedia.org/wiki/Tariff
Kyiv,https://en.wikipedia.org/wiki/Kyiv
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Verkhovna Rada,https://en.wikipedia.org/wiki/Verkhovna_Rada
Viktor Yushchenko,https://en.wikipedia.org/wiki/Viktor_Yushchenko
Ukrainian presidential election of 2004,https://en.wikipedia.org/wiki/2004_Ukrainian_presidential_election
presidential administration,https://en.wikipedia.org/wiki/Presidential_Administration_of_Ukraine
newly elected,https://en.wikipedia.org/wiki/2010_Ukrainian_presidential_election
Viktor Yanukovych,https://en.wikipedia.org/wiki/Viktor_Yanukovych
Iryna Akymova,https://en.wikipedia.org/wiki/Iryna_Akymova
Ukraine's membership in the WTO,https://en.wikipedia.org/wiki/World_Trade_Organization_accession_and_membership
single market,https://en.wikipedia.org/wiki/Single_market
