text,url
Honiara,https://en.wikipedia.org/wiki/Honiara
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Pacific Islands Forum,https://en.wikipedia.org/wiki/Pacific_Islands_Forum
Regional Fisheries Surveillance Centre,https://en.wikipedia.org/wiki/Regional_Fisheries_Surveillance_Centre
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Operation Kurukuru,https://en.wikipedia.org/wiki/Operation_Kurukuru
suspicious,"https://en.wikipedia.org/wiki/Illegal,_unreported_and_unregulated_fishing"
South Pacific Forum,https://en.wikipedia.org/wiki/South_Pacific_Forum
international treaty,https://en.wikipedia.org/wiki/International_treaty
Australia,https://en.wikipedia.org/wiki/Australia
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Fiji,https://en.wikipedia.org/wiki/Fiji
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Federated States of Micronesia,https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Nauru,https://en.wikipedia.org/wiki/Nauru
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Niue,https://en.wikipedia.org/wiki/Niue
Palau,https://en.wikipedia.org/wiki/Palau
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Samoa,https://en.wikipedia.org/wiki/Samoa
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Tokelau,https://en.wikipedia.org/wiki/Tokelau
Tonga,https://en.wikipedia.org/wiki/Tonga
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu
Peter Kenilorea,https://en.wikipedia.org/wiki/Peter_Kenilorea
Feleti Teo,https://en.wikipedia.org/wiki/Feleti_Teo
James Movick,https://en.wikipedia.org/wiki/James_Movick
Manumatavai Tupou,https://en.wikipedia.org/wiki/Manumatavai_Tupou
James Movick,https://en.wikipedia.org/wiki/James_Movick
Matthew Hooper,https://en.wikipedia.org/wiki/Matthew_Hooper
Nauru Agreement,https://en.wikipedia.org/wiki/Nauru_Agreement
Exclusive Economic Zones,https://en.wikipedia.org/wiki/Exclusive_Economic_Zones
FADs,https://en.wikipedia.org/wiki/Fish_aggregating_device
Convention for the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean,https://en.wikipedia.org/wiki/Western_and_Central_Pacific_Fisheries_Commission
RFMO,https://en.wikipedia.org/wiki/Regional_fisheries_management_organisation
SIDS,https://en.wikipedia.org/wiki/Small_Island_Developing_States
Niue Treaty,https://en.wikipedia.org/wiki/Niue_Treaty
VMS,https://en.wikipedia.org/wiki/Vessel_monitoring_system
Treaty on Fisheries between the Governments of Certain Pacific Island States and the Government of the United States of America,https://en.wikipedia.org/wiki/South_Pacific_Tuna_Treaty
Operation Kurukuru,https://en.wikipedia.org/wiki/Operation_Kurukuru
"illegal, unreported and unregulated fishing","https://en.wikipedia.org/wiki/Illegal,_unreported_and_unregulated_fishing"
Regional Fisheries Surveillance Centre,https://en.wikipedia.org/wiki/Regional_Fisheries_Surveillance_Centre
South Pacific Tuna Treaty,https://en.wikipedia.org/wiki/South_Pacific_Tuna_Treaty
Honiara,https://en.wikipedia.org/wiki/Honiara
