text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Peace Palace,https://en.wikipedia.org/wiki/Peace_Palace
The Hague,https://en.wikipedia.org/wiki/The_Hague
maritime boundaries,https://en.wikipedia.org/wiki/Maritime_boundary
sovereignty,https://en.wikipedia.org/wiki/Sovereignty
human rights,https://en.wikipedia.org/wiki/Human_rights
United Nations agency,https://en.wikipedia.org/wiki/United_Nations_agency
United Nations observer,https://en.wikipedia.org/wiki/United_Nations_observer
Disputes,https://en.wikipedia.org/wiki/Disputes
Hague Peace Conference,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907
Nicholas II of Russia,https://en.wikipedia.org/wiki/Nicholas_II
Peace Palace,https://en.wikipedia.org/wiki/Peace_Palace
Minister of Foreign Affairs of the Netherlands,https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Netherlands)
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
Nobel Peace Prize,https://en.wikipedia.org/wiki/Nobel_Peace_Prize
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
Universal Postal Union,https://en.wikipedia.org/wiki/Universal_Postal_Union
Kosovo,https://en.wikipedia.org/wiki/Kosovo
Palestine,https://en.wikipedia.org/wiki/Palestine
Hague Peace Conference,https://en.wikipedia.org/wiki/Hague_Peace_Conference
Hague Convention for the Pacific Settlement of International Disputes,https://en.wikipedia.org/wiki/Hague_Convention_for_the_Pacific_Settlement_of_International_Disputes
Convention for the Pacific Settlement of International Disputes,https://en.wikipedia.org/wiki/Convention_for_the_Pacific_Settlement_of_International_Disputes
Nicholas II of Russia,https://en.wikipedia.org/wiki/Nicholas_II
Dr. Hab. Marcin Czepelak,https://en.wikipedia.org/wiki/Marcin_Czepelak
Marcin Czepelak,https://en.wikipedia.org/wiki/Marcin_Czepelak
UNCITRAL,https://en.wikipedia.org/wiki/UNCITRAL
United Nations Convention on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
International Tribunal for the Law of the Sea,https://en.wikipedia.org/wiki/International_Tribunal_for_the_Law_of_the_Sea
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
UNCLOS,https://en.wikipedia.org/wiki/UNCLOS
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
ISDS,https://en.wikipedia.org/wiki/ISDS
Pious Fund of the Californias,https://en.wikipedia.org/wiki/Pious_Fund_of_the_Californias
Savarkar Case,https://en.wikipedia.org/wiki/Vinayak_Damodar_Savarkar#Case_before_the_Permanent_Court_of_Arbitration
Island of Palmas Case,https://en.wikipedia.org/wiki/Island_of_Palmas_Case
Hanish Islands conflict,https://en.wikipedia.org/wiki/Hanish_Islands_conflict
Iron Rhine,https://en.wikipedia.org/wiki/Iron_Rhine
Croatia v. Slovenia,https://en.wikipedia.org/wiki/Croatia%E2%80%93Slovenia_border_disputes
Barbados v. Trinidad and Tobago,https://en.wikipedia.org/wiki/Barbados_v._Trinidad_and_Tobago
Faroe Islands,https://en.wikipedia.org/wiki/Faroe_Islands
Mauritius v. United Kingdom,https://en.wikipedia.org/wiki/Mauritius_v._United_Kingdom
Chagos Marine Protected Area,https://en.wikipedia.org/wiki/Chagos_Marine_Protected_Area
Philippines v. China,https://en.wikipedia.org/wiki/Philippines_v._China
MV Arctic Sunrise,https://en.wikipedia.org/wiki/MV_Arctic_Sunrise
Enrica Lexie case,https://en.wikipedia.org/wiki/Enrica_Lexie_case
"Hulley Enterprises Limited (Cyprus), Yukos Universal Limited (Isle of Man) and Veteran Petroleum Limited (Cyprus) v. the Russian Federation",https://en.wikipedia.org/wiki/Yukos_shareholders_v._Russia
Cairn Energy PLC & Cairn UK Holdings Limited v. The Republic of India,https://en.wikipedia.org/wiki/Cairn_Energy_and_Government_of_India_dispute
Iran-United States Claims Tribunal,https://en.wikipedia.org/wiki/Iran-United_States_Claims_Tribunal
Eritrea-Ethiopia Claims Commission,https://en.wikipedia.org/wiki/Eritrean-Ethiopian_War#Arbitration_through_the_Permanent_Court_of_Arbitration
Sudan People's Liberation Movement,https://en.wikipedia.org/wiki/Sudan_People%27s_Liberation_Movement
Abyei Arbitration,https://en.wikipedia.org/wiki/Abyei#Arbitration_through_the_Permanent_Court_of_Arbitration
Ligue internationale de la paix,https://en.wikipedia.org/wiki/Ligue_internationale_de_la_paix
International arbitration,https://en.wikipedia.org/wiki/International_arbitration
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
International Court of Arbitration,https://en.wikipedia.org/wiki/International_Court_of_Arbitration
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
"Hudson, Manley O.",https://en.wikipedia.org/wiki/Manley_O._Hudson
The Macmillan Company,https://en.wikipedia.org/wiki/The_Macmillan_Company
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
