text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
geopolitical,https://en.wikipedia.org/wiki/Geopolitics
South Asia,https://en.wikipedia.org/wiki/South_Asia
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Bhutan,https://en.wikipedia.org/wiki/Bhutan
India,https://en.wikipedia.org/wiki/India
Maldives,https://en.wikipedia.org/wiki/Maldives
Nepal,https://en.wikipedia.org/wiki/Nepal
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
world's population,https://en.wikipedia.org/wiki/World_population
global economy,https://en.wikipedia.org/wiki/World_economy
Dhaka,https://en.wikipedia.org/wiki/Dhaka
Kathmandu,https://en.wikipedia.org/wiki/Kathmandu
regional integration,https://en.wikipedia.org/wiki/Regional_integration
South Asian Free Trade Area,https://en.wikipedia.org/wiki/South_Asian_Free_Trade_Area
European Union,https://en.wikipedia.org/wiki/European_Union
BIMSTEC,https://en.wikipedia.org/wiki/Bay_of_Bengal_Initiative_for_Multi-Sectoral_Technical_and_Economic_Cooperation
Asian Relations Conference,https://en.wikipedia.org/wiki/Asian_Relations_Conference
Philippines,https://en.wikipedia.org/wiki/Philippines
Colombo,https://en.wikipedia.org/wiki/Colombo
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
regional organizations,https://en.wikipedia.org/wiki/Regional_organization
ASEAN,https://en.wikipedia.org/wiki/ASEAN
government,https://en.wikipedia.org/wiki/15_August_1975_Bangladeshi_coup_d%27%C3%A9tat
Ziaur Rahman,https://en.wikipedia.org/wiki/Ziaur_Rahman
Morarji Desai,https://en.wikipedia.org/wiki/Morarji_Desai
King Birendra,https://en.wikipedia.org/wiki/King_Birendra
USSR,https://en.wikipedia.org/wiki/Soviet_Union
intervention,https://en.wikipedia.org/wiki/Soviet_invasion_of_Afghanistan
