text,url
Spanish,https://en.wikipedia.org/wiki/Spanish_language
international organization,https://en.wikipedia.org/wiki/International_organization
air forces,https://en.wikipedia.org/wiki/Air_force
Spanish,https://en.wikipedia.org/wiki/Spanish_language
US Air Force,https://en.wikipedia.org/wiki/United_States_Air_Force
Thomas D. White,https://en.wikipedia.org/wiki/Thomas_D._White
Randolph Air Force Base,https://en.wikipedia.org/wiki/Randolph_Air_Force_Base
Peruvian Air Force,https://en.wikipedia.org/wiki/Peruvian_Air_Force
Twelfth Air Force (AFSOUTH),https://en.wikipedia.org/wiki/Twelfth_Air_Force
Hurricane Andrew,https://en.wikipedia.org/wiki/Hurricane_Andrew
Lackland AFB,https://en.wikipedia.org/wiki/Lackland_AFB
Andrews AFB,https://en.wikipedia.org/wiki/Andrews_AFB
Twelfth Air Force (AFSOUTH),https://en.wikipedia.org/wiki/Twelfth_Air_Force
Davis-Monthan AFB,https://en.wikipedia.org/wiki/Davis-Monthan_AFB
Argentina,https://en.wikipedia.org/wiki/Argentina
Belize,https://en.wikipedia.org/wiki/Belize
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Brazil,https://en.wikipedia.org/wiki/Brazil
Canada,https://en.wikipedia.org/wiki/Canada
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Ecuador,https://en.wikipedia.org/wiki/Ecuador
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Guyana,https://en.wikipedia.org/wiki/Guyana
Honduras,https://en.wikipedia.org/wiki/Honduras
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Mexico,https://en.wikipedia.org/wiki/Mexico
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Panama,https://en.wikipedia.org/wiki/Panama
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Peru,https://en.wikipedia.org/wiki/Peru
United States,https://en.wikipedia.org/wiki/United_States
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Haiti,https://en.wikipedia.org/wiki/Haiti
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Davis-Monthan Air Force Base,https://en.wikipedia.org/wiki/Davis-Monthan_Air_Force_Base
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Canada,https://en.wikipedia.org/wiki/Canada
Colombia,https://en.wikipedia.org/wiki/Colombia
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
United States,https://en.wikipedia.org/wiki/United_States
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Honduras,https://en.wikipedia.org/wiki/Honduras
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Mexico,https://en.wikipedia.org/wiki/Mexico
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Panama,https://en.wikipedia.org/wiki/Panama
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Argentina,https://en.wikipedia.org/wiki/Argentina
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Brazil,https://en.wikipedia.org/wiki/Brazil
Chile,https://en.wikipedia.org/wiki/Chile
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Guyana,https://en.wikipedia.org/wiki/Guyana
Paraguay,https://en.wikipedia.org/wiki/Paraguay
Peru,https://en.wikipedia.org/wiki/Peru
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Venezuela,https://en.wikipedia.org/wiki/Venezuela
United States,https://en.wikipedia.org/wiki/United_States
Davis-Monthan Air Force Base,https://en.wikipedia.org/wiki/Davis-Monthan_Air_Force_Base
SICOFAA Legion of Merit Medal,https://en.wikipedia.org/wiki/SICOFAA_Legion_of_Merit_Medal
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
Inter-American Treaty of Reciprocal Assistance,https://en.wikipedia.org/wiki/Inter-American_Treaty_of_Reciprocal_Assistance
South America air forces maneuvers,https://en.wikipedia.org/wiki/South_America_air_forces_maneuvers
